Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
39,1361.223375,2280.89906,3430.0,748.413,94325.4038221,20371.7735944,0.0,0.0,0.0,261746,147048.822584,139228.287149,170030.954545
40,1361.223375,2280.89906,3430.0,748.413,77159.1563708,25520.2100633,0.0,0.0,0.0,263225,160545.633566,152725.098131,170030.954545
41,23673.45,2280.89906,3430.0,748.413,48417.9027523,34816.081085,0.0,0.0,0.0,267936,184702.016163,154569.254103,170030.954545
42,23673.45,2280.89906,3430.0,748.413,7682.82685499,45599.6265821,31408.1201213,0.0,0.0,272374,219091.546563,157550.664382,138622.834424
43,23673.45,2280.89906,3430.0,748.413,902.548687266,66320.1904474,18622.8344236,0.0,0.0,273529,206306.260865,157550.664382,120000.0
44,15645.8881347,2280.89906,3430.0,748.413,482.712365837,96068.3043567,0.0,0.0,0.0,272414,175862.983278,153757.783083,120000.0
45,1361.223375,2280.89906,3430.0,748.413,0.0,117304.434179,0.0,0.0,0.0,267721,150416.565821,142596.030386,120000.0
46,1361.223375,2280.89906,3430.0,748.413,0.0,119260.224115,0.0,0.0,0.0,259088,139827.775885,132007.24045,120000.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,112792.595156,0.0,0.0,0.0,250402,137609.404844,129788.869409,120000.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,105076.457203,0.0,0.0,0.0,243987,138910.542797,131090.007362,120000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,95865.1212738,0.0,-23411.3876577,0.0,238528,142662.878726,158173.009219,139899.679509
50,1427.509035,2295.33513,3430.0,748.413,0.0,88441.2718952,0.0,-19932.538279,0.0,234583,146141.728105,158173.009219,156842.337046
51,1427.509035,2295.33513,3430.0,748.413,0.0,82804.5401671,0.0,-15122.806551,0.0,233756,150951.459833,158173.009219,169696.722615
52,1427.509035,2295.33513,3430.0,748.413,0.0,77605.8344024,0.0,-7616.10078621,0.0,236064,158458.165598,158173.009219,176170.408283
53,1427.509035,2295.33513,3430.0,748.413,0.0,71188.6771396,0.0,0.0,0.0,241974,170785.32286,162884.065695,176170.408283
54,1427.509035,2295.33513,3430.0,748.413,0.0,66267.2922519,0.0,0.0,0.0,251047,184779.707748,176878.450583,176170.408283
