"generator_posoco","generator_cea","zones_gp","Region","Zone","Node.Name","Fuel","year","month","daily.mwh.monthly.avg","daily.min.monthly.avg","daily.max.monthly.avg","daily.mwh.monthly.avg.fraction","daily.min.monthly.avg.fraction","daily.max.monthly.avg.fraction","gen._capacity_mw"
"GEN_172021_PONG_220_6","GEN_182214_PONG_220_6","Himachal_Pradesh","HIMACHAL PRADESH","NR","172021_PONG_220","HYDRO-STORAGE",2014,8,627.580645193548,14.9677419354839,52.9032258064516,0.396199902268654,0.226783968719453,0.801564027370479,66
"GEN_172021_PONG_220_6","GEN_182214_PONG_220_6","Himachal_Pradesh","HIMACHAL PRADESH","NR","172021_PONG_220","HYDRO-STORAGE",2014,9,548.611111166667,12.9,48.2666666666667,0.346345398463805,0.195454545454545,0.731313131313131,66
"GEN_172021_PONG_220_6","GEN_182214_PONG_220_6","Himachal_Pradesh","HIMACHAL PRADESH","NR","172021_PONG_220","HYDRO-STORAGE",2014,10,801.021505387097,22.9677419354839,54.6666666664516,0.505695394815086,0.347996089931574,0.82828282827957,66
"GEN_172021_PONG_220_6","GEN_182214_PONG_220_6","Himachal_Pradesh","HIMACHAL PRADESH","NR","172021_PONG_220","HYDRO-STORAGE",2014,11,832.1666666,17,54.6,0.525357744065657,0.257575757575758,0.827272727272727,66
"GEN_172021_PONG_220_6","GEN_182214_PONG_220_6","Himachal_Pradesh","HIMACHAL PRADESH","NR","172021_PONG_220","HYDRO-STORAGE",2014,12,953.333333322581,11.1612903225806,60.4193548387097,0.601851851845064,0.16911045943304,0.91544477028348,66
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,1,184.354838709677,0,0.0161290322580645,0.0800151209677419,0,0.000168010752688172,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,2,174.285714285714,0,3.21428571428571,0.0756448412698413,0,0.0334821428571429,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,3,180.161290322581,1.45161290322581,13.8387096774194,0.0781950044802867,0.0151209677419355,0.144153225806452,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,4,464.5,32.3,48.45,0.201605902777778,0.201605902777778,0.5046875,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,5,1243.38709677419,43.7258064516129,60.5161290322581,0.539664538530466,0.455477150537634,0.630376344086022,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,6,2307.16666666667,59.3,91.6166666666667,1,0.617708333333333,0.954340277777778,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,7,2611.45161290323,84.5967741935484,96,1,0.881216397849462,1,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,8,1810.64516129032,67.2096774193548,80.2741935483871,0.785870295698925,0.700100806451613,0.836189516129032,96
