"state","fuel","generator_cea","node","gen_capacity","voltage","region","vom","var_cost","heat_rate","fuel_price","owner_type","generator_posoco","type","zones_gp"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512005_VIJA_220_2","512005_VIJA_220",210,220,"SR",1988,2559,11.43,50,"ANDHRA PRADESH State or Private","GEN_412025_VTPS_220_2","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512005_VIJA_220_3","512005_VIJA_220",210,220,"SR",1988,2559,11.43,50,"ANDHRA PRADESH State or Private","GEN_412025_VTPS_220_3","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512005_VIJA_220_4","512005_VIJA_220",210,220,"SR",1988,2559,11.43,50,"ANDHRA PRADESH State or Private","GEN_412025_VTPS_220_4","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512005_VIJA_220_5","512005_VIJA_220",210,220,"SR",1988,2559,11.43,50,"ANDHRA PRADESH State or Private","GEN_412025_VTPS_220_5","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512005_VIJA_220_6","512005_VIJA_220",210,220,"SR",1988,2559,11.43,50,"ANDHRA PRADESH State or Private","GEN_412025_VTPS_220_6","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512057_MUDN_220_1","512057_MUDN_220",210,220,"SR",2758,3329,11.43,50,"ANDHRA PRADESH State or Private","GEN_412034_MUDDANUR_220_1","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512057_MUDN_220_2","512057_MUDN_220",210,220,"SR",2758,3329,11.43,50,"ANDHRA PRADESH State or Private","GEN_412034_MUDDANUR_220_2","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512057_MUDN_220_3","512057_MUDN_220",210,220,"SR",2758,3329,11.43,50,"ANDHRA PRADESH State or Private","GEN_412034_MUDDANUR_220_3","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512057_MUDN_220_4","512057_MUDN_220",210,220,"SR",2758,3329,11.43,50,"ANDHRA PRADESH State or Private","GEN_412034_MUDDANUR_220_4","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512057_MUDN_220_5","512057_MUDN_220",210,220,"SR",2758,3329,11.43,50,"ANDHRA PRADESH State or Private","GEN_412034_MUDDANUR_220_5","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514014_SIMHADRI_400_1","514014_SIMHADRI_400",500,400,"SR",2029,2600,11.43,50,"ANDHRA PRADESH Central","GEN_414012_SIMHADRI_400_1","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514014_SIMHADRI_400_2","514014_SIMHADRI_400",500,400,"SR",2029,2600,11.43,50,"ANDHRA PRADESH Central","GEN_414012_SIMHADRI_400_2","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514015_SIMHD-II_400_1","514015_SIMHD-II_400",500,400,"SR",2019,2590,11.43,50,"ANDHRA PRADESH Central","GEN_414020_SMHDRI-2_400_3","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514015_SIMHD-II_400_2","514015_SIMHD-II_400",500,400,"SR",2019,2590,11.43,50,"ANDHRA PRADESH Central","GEN_414020_SMHDRI-2_400_4","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514030_VIJTP-IV_400_1","514030_VIJTP-IV_400",500,400,"SR",2218,2789,11.43,50,"ANDHRA PRADESH State or Private","GEN_414013_VTS-IV_400_1","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514057_MUDN400_400_1","514057_MUDN400_400",600,400,"SR",1576,2147,11.43,50,"ANDHRA PRADESH State or Private",NA,"coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514089_SIMHP-OA_400_1","514089_SIMHP-OA_400",150,400,"SR",2033,2604,11.43,50,"ANDHRA PRADESH State or Private","GEN_414022_SMHPURI_400_1","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514089_SIMHP-OA_400_2","514089_SIMHP-OA_400",150,400,"SR",2033,2604,11.43,50,"ANDHRA PRADESH State or Private","GEN_414022_SMHPURI_400_2","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514089_SIMHP-OA_400_3","514089_SIMHP-OA_400",150,400,"SR",2033,2604,11.43,50,"ANDHRA PRADESH State or Private","GEN_414022_SMHPURI_400_3","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514089_SIMHP-OA_400_4","514089_SIMHP-OA_400",150,400,"SR",2033,2604,11.43,50,"ANDHRA PRADESH State or Private","GEN_414022_SMHPURI_400_4","coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_514090_MENAK-OA_400_1","514090_MENAK-OA_400",150,400,"SR",2033,2604,11.43,50,"ANDHRA PRADESH State or Private","GEN_414026_MNAKSHI_400_1","coal","Andhra_Pradesh"
