gen_capacity,generator,type,var_cost
660.0,COAL-NEW-145,coal,3044.0
660.0,COAL-NEW-146,coal,3045.0
660.0,COAL-NEW-147,coal,3046.0
660.0,COAL-NEW-148,coal,3047.0
660.0,COAL-NEW-149,coal,3048.0
660.0,COAL-NEW-150,coal,3049.0
660.0,COAL-NEW-151,coal,3050.0
660.0,COAL-NEW-152,coal,3051.0
660.0,COAL-NEW-153,coal,3052.0
660.0,COAL-NEW-154,coal,3053.0
660.0,COAL-NEW-155,coal,3054.0
660.0,COAL-NEW-156,coal,3055.0
660.0,COAL-NEW-157,coal,3056.0
660.0,COAL-NEW-158,coal,3057.0
660.0,COAL-NEW-159,coal,3058.0
660.0,COAL-NEW-160,coal,3059.0
660.0,COAL-NEW-161,coal,3060.0
660.0,COAL-NEW-162,coal,3061.0
660.0,COAL-NEW-163,coal,3062.0
660.0,COAL-NEW-164,coal,3063.0
660.0,COAL-NEW-165,coal,3064.0
660.0,COAL-NEW-166,coal,3065.0
660.0,COAL-NEW-167,coal,3066.0
660.0,COAL-NEW-168,coal,3067.0
660.0,COAL-NEW-169,coal,3068.0
660.0,COAL-NEW-170,coal,3069.0
660.0,COAL-NEW-171,coal,3070.0
660.0,COAL-NEW-172,coal,3071.0
660.0,COAL-NEW-173,coal,3072.0
660.0,COAL-NEW-174,coal,3073.0
660.0,COAL-NEW-175,coal,3074.0
660.0,COAL-NEW-176,coal,3075.0
660.0,COAL-NEW-177,coal,3076.0
660.0,COAL-NEW-178,coal,3077.0
660.0,COAL-NEW-179,coal,3078.0
660.0,COAL-NEW-180,coal,3079.0
660.0,COAL-NEW-181,coal,3080.0
660.0,COAL-NEW-182,coal,3081.0
660.0,COAL-NEW-183,coal,3082.0
660.0,COAL-NEW-184,coal,3083.0
660.0,COAL-NEW-185,coal,3084.0
660.0,COAL-NEW-186,coal,3085.0
660.0,COAL-NEW-187,coal,3086.0
660.0,COAL-NEW-188,coal,3087.0
660.0,COAL-NEW-189,coal,3088.0
660.0,COAL-NEW-190,coal,3089.0
660.0,COAL-NEW-191,coal,3090.0
660.0,COAL-NEW-192,coal,3091.0
660.0,COAL-NEW-193,coal,3092.0
660.0,COAL-NEW-194,coal,3093.0
660.0,COAL-NEW-195,coal,3094.0
660.0,COAL-NEW-196,coal,3095.0
660.0,COAL-NEW-197,coal,3096.0
660.0,COAL-NEW-198,coal,3097.0
660.0,COAL-NEW-199,coal,3098.0
660.0,COAL-NEW-200,coal,3099.0
660.0,COAL-NEW-201,coal,3100.0
660.0,COAL-NEW-202,coal,3101.0
660.0,COAL-NEW-203,coal,3102.0
660.0,COAL-NEW-204,coal,3103.0
660.0,COAL-NEW-205,coal,3104.0
660.0,COAL-NEW-206,coal,3105.0
660.0,COAL-NEW-207,coal,3106.0
660.0,COAL-NEW-208,coal,3107.0
660.0,COAL-NEW-209,coal,3108.0
660.0,COAL-NEW-210,coal,3109.0
660.0,COAL-NEW-211,coal,3110.0
660.0,COAL-NEW-212,coal,3111.0
660.0,COAL-NEW-213,coal,3112.0
660.0,COAL-NEW-214,coal,3113.0
660.0,COAL-NEW-215,coal,3114.0
660.0,COAL-NEW-216,coal,3115.0
660.0,COAL-NEW-217,coal,3116.0
660.0,COAL-NEW-218,coal,3117.0
200.0,GAS-CT-NEW-1,gas_ct,8200.0
200.0,GAS-CT-NEW-2,gas_ct,8201.0
200.0,GAS-CT-NEW-3,gas_ct,8202.0
200.0,GAS-CT-NEW-4,gas_ct,8203.0
