Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,139367.663632,97473.933,126.9,8.1,19.2,0.0,0.0,-10197.2783115,0.0,234669,128667.686565
2,1396.73355,2295.33513,3430.0,748.413,0.0,133092.473457,97473.933,126.9,8.1,19.2,0.0,0.0,-8464.0881366,0.0,230127,135862.161481
3,1396.73355,2295.33513,3430.0,748.413,0.0,127305.495341,97338.933,126.9,8.1,19.2,0.0,0.0,-2080.11002132,0.0,230589,137630.254999
4,1396.73355,2295.33513,3430.0,748.413,0.0,118497.353579,105965.964741,126.9,8.1,19.2,0.0,0.0,0.0,0.0,232488,137630.254999
5,8938.9267133,2295.33513,3430.0,748.413,0.0,112787.052157,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,237568,137630.254999
6,19341.7966736,2295.33513,3430.0,748.413,0.0,109927.182196,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,245111,137630.254999
7,6165.88508282,2295.33513,3430.0,748.413,0.0,108994.394875,109087.173,253.8,8.1,19.2,0.0,23382.6989126,0.0,0.0,254385,114247.556086
8,23673.45,2295.33513,3430.0,748.413,5100.10268116,107845.76947,109087.173,253.8,8.1,19.2,0.0,11729.6567184,0.0,0.0,264191,102517.899368
9,23673.45,2295.33513,3430.0,748.413,31461.7835694,97519.2889353,109087.173,253.8,8.1,19.2,0.0,3586.45636528,0.0,0.0,272083,98931.4430027
10,8178.80329614,2295.33513,3430.0,748.413,58613.4603811,94444.7151928,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,277079,98931.4430027
11,1396.73355,2295.33513,3430.0,748.413,80811.2496943,104986.31071,97473.933,126.9,8.1,19.2,0.0,0.0,-14931.1750841,0.0,276365,111622.941824
12,1396.73355,2295.33513,3430.0,748.413,94959.5080229,103077.21487,97359.9547693,126.9,8.1,19.2,0.0,0.0,-30608.3593422,0.0,272813,137640.047265
13,1396.73355,2295.33513,3430.0,748.413,100400.525212,92812.2191291,97338.933,126.9,8.1,19.2,0.0,0.0,-30644.3590213,0.0,267932,163687.752433
14,1396.73355,2295.33513,3430.0,748.413,96902.5356166,78482.2511292,97338.933,126.9,8.1,19.2,0.0,0.0,-17915.4014257,0.0,262833,178915.843645
15,1396.73355,2295.33513,3430.0,748.413,89671.5275333,71519.306912,97338.933,126.9,8.1,19.2,0.0,0.0,-8174.44912534,0.0,258380,185864.125402
16,1396.73355,2295.33513,3430.0,748.413,73292.4905341,76406.6041028,99372.2236831,126.9,8.1,19.2,0.0,0.0,0.0,0.0,257096,185864.125402
17,12218.5758209,2295.33513,3430.0,748.413,44665.2351598,86125.1678893,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,258851,185864.125402
18,1396.73355,2295.33513,3430.0,748.413,6811.15920943,87643.3203619,109087.173,253.8,8.1,19.2,0.0,49684.7657486,0.0,0.0,261378,136179.359653
19,23673.45,2295.33513,3430.0,748.413,929.783517306,101991.372861,109087.173,253.8,8.1,19.2,0.0,19820.3724919,0.0,0.0,262257,116358.987161
20,16025.3245632,2295.33513,3430.0,748.413,494.333974839,128612.320332,109087.173,253.8,8.1,19.2,0.0,0.0,0.0,0.0,260974,116358.987161
21,1396.73355,2295.33513,3430.0,748.413,0.0,144591.292994,103906.025326,126.9,8.1,19.2,0.0,0.0,0.0,0.0,256522,116358.987161
22,1396.73355,2295.33513,3430.0,748.413,0.0,145296.932435,95419.385885,126.9,8.1,19.2,0.0,0.0,0.0,0.0,248741,116358.987161
23,1396.73355,2295.33513,3430.0,748.413,0.0,139307.929836,97338.933,126.9,8.1,19.2,0.0,0.0,-4283.54451644,0.0,240388,120000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,128292.095859,97524.2224613,126.9,8.1,19.2,0.0,0.0,0.0,0.0,233841,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,117751.376441,129683.673,126.9,8.1,19.2,0.0,0.0,-26348.784876,0.0,229061,142396.467145
26,1361.223375,2280.89906,3430.0,748.413,0.0,110158.925877,129519.389805,126.9,8.1,19.2,0.0,0.0,-22155.0511173,0.0,225498,161228.260594
27,1361.223375,2280.89906,3430.0,748.413,0.0,104002.589392,129683.673,126.9,8.1,19.2,0.0,0.0,-17317.9978273,0.0,224343,175948.558748
28,1361.223375,2280.89906,3430.0,748.413,0.0,94031.6550272,129683.673,126.9,8.1,19.2,0.0,0.0,-5040.0634622,0.0,226650,180232.61269
29,1361.223375,2280.89906,3430.0,748.413,0.0,85942.9823044,138425.382261,253.8,8.1,19.2,0.0,0.0,0.0,0.0,232470,180232.61269
30,1361.223375,2280.89906,3430.0,748.413,0.0,81824.5371491,151007.827416,253.8,8.1,19.2,0.0,0.0,0.0,0.0,240934,180232.61269
31,13458.4738735,2280.89906,3430.0,748.413,0.0,78032.4410665,152501.373,253.8,176.4,19.2,0.0,0.0,0.0,0.0,250901,180232.61269
32,22645.5729969,2280.89906,3430.0,748.413,4966.9589548,74193.3829883,152501.373,253.8,176.4,19.2,0.0,0.0,0.0,0.0,261216,180232.61269
33,17662.1245189,2280.89906,3430.0,748.413,32318.3829163,60855.4075048,152501.373,253.8,176.4,19.2,0.0,0.0,0.0,0.0,270246,180232.61269
34,3856.72220722,2280.89906,3430.0,748.413,60291.7763727,51835.4163601,152501.373,253.8,176.4,19.2,0.0,0.0,0.0,0.0,275394,180232.61269
35,1361.223375,2280.89906,3430.0,748.413,81490.880848,52936.726168,131985.657549,126.9,8.1,19.2,0.0,0.0,0.0,0.0,274388,180232.61269
36,1361.223375,2280.89906,3430.0,748.413,97264.0556984,40724.3432904,129683.673,126.9,8.1,19.2,0.0,0.0,-4932.8074238,0.0,270714,184425.499001
37,1361.223375,2280.89906,3430.0,748.413,101107.432834,28136.8843442,129683.673,126.9,8.1,19.2,0.0,0.0,-490.725613603,0.0,266412,184842.615772
38,1361.223375,2280.89906,3430.0,748.413,99708.9452508,21888.1883674,133624.130947,126.9,8.1,19.2,0.0,0.0,0.0,0.0,263196,184842.615772
39,1361.223375,2280.89906,3430.0,748.413,94325.4038221,20371.7735944,138947.187149,253.8,8.1,19.2,0.0,0.0,0.0,0.0,261746,184842.615772
40,1361.223375,2280.89906,3430.0,748.413,77159.1563708,25520.2100633,152443.998131,253.8,8.1,19.2,0.0,0.0,0.0,0.0,263225,184842.615772
41,23673.45,2280.89906,3430.0,748.413,48417.9027523,34816.081085,152501.373,253.8,176.4,19.2,0.0,1618.48110269,0.0,0.0,267936,183224.13467
42,23673.45,2280.89906,3430.0,748.413,7682.82685499,45599.6265821,152501.373,253.8,176.4,19.2,0.0,36008.0115029,0.0,0.0,272374,147216.123167
43,19638.399586,2280.89906,3430.0,748.413,902.548687266,66320.1904474,152501.373,253.8,176.4,19.2,0.0,27257.7762192,0.0,0.0,273529,119958.346947
44,16452.8982175,2280.89906,3430.0,748.413,482.712365837,96068.3043567,152501.373,253.8,176.4,19.2,0.0,0.0,0.0,0.0,272414,119958.346947
45,1361.223375,2280.89906,3430.0,748.413,0.0,117304.434179,142314.930386,253.8,8.1,19.2,0.0,0.0,0.0,0.0,267721,119958.346947
46,1361.223375,2280.89906,3430.0,748.413,0.0,119260.224115,131853.04045,126.9,8.1,19.2,0.0,0.0,0.0,0.0,259088,119958.346947
47,1361.223375,2280.89906,3430.0,748.413,0.0,112792.595156,129683.673,126.9,8.1,19.2,0.0,0.0,-49.0035913443,0.0,250402,120000.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,105076.457203,130935.807362,126.9,8.1,19.2,0.0,0.0,0.0,0.0,243987,120000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,95865.1212738,165931.983,2402.442,8.1,19.2,0.0,0.0,-33600.1034388,0.0,238528,148560.087923
50,1427.509035,2295.33513,3430.0,748.413,0.0,88441.2718952,165931.983,2402.442,8.1,19.2,0.0,0.0,-30121.2540602,0.0,234583,174163.153874
51,1427.509035,2295.33513,3430.0,748.413,0.0,82804.5401671,165931.983,2402.442,8.1,19.2,0.0,0.0,-25311.5223321,0.0,233756,195677.947856
52,1427.509035,2295.33513,3430.0,748.413,0.0,77605.8344024,165931.983,2402.442,8.1,19.2,0.0,0.0,-17804.8165674,0.0,236064,210812.041939
