"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","scenario_sensitivity","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","system_cost_vre_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","avoided_conv_cap_mw_perVREmw"
"154","S225W75","wind120HH_solar1A",3488291200360,2424553182,694639673,536302836.58,158336871,327492879.59,208809957.04,1686699087.1,37393038.78,3997052.1,1326479.81,0,128787887.33,30046800,0,0,116820,0,29400,300020,225017,75003,0,0,"300 GW","75-25",10,"2018-01-24 00:40:40","ClcC70mW120S1A","ClcC70mW120S1A",14690.2393907969,0,1916.27820186297,17697.230122754,8204.69584541174,0,16606.5175926599,25901.9259681657,42508.4435608256,53666.0184670769,96174.4620279026,5408.19857463276,48.297201136101,37.2882905698445,0,0,6.10271628293155,32.1102596621919,10.0842251909776,2.23059597734687,0.0595837965437138,0.221196565437928,0.227940963602291,0.286502139098057,1571.0740926868,0.647984999607569,494.1043455636,0.239255037924084,10.9454584303724,0.0610625958269449
"155","S300W0","wind120HH_solar1A",3939340621930,2424553182,615377419,332845439.73,282531982,332845439.73,0,1887586087.83,39979467.21,3649897.17,1657602.55,0,128787887.33,30046800,0,0,143880,0,11600,300014,300014,0,0,0,"300 GW","100-0",11,"2018-01-24 02:15:04","ClcC70mW120S1A","ClcC70mW120S1A",18093.0632044843,0,756.082555837091,23595.6252107526,0,0,18849.1457603214,23595.6252107526,42444.770971074,60605.2403373846,103050.011308459,12283.7478551888,70.8906368970928,38.3433393592764,0,0,3.09535827365803,30.8900175354256,36.9052610880091,5.0663965411788,0.135333849690893,0.137281146151407,0.459119835318494,0.253810649965772,1757.0292463399,0.724681668929422,308.1491919105,0.149211896755789,39.8629890249934,0.0301985907324325
"156","S0W400","wind120HH_solar1A",2490590170020,2424553182,1099997113,1005709361.17,94287735,0,1005709361.17,1235643823.7,21685976.99,2006262.19,668529.62,4540.72,128787887.33,30046800,0,0,102960,0,43000,400031,0,400031,0,0,"400 GW","0-100",12,"2018-01-24 03:33:46","ClcC70mW120S1A","ClcC70mW120S1A",12947.3296325668,0,2802.71981905128,0,43760.0187157301,0,15750.0494516181,43760.0187157301,59510.0681673482,38316.7718464615,97826.8400138097,7060.57656053989,43.511595303062,39.781939605627,0,0,4.10592995735571,32.3851713211445,7.02049402456183,2.91211453432243,0.0777885559228178,0.414801939027956,0.0857163629937636,0.45369065160807,1147.7125676079,0.473370753889242,917.4658706425,0.444255011407038,7.69573755980196,0.0464464004039687
"157","S100W300","wind120HH_solar1A",2460318023770,2424553182,1054213876,1011959487.87,42254374,187627669.17,824331818.72,1227073077.08,22279010.72,3309033.15,1091701.34,6184.5,128787887.33,30046800,0,0,85140,4750,42000,400086,100079,300007,0,0,"400 GW","25-75",13,"2018-01-24 04:52:45","ClcC70mW120S1A","ClcC70mW120S1A",10706.4456576995,368.139966518575,2737.54028837567,7871.05460234159,32818.2364238022,0,13812.1259125937,40689.2910261438,54501.4169387375,37851.0465195385,92352.463458276,1586.20000500619,40.2084189277061,38.5968084394137,0,0,5.99559152927747,32.6453733412065,1.56745405722206,0.654223638723298,0.0174756560935532,0.417379785843774,0.0400814190478365,0.434807486932658,1141.2443013993,0.470702936059292,923.9341368511,0.447387073067569,1.71678904560469,0.0816074543973046
"158","S200W200","wind120HH_solar1A",2785896465510,2424553182,995153366,857487963.16,137665355,331357901.21,526130061.84,1373572554.31,28012526.07,5266473.21,1378977.76,0,128787887.33,30046800,0,0,98340,1500,37600,400009,200004,200005,0,0,"400 GW","50-50",14,"2018-01-24 06:22:28","ClcC70mW120S1A","ClcC70mW120S1A",12366.3597131567,116.254726269024,2450.75035340298,15729.9973489616,21878.8607463911,0,14933.3647928287,37608.8580953527,52542.2228881815,42859.9456232308,95402.1685114123,4635.90505814244,43.8593423011528,37.792022195052,0,0,5.76807729753217,32.6848858387653,5.40637916485532,1.91206573341415,0.0510751999891368,0.353668448902681,0.138335866152313,0.410448149122101,1279.9006508001,0.527891349343105,785.2777874503,0.380246942785041,5.90352246329881,0.0677484756592977
"159","S300W100","wind120HH_solar1A",3315436814400,2424553182,918763508,615953618.53,302809900,347918799.92,268034818.67,1608814233.12,34995353.47,4593500.86,1361788.41,0,128787887.33,30046800,0,0,112200,0,31600,400037,300014,100023,0,0,"400 GW","75-25",15,"2018-01-24 07:55:58","ClcC70mW120S1A","ClcC70mW120S1A",14109.2694713869,0,2059.67316934932,23595.6252107526,10941.6729003589,0,16168.9426407362,34537.2981111115,50706.2407518477,51006.7202215385,101712.960973386,10946.6975201163,56.0712642512536,37.5910643058665,0,0,6.02395845024512,32.2753548118397,17.7719509891688,4.51493396861127,0.120603152577192,0.254048301807883,0.329584149602511,0.378941371474524,1498.8177149658,0.618183064035508,566.3607232846,0.27424299653468,19.3281367687913,0.0518452043186005
"160","S400W0","wind120HH_solar1A",3920859805550,2424553182,816003964,343446641.39,472557335,343446641.39,0,1876415410.29,40248549.93,3856337.31,1751555.33,0,128787887.33,30046800,0,0,143880,0,11800,400003,400003,0,0,0,"400 GW","100-0",16,"2018-01-24 09:25:50","ClcC70mW120S1A","ClcC70mW120S1A",18093.0632044843,0,769.118461972213,31459.6014558543,0,0,18862.1816664566,31459.6014558543,50321.7831223109,60320.9200853846,110642.703207695,19876.4397544257,91.5996771100476,38.5532458710633,0,0,2.96185740953966,30.7643763208272,57.8734433796807,8.19798051945791,0.218984884892379,0.141653581344292,0.579111552710545,0.336558492532997,1747.0723363133,0.72057496997123,318.1061019371,0.154033228337691,62.4836796068624,0.0221498338762459
"161","S0W0","battery15",4607644717470,2424553182,0,0,0,0,0,2226209346.9,37431382.02,1890048.44,187717.24,0,128787887.33,30046800,0,0,151140,0,13400,0,0,0,0,0,"0 GW","0-0",1,"2018-01-17 00:22:52","ClcC70mB15","ClcC70mB15",19006.0159349858,0,873.405711053191,0,0,0,19879.421646039,0,19879.421646039,70886.8418072308,90766.2634532698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.1784382504,0.851776918560659,NA,NA,NA,NA
"162","S0W200","battery15",3527658020340,2426180607.77,477166828,477166824.57,0,0,477166824.57,1765697948.72,23079536.87,1233552.74,168057.6,0,128787887.33,30046800,9222078.57,-10849504.39,126720,0,30200,200005,0,200005,15000,60000,"200 GW","0-100",2,"2018-01-19 17:04:52","ClcC70mB15","ClcC70mB15",15935.1749323899,0,1968.42182640346,0,21878.8607463911,4324.50288121674,17903.5967587933,21878.8607463911,44106.9603864012,54271.6618513846,98378.6222377858,7612.35878451602,45.8515965901597,45.8515962605664,9.06287415331897,9.06287408817266,4.1407423683032,34.8204843679545,15.953244007221,3.13758949360033,0.083867711359906,0.196674074074223,7.18826164326863e-09,0.196674075487968,1635.050463766,0.673919517174297,430.1279744844,0.208276421309531,17.697892804208,0.0380990475238119
"163","S50W150","battery15",3577212709690,2426453571.62,454821772,454821767.92,0,87844246.67,366977521.2,1786512294.04,24812197.6,1304432.69,168192,0,128787887.33,30046800,10768874.47,-12669264.13,118800,0,25000,200025,50015,150010,15000,60000,"200 GW","25-75",3,"2018-01-19 18:13:01","ClcC70mB15","ClcC70mB15",14939.2264991155,0,1629.48826689028,3933.60041503327,16409.8292570993,4324.50288121674,16568.7147660058,20343.4296721325,41236.6473193551,55034.0416875385,96270.6890068935,5504.4255536237,44.7283553845004,44.7283549832626,9.50812644916632,9.50812636387323,7.27913022979053,34.8549722942916,12.1023793095846,2.26850644001761,0.0606439589358838,0.18744301281493,8.97054678224749e-09,0.187443014496396,1654.9721435435,0.682053909005386,410.2062947069,0.198629952312703,13.4186764675484,0.10368703912011
