parameter,coallc,coalhc,coallcW10lc,coallcW20lc,coallcW30lc,coallcS10lc,coallcS20lc,coallcS30lc,coallcW30lcS30lc,coallcB25lc,coallcB50lc,coalhcW30lcS30lc
gas_ct,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
gas_ccgt,0.105,0.183,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.183
coal,1,1,1,1,1,1,1,1,1,1,1,1
gas_price,10,10,10,10,10,10,10,10,10,10,10,10
cap_cost_ct,678,678,678,678,678,678,678,678,678,678,678,678
cap_cost_ccgt,775,775,775,775,775,775,775,775,775,775,775,775
cap_cost_coal,976,1140,976,976,976,976,976,976,976,976,976,1140
