Fuel,MaxOutputBreaks,Heat Rate,Notes
CCGT-GAS,NA,7.29,Units are in GJ per MWh
CCGT-LNG,NA,7.29,NA
CCGT-NAPTHA,NA,7.29,NA
COGENERATION-BAGASSE,NA,12.3,NA
CT-GAS,NA,11.07,NA
DIESEL,NA,11.48,NA
NUCLEAR,NA,0,NA
SUBCRITICAL-COAL,500,11.43,NA
SUBCRITICAL-COAL,9999,10.8,NA
SUPERCRITICAL-COAL,500,11.43,NA
SUPERCRITICAL-COAL,9999,10.8,NA
SUBCRITICAL-LIGNITE,NA,12.3,NA
SUBCRITICAL-OIL,NA,12.3,NA
