/ BEGIN,Objects,,,
class,name,category,description,notes
Company,JAMMU & KASHMIR State or Private,NR,,
Company,JAMMU & KASHMIR Central,NR,,
Company,HIMACHAL PRADESH State or Private,NR,,
Company,PUNJAB State or Private,NR,,
Company,HARYANA State or Private,NR,,
Company,DELHI State or Private,NR,,
Company,RAJASTHAN State or Private,NR,,
Company,RAJASTHAN Central,NR,,
Company,UTTAR PRADESH State or Private,NR,,
Company,UTTAR PRADESH Central,NR,,
Company,PUNJAB Central,NR,,
Company,HIMACHAL PRADESH Central,NR,,
Company,UTTARAKHAND Central,NR,,
Company,DELHI Central,NR,,
Company,HARYANA Central,NR,,
Company,MADHYA PRADESH Central,WR,,
Company,UTTARAKHAND State or Private,NR,,
Company,ASSAM Central,NER,,
Company,ASSAM State or Private,NER,,
Company,ARUNACHAL PRADESH Central,NER,,
Company,ARUNACHAL PRADESH State or Private,NER,,
Company,MEGHALAYA State or Private,NER,,
Company,NAGALAND Central,NER,,
Company,NAGALAND State or Private,NER,,
Company,MANIPUR Central,NER,,
Company,MIZORAM State or Private,NER,,
Company,MIZORAM Central,NER,,
Company,TRIPURA State or Private,NER,,
Company,TRIPURA Central,NER,,
Company,BHUTAN Central,BHUTAN,,
Company,CHHATTISGARH State or Private,WR,,
Company,CHHATTISGARH Central,WR,,
Company,GUJARAT State or Private,WR,,
Company,GUJARAT Central,WR,,
Company,MADHYA PRADESH State or Private,WR,,
Company,MAHARASHTRA State or Private,WR,,
Company,MAHARASHTRA Central,WR,,
Company,BIHAR Central,ER,,
Company,BIHAR State or Private,ER,,
Company,ODISHA Central,ER,,
Company,ODISHA State or Private,ER,,
Company,WEST BENGAL State or Private,ER,,
Company,JHARKHAND Central,ER,,
Company,JHARKHAND State or Private,ER,,
Company,WEST BENGAL Central,ER,,
Company,SIKKIM State or Private,ER,,
Company,SIKKIM Central,ER,,
Company,TELANGANA Central,SR,,
Company,ANDHRA PRADESH State or Private,SR,,
Company,TELANGANA State or Private,SR,,
Company,ANDHRA PRADESH Central,SR,,
Company,KARNATAKA State or Private,SR,,
Company,KARNATAKA Central,SR,,
Company,KERALA State or Private,SR,,
Company,TAMIL NADU State or Private,SR,,
Company,TAMIL NADU Central,SR,,
/ END,Objects,,,
/ BEGIN,Memberships,,,
parent_class,child_class,collection,parent_object,child_object
Generator,Company,Companies,GEN_111104_LOWERJHELUM1_132_1,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111104_LOWERJHELUM1_132_2,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111104_LOWERJHELUM1_132_3,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111108_UDAMPUR1_132_1,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111108_UDAMPUR1_132_2,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111108_UDAMPUR1_132_3,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111108_UDAMPUR1_132_4,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111108_UDAMPUR1_132_5,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111119_UPPERSIND_132_1,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111119_UPPERSIND_132_2,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111119_UPPERSIND_132_3,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111119_UPPERSIND_132_4,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111119_UPPERSIND_132_5,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_1,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_2,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_3,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_4,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_5,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_6,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_111129_PAMPORE1_132_7,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_112208_KISHANNGA-GE_220_1,JAMMU & KASHMIR Central
Generator,Company,Companies,GEN_112208_KISHANNGA-GE_220_2,JAMMU & KASHMIR Central
Generator,Company,Companies,GEN_112208_KISHANNGA-GE_220_3,JAMMU & KASHMIR Central
Generator,Company,Companies,GEN_114401_BAGLIHAR4_400_1,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_114401_BAGLIHAR4_400_2,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_114401_BAGLIHAR4_400_3,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_114401_BAGLIHAR4_400_4,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_114401_BAGLIHAR4_400_5,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_114401_BAGLIHAR4_400_6,JAMMU & KASHMIR State or Private
Generator,Company,Companies,GEN_121102_BAJAURA1_132_TH,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121104_MALANA1_132_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121104_MALANA1_132_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121105_KANGRA1_132_GJ,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121105_KANGRA1_132_KH,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121109_BASSI1_132_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121109_BASSI1_132_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121109_BASSI1_132_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121109_BASSI1_132_4,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121112_GIRI1_132_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121112_GIRI1_132_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121115_PALAMPUR_132_BN,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121115_PALAMPUR_132_BW,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121119_LARJI1_132_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121119_LARJI1_132_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121119_LARJI1_132_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121128_CHANJU-1_220_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121140_UHL-3_132_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121140_UHL-3_132_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_121140_UHL-3_132_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122202_BUDHIL_220_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122202_BUDHIL_220_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122207_KASANG_220_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122207_KASANG_220_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122207_KASANG_220_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122211_TIDONG_220_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122211_TIDONG_220_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122226_BHABA2_220_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122226_BHABA2_220_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122226_BHABA2_220_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_122226_BHABA2_220_4,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124402_BASPA4_400_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124402_BASPA4_400_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124402_BASPA4_400_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124403_SHANGTONG_400_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124403_SHANGTONG_400_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124403_SHANGTONG_400_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124403_SHANGTONG_400_4,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124404_CHANGO-YANTG_400_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124404_CHANGO-YANTG_400_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124404_CHANGO-YANTG_400_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124903_SAINJ_400_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124903_SAINJ_400_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124910_SAWRA-KUDDU_400_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124910_SAWRA-KUDDU_400_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_124910_SAWRA-KUDDU_400_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_131100_UBDCPH-1_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131100_UBDCPH-1_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131110_MUKERIAN-4_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131110_MUKERIAN-4_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131110_MUKERIAN-4_132_3,PUNJAB State or Private
Generator,Company,Companies,GEN_131118_MUKERI-3_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131118_MUKERI-3_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131118_MUKERI-3_132_3,PUNJAB State or Private
Generator,Company,Companies,GEN_131149_ANANDGARH-2_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131149_ANANDGARH-2_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131149_ANANDGARH-2_132_3,PUNJAB State or Private
Generator,Company,Companies,GEN_131149_ANANDGARH-2_132_4,PUNJAB State or Private
Generator,Company,Companies,GEN_131170_UBDCPH-3_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131170_UBDCPH-3_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131171_UBDCPH-2_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131171_UBDCPH-2_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131189_MUKERI-1_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131189_MUKERI-1_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131189_MUKERI-1_132_3,PUNJAB State or Private
Generator,Company,Companies,GEN_131190_MUKERI-2_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131190_MUKERI-2_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131190_MUKERI-2_132_3,PUNJAB State or Private
Generator,Company,Companies,GEN_131192_JOGINDERNAGA_132_1,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_131192_JOGINDERNAGA_132_2,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_131192_JOGINDERNAGA_132_3,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_131192_JOGINDERNAGA_132_4,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_131192_JOGINDERNAGA_132_5,HIMACHAL PRADESH State or Private
Generator,Company,Companies,GEN_131197_ANANDGARH-1_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131197_ANANDGARH-1_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131271_SHAPUR-KHAND_132_1,PUNJAB State or Private
Generator,Company,Companies,GEN_131271_SHAPUR-KHAND_132_2,PUNJAB State or Private
Generator,Company,Companies,GEN_131271_SHAPUR-KHAND_132_3,PUNJAB State or Private
Generator,Company,Companies,GEN_131271_SHAPUR-KHAND_132_4,PUNJAB State or Private
