Fuel,Generator,Transport Charge
SUBCRITICAL-COAL,GEN_314014_JIN4-B1_400_1,103.83
SUBCRITICAL-COAL,GEN_314014_JIN4-B1_400_2,103.83
SUBCRITICAL-COAL,GEN_314014_JIN4-B1_400_3,103.83
SUBCRITICAL-COAL,GEN_314018_ARYN_CBL_400_1,1.62
SUBCRITICAL-COAL,GEN_314018_ARYN_CBL_400_2,1.62
SUBCRITICAL-COAL,GEN_314019_BALCO_400_1,103.83
SUBCRITICAL-COAL,GEN_314019_BALCO_400_2,103.83
SUBCRITICAL-COAL,GEN_314020_VANDANA_400_1,103.83
SUBCRITICAL-COAL,GEN_314020_VANDANA_400_2,103.83
SUBCRITICAL-COAL,GEN_314022_MARWA_400_1,224.72
SUBCRITICAL-COAL,GEN_314022_MARWA_400_2,224.72
SUPERCRITICAL-COAL,GEN_314023_KWPCL_400_1,50.93
SUPERCRITICAL-COAL,GEN_314023_KWPCL_400_2,50.93
SUBCRITICAL-COAL,GEN_314026_DBPOWER_400_1,112.8
SUBCRITICAL-COAL,GEN_314026_DBPOWER_400_2,112.8
SUBCRITICAL-COAL,GEN_314027_JPL_EXTN_400_1,112.8
SUBCRITICAL-COAL,GEN_314027_JPL_EXTN_400_2,112.8
SUBCRITICAL-COAL,GEN_314027_JPL_EXTN_400_3,112.8
SUBCRITICAL-COAL,GEN_314027_JPL_EXTN_400_4,112.8
SUBCRITICAL-COAL,GEN_314039_RKM_400_1,103.83
SUPERCRITICAL-COAL,GEN_314039_RKM_400_2,45.36
SUPERCRITICAL-COAL,GEN_314039_RKM_400_3,45.36
SUBCRITICAL-COAL,GEN_314039_RKM_400_4,103.83
SUBCRITICAL-COAL,GEN_314040_ATHENA_400_1,51.85
SUBCRITICAL-COAL,GEN_314040_ATHENA_400_2,51.85
SUBCRITICAL-COAL,GEN_314041_SKS_400_1,103.83
SUBCRITICAL-COAL,GEN_314041_SKS_400_2,103.83
SUBCRITICAL-COAL,GEN_314041_SKS_400_3,103.83
SUBCRITICAL-COAL,GEN_314041_SKS_400_4,103.83
SUBCRITICAL-COAL,GEN_314042_VISAPOWER_400_1,51.85
SUPERCRITICAL-COAL,GEN_314044_GMR_400_1,112.8
SUPERCRITICAL-COAL,GEN_314044_GMR_400_2,112.8
SUPERCRITICAL-COAL,GEN_314045_LARASTPP_400_1,50.93
SUPERCRITICAL-COAL,GEN_314047_KPCL_400_1,45.36
SUPERCRITICAL-COAL,GEN_318007_SIPAT7_765_1,50.93
SUPERCRITICAL-COAL,GEN_318007_SIPAT7_765_2,50.93
SUPERCRITICAL-COAL,GEN_318007_SIPAT7_765_3,50.93
SUBCRITICAL-COAL,GEN_318007_SIPAT7_765_4,45.36
SUBCRITICAL-COAL,GEN_318007_SIPAT7_765_5,47.99
SUBCRITICAL-COAL,GEN_351008_DHUV1_132_G1,167.85
SUBCRITICAL-COAL,GEN_351008_DHUV1_132_G2,167.85
SUBCRITICAL-COAL,GEN_351008_DHUV1_132_G3,167.85
SUBCRITICAL-COAL,GEN_351008_DHUV1_132_G4,167.85
SUBCRITICAL-COAL,GEN_351008_DHUV1_132_G5,167.85
SUBCRITICAL-COAL,GEN_351015_SIKKA1_132_1,271.08
SUBCRITICAL-COAL,GEN_351015_SIKKA1_132_2,271.08
CCGT-LNG,GEN_351023_AECOM1_132_C,357.33
CCGT-LNG,GEN_351023_AECOM1_132_D,357.33
CCGT-LNG,GEN_351023_AECOM1_132_E,357.33
SUBCRITICAL-COAL,GEN_351023_AECOM1_132_F,197.1
SUBCRITICAL-COAL,GEN_351023_AECOM1_132_G1,197.1
CCGT-LNG,GEN_351023_AECOM1_132_G2,357.33
SUBCRITICAL-COAL,GEN_351023_AECOM1_132_G3,197.1
CCGT-LNG,GEN_351024_GIPCL1_132_G1,348.7
CCGT-LNG,GEN_351024_GIPCL1_132_G2,348.7
CCGT-LNG,GEN_351024_GIPCL1_132_G3,348.7
CCGT-LNG,GEN_351024_GIPCL1_132_G4,348.7
CCGT-LNG,GEN_351024_GIPCL1_132_G5,348.7
CCGT-LNG,GEN_351024_GIPCL1_132_G6,348.7
CCGT-GAS,GEN_352002_GANCS2_220_G1,554.46
CCGT-GAS,GEN_352002_GANCS2_220_G2,554.46
CCGT-GAS,GEN_352002_GANCS2_220_G3,554.46
CCGT-GAS,GEN_352002_GANCS2_220_GT,554.46
SUBCRITICAL-COAL,GEN_352004_WANAK2_220_1,232.59
SUBCRITICAL-COAL,GEN_352004_WANAK2_220_2,232.59
SUBCRITICAL-COAL,GEN_352004_WANAK2_220_3,232.59
SUBCRITICAL-COAL,GEN_352007_UKAIT2_220_1,202.84
SUBCRITICAL-COAL,GEN_352007_UKAIT2_220_2,202.84
SUBCRITICAL-COAL,GEN_352007_UKAIT2_220_3,202.84
SUBCRITICAL-COAL,GEN_352007_UKAIT2_220_4,202.84
SUBCRITICAL-COAL,GEN_352007_UKAIT2_220_5,202.84
CCGT-LNG,GEN_352009_GPEC2_220_G1,554.46
CCGT-LNG,GEN_352009_GPEC2_220_G2,554.46
CCGT-LNG,GEN_352009_GPEC2_220_G3,554.46
CCGT-LNG,GEN_352009_GPEC2_220_GT,554.46
SUBCRITICAL-COAL,GEN_352015_MUNDRA2_220_1,96.11
SUBCRITICAL-COAL,GEN_352015_MUNDRA2_220_2,96.11
SUBCRITICAL-COAL,GEN_352023_GANDHINGR_220_1,378.7
SUBCRITICAL-COAL,GEN_352023_GANDHINGR_220_2,378.7
SUBCRITICAL-COAL,GEN_352023_GANDHINGR_220_3,261.46
SUBCRITICAL-COAL,GEN_352023_GANDHINGR_220_4,261.46
SUBCRITICAL-COAL,GEN_352023_GANDHINGR_220_5,224.72
SUPERCRITICAL-COAL,GEN_352026_CHATR2_220_S2,71.26
CCGT-LNG,GEN_352046_UTRAN2_220_G1,177.23
CCGT-LNG,GEN_352046_UTRAN2_220_G2,177.23
CCGT-LNG,GEN_352046_UTRAN2_220_G3,177.23
CCGT-LNG,GEN_352046_UTRAN2_220_G4,177.23
CCGT-LNG,GEN_352046_UTRAN2_220_G5,177.23
CCGT-LNG,GEN_352046_UTRAN2_220_G6,177.23
SUBCRITICAL-LIGNITE,GEN_352053_KUTCHLIG_220_1,69.51
SUBCRITICAL-LIGNITE,GEN_352053_KUTCHLIG_220_2,69.51
SUBCRITICAL-LIGNITE,GEN_352053_KUTCHLIG_220_3,69.51
SUBCRITICAL-LIGNITE,GEN_352053_KUTCHLIG_220_4,59.76
CCGT-NAPTHA,GEN_352060_ESSAR2_220_G1,383.45
CCGT-NAPTHA,GEN_352060_ESSAR2_220_G2,383.45
CCGT-NAPTHA,GEN_352060_ESSAR2_220_G3,383.45
CCGT-NAPTHA,GEN_352060_ESSAR2_220_GT,383.45
SUBCRITICAL-COAL,GEN_352073_AKRIM_220_1,29.62
SUBCRITICAL-COAL,GEN_352073_AKRIM_220_2,29.62
CCGT-GAS,GEN_352077_KAWAS2_220_G1,293.83
CCGT-GAS,GEN_352077_KAWAS2_220_G2,293.83
CCGT-GAS,GEN_352077_KAWAS2_220_G3,293.83
CCGT-GAS,GEN_352077_KAWAS2_220_G4,293.83
CCGT-GAS,GEN_352077_KAWAS2_220_G5,293.83
CCGT-GAS,GEN_352077_KAWAS2_220_G6,293.83
CCGT-LNG,GEN_352088_GSEG_220_G1,123.73
CCGT-LNG,GEN_352088_GSEG_220_G2,123.73
CCGT-LNG,GEN_352088_GSEG_220_GT,123.73
CCGT-LNG,GEN_352090_GACL_220_1,357.33
CCGT-LNG,GEN_352090_GACL_220_2,357.33
CCGT-LNG,GEN_352090_GACL_220_GT,357.33
SUBCRITICAL-LIGNITE,GEN_352095_SURATLIGNIT_220_1,63.82
SUBCRITICAL-LIGNITE,GEN_352095_SURATLIGNIT_220_2,63.82
SUBCRITICAL-LIGNITE,GEN_352095_SURATLIGNIT_220_3,63.82
SUBCRITICAL-LIGNITE,GEN_352095_SURATLIGNIT_220_4,63.82
CCGT-LNG,GEN_352130_HAZR-EXT_220_GT,108.64
CCGT-LNG,GEN_352131_PIPAVAV_220_1,357.33
SUBCRITICAL-COAL,GEN_352137_OPGPOWER_220_1,96.11
SUBCRITICAL-COAL,GEN_354004_WANAK4_400_1,232.59
SUBCRITICAL-COAL,GEN_354004_WANAK4_400_2,232.59
SUBCRITICAL-COAL,GEN_354004_WANAK4_400_3,232.59
SUBCRITICAL-COAL,GEN_354004_WANAK4_400_4,232.59
SUPERCRITICAL-COAL,GEN_354004_WANAK4_400_8,78.33
SUBCRITICAL-COAL,GEN_354007_UKAI4_400_6,166.97
CCGT-LNG,GEN_354012_SUGEN4_400_G1,680.66
CCGT-LNG,GEN_354012_SUGEN4_400_G2,680.66
CCGT-LNG,GEN_354012_SUGEN4_400_G3,680.66
SUBCRITICAL-COAL,GEN_354015_MUNDRA4_400_3,96.11
SUBCRITICAL-COAL,GEN_354015_MUNDRA4_400_4,96.11
SUPERCRITICAL-COAL,GEN_354015_MUNDRA4_400_5,77.78
SUPERCRITICAL-COAL,GEN_354015_MUNDRA4_400_6,77.78
SUPERCRITICAL-COAL,GEN_354015_MUNDRA4_400_7,88.89
SUPERCRITICAL-COAL,GEN_354015_MUNDRA4_400_8,88.89
SUPERCRITICAL-COAL,GEN_354015_MUNDRA4_400_9,88.89
SUPERCRITICAL-COAL,GEN_354023_CGPL_400_1,83.33
SUPERCRITICAL-COAL,GEN_354023_CGPL_400_2,83.33
SUPERCRITICAL-COAL,GEN_354023_CGPL_400_3,83.33
SUPERCRITICAL-COAL,GEN_354023_CGPL_400_4,83.33
SUPERCRITICAL-COAL,GEN_354023_CGPL_400_5,83.33
SUPERCRITICAL-COAL,GEN_354026_VADINAR_400_1,113.89
SUPERCRITICAL-COAL,GEN_354026_VADINAR_400_2,113.89
CCGT-LNG,GEN_354032_SUGEN-UN_400_G1,680.66
CCGT-LNG,GEN_354033_DGEN_400_1,357.33
CCGT-LNG,GEN_354033_DGEN_400_2,357.33
CCGT-LNG,GEN_354033_DGEN_400_3,357.33
SUBCRITICAL-COAL,GEN_361029_AMK132_132_1,90.86
SUBCRITICAL-COAL,GEN_361029_AMK132_132_2,90.86
SUBCRITICAL-COAL,GEN_361227_BLA-TPS_132_1,157.35
SUBCRITICAL-COAL,GEN_361227_BLA-TPS_132_2,157.35
SUBCRITICAL-COAL,GEN_362003_SAT2_220_6,178.76
SUBCRITICAL-COAL,GEN_362003_SAT2_220_7,124.98
SUBCRITICAL-COAL,GEN_362017_BIRST2_220_1,168.72
SUBCRITICAL-COAL,GEN_362017_BIRST2_220_2,168.72
SUBCRITICAL-COAL,GEN_362017_BIRST2_220_3,168.72
SUBCRITICAL-COAL,GEN_362026_AMARK2_220_1,90.86
SUBCRITICAL-COAL,GEN_362026_AMARK2_220_2,90.86
SUBCRITICAL-COAL,GEN_362026_AMARK2_220_3,90.86
SUBCRITICAL-COAL,GEN_364003_SATPU4_400_10,105.73
SUBCRITICAL-COAL,GEN_364003_SATPU4_400_11,105.73
SUBCRITICAL-COAL,GEN_364003_SATPU4_400_8,105.73
SUBCRITICAL-COAL,GEN_364003_SATPU4_400_9,105.73
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_1,83.86
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_10,75.11
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_2,83.86
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_3,83.86
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_4,83.86
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_5,83.86
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_6,83.86
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_7,85.61
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_8,85.61
SUBCRITICAL-COAL,GEN_364008_VINDH_W4_400_9,75.11
SUBCRITICAL-COAL,GEN_364022_VINDH-IV-V_400_1,78.61
SUBCRITICAL-COAL,GEN_364027_MAHAN_400_1,119.47
SUBCRITICAL-COAL,GEN_364027_MAHAN_400_2,119.47
SUBCRITICAL-COAL,GEN_364028_JP-BINA_400_1,181.85
SUBCRITICAL-COAL,GEN_364028_JP-BINA_400_2,181.85
SUBCRITICAL-COAL,GEN_364030_MALWA_400_1,122.22
SUBCRITICAL-COAL,GEN_364030_MALWA_400_2,122.22
SUPERCRITICAL-COAL,GEN_364033_NIGRI_400_1,58.33
SUPERCRITICAL-COAL,GEN_364033_NIGRI_400_2,58.33
SUBCRITICAL-COAL,GEN_364034_ANUPPUR_400_1,91.67
SUBCRITICAL-COAL,GEN_364034_ANUPPUR_400_2,91.67
SUBCRITICAL-COAL,GEN_364038_JHABUAPOWER_400_1,91.67
SUBCRITICAL-COAL,GEN_364038_JHABUAPOWER_400_2,91.67
SUPERCRITICAL-COAL,GEN_368024_SASAN_765_1,56.39
SUPERCRITICAL-COAL,GEN_368024_SASAN_765_2,56.39
SUPERCRITICAL-COAL,GEN_368024_SASAN_765_3,56.39
SUPERCRITICAL-COAL,GEN_368024_SASAN_765_4,56.39
SUPERCRITICAL-COAL,GEN_368024_SASAN_765_5,56.39
SUPERCRITICAL-COAL,GEN_368024_SASAN_765_6,56.39
SUPERCRITICAL-COAL,GEN_368027_GADARWARAST_765_1,56.39
SUPERCRITICAL-COAL,GEN_368027_GADARWARAST_765_2,56.39
SUPERCRITICAL-COAL,GEN_368039_DWARKESH_400_1,56.39
SUPERCRITICAL-COAL,GEN_368039_DWARKESH_400_2,56.39
SUPERCRITICAL-COAL,GEN_368040_KHARGONE_400_1,56.39
SUPERCRITICAL-COAL,GEN_368040_KHARGONE_400_2,56.39
SUBCRITICAL-COAL,GEN_371006_BHUSA1_132_2,217.72
SUBCRITICAL-COAL,GEN_371006_BHUSA1_132_3,217.72
SUBCRITICAL-COAL,GEN_372005_PARLI2_220_3,209.84
SUBCRITICAL-COAL,GEN_372005_PARLI2_220_4,209.84
SUBCRITICAL-COAL,GEN_372005_PARLI2_220_5,209.84
SUBCRITICAL-COAL,GEN_372005_PARLI2_220_6,187.97
SUBCRITICAL-COAL,GEN_372005_PARLI2_220_7,187.97
SUBCRITICAL-COAL,GEN_372006_CHAND2_220_1,180.1
SUBCRITICAL-COAL,GEN_372009_KORAD2_220_5,256.21
CCGT-LNG,GEN_372024_URAN2_220_5,145.68
CCGT-LNG,GEN_372024_URAN2_220_6,145.68
CCGT-LNG,GEN_372024_URAN2_220_G1,145.68
CCGT-LNG,GEN_372024_URAN2_220_G2,145.68
CCGT-LNG,GEN_372024_URAN2_220_G3,145.68
CCGT-LNG,GEN_372024_URAN2_220_G4,145.68
SUBCRITICAL-COAL,GEN_372026_BARAMATI_220_1,154.72
SUBCRITICAL-COAL,GEN_372046_WARDH2_220_1,205.14
SUBCRITICAL-COAL,GEN_372046_WARDH2_220_2,205.14
SUBCRITICAL-COAL,GEN_372051_NASIK2_220_1,178.76
SUBCRITICAL-COAL,GEN_372051_NASIK2_220_2,290.33
SUBCRITICAL-COAL,GEN_372051_NASIK2_220_3,290.33
SUBCRITICAL-COAL,GEN_372051_NASIK2_220_4,290.33
SUBCRITICAL-COAL,GEN_372051_NASIK2_220_5,290.33
SUBCRITICAL-COAL,GEN_372052_TROMB2_220_5,182.72
SUBCRITICAL-COAL,GEN_372052_TROMB2_220_6,551.92
SUBCRITICAL-COAL,GEN_372052_TROMB2_220_7,423.32
SUBCRITICAL-COAL,GEN_372052_TROMB2_220_8,176.6
SUBCRITICAL-COAL,GEN_372052_TROMB2_220_G1,182.72
SUBCRITICAL-COAL,GEN_372053_KKHED2_220_1,208.09
SUBCRITICAL-COAL,GEN_372053_KKHED2_220_2,208.09
SUBCRITICAL-COAL,GEN_372053_KKHED2_220_3,208.09
SUBCRITICAL-COAL,GEN_372053_KKHED2_220_4,208.09
SUBCRITICAL-COAL,GEN_372090_DAHAN2_220_1,204.59
SUBCRITICAL-COAL,GEN_372090_DAHAN2_220_2,204.59
SUBCRITICAL-COAL,GEN_372111_PARAS_220_3,154.72
SUBCRITICAL-COAL,GEN_372111_PARAS_220_4,154.72
SUBCRITICAL-COAL,GEN_372170_PAWAS_220_1,205.14
SUBCRITICAL-COAL,GEN_372184_INDORAM_220_1,205.14
SUBCRITICAL-COAL,GEN_372187_CHND-MDC_220_1,205.14
SUBCRITICAL-COAL,GEN_372188_MATRDEV_220_1,205.14
SUBCRITICAL-COAL,GEN_372190_FINOLEX_220_1,205.14
SUBCRITICAL-COAL,GEN_372195_KSK-WRDH_220_1,205.14
SUBCRITICAL-COAL,GEN_372195_KSK-WRDH_220_2,205.14
SUBCRITICAL-COAL,GEN_372195_KSK-WRDH_220_3,205.14
SUBCRITICAL-COAL,GEN_372195_KSK-WRDH_220_4,205.14
SUBCRITICAL-COAL,GEN_372203_VIDARBHA_220_1,200.22
SUBCRITICAL-COAL,GEN_372203_VIDARBHA_220_2,200.22
SUBCRITICAL-COAL,GEN_372204_ABHI-NG_220_1,205.14
SUBCRITICAL-COAL,GEN_372204_ABHI-NG_220_2,205.14
SUBCRITICAL-COAL,GEN_372204_ABHI-NG_220_3,205.14
SUBCRITICAL-COAL,GEN_372204_ABHI-NG_220_4,205.14
SUBCRITICAL-COAL,GEN_374006_CHNDR4_400_2,180.1
SUBCRITICAL-COAL,GEN_374006_CHNDR4_400_3,180.1
SUBCRITICAL-COAL,GEN_374006_CHNDR4_400_4,180.1
SUBCRITICAL-COAL,GEN_374006_CHNDR4_400_5,180.1
SUBCRITICAL-COAL,GEN_374006_CHNDR4_400_6,180.1
SUBCRITICAL-COAL,GEN_374006_CHNDR4_400_7,180.1
SUBCRITICAL-COAL,GEN_374009_KORADI-I_400_1,256.21
SUBCRITICAL-COAL,GEN_374009_KORADI-I_400_2,256.21
SUBCRITICAL-COAL,GEN_374023_JAIGAD_400_1,102.23
SUBCRITICAL-COAL,GEN_374023_JAIGAD_400_2,102.23
SUBCRITICAL-COAL,GEN_374023_JAIGAD_400_3,102.23
SUBCRITICAL-COAL,GEN_374023_JAIGAD_400_4,102.23
CCGT-LNG,GEN_374024_RGPPL_400_1,145.68
CCGT-LNG,GEN_374024_RGPPL_400_2,145.68
CCGT-LNG,GEN_374024_RGPPL_400_3,145.68
CCGT-LNG,GEN_374024_RGPPL_400_4,145.68
SUBCRITICAL-COAL,GEN_374027_K-KHD-NEW_400_5,173.97
SUBCRITICAL-COAL,GEN_374030_BHUSAWAL-II_400_4,172.22
SUBCRITICAL-COAL,GEN_374030_BHUSAWAL-II_400_5,172.22
SUBCRITICAL-COAL,GEN_374031_MAUDA_400_1,176.6
SUBCRITICAL-COAL,GEN_374031_MAUDA_400_2,176.6
SUPERCRITICAL-COAL,GEN_374031_MAUDA_400_3,105.56
SUPERCRITICAL-COAL,GEN_374031_MAUDA_400_4,105.56
SUPERCRITICAL-COAL,GEN_374032_TIRODA_400_1,194.44
SUPERCRITICAL-COAL,GEN_374032_TIRODA_400_2,194.44
SUPERCRITICAL-COAL,GEN_374032_TIRODA_400_3,194.44
SUBCRITICAL-COAL,GEN_374034_EMCO_400_1,76.16
SUBCRITICAL-COAL,GEN_374034_EMCO_400_2,76.16
SUBCRITICAL-COAL,GEN_374035_IEPL_400_1,205.14
SUBCRITICAL-COAL,GEN_374035_IEPL_400_2,205.14
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_1,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_10,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_2,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_3,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_4,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_5,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_6,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_7,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_8,195.84
SUBCRITICAL-COAL,GEN_374036_AMRAVATIIBL_400_9,195.84
SUBCRITICAL-COAL,GEN_374037_CHANDRPR-II_400_8,154.72
SUBCRITICAL-COAL,GEN_374037_CHANDRPR-II_400_9,154.72
SUPERCRITICAL-COAL,GEN_374038_KORADI-II_400_10,105.56
SUBCRITICAL-COAL,GEN_374039_DHARIWAL_400_1,205.14
SUBCRITICAL-COAL,GEN_374055_SINNARTPP_400_1,154.72
SUBCRITICAL-COAL,GEN_374055_SINNARTPP_400_10,154.72
SUBCRITICAL-COAL,GEN_374055_SINNARTPP_400_2,154.72
SUPERCRITICAL-COAL,GEN_374090_SOLAPURSTPP_400_1,158.89
SUPERCRITICAL-COAL,GEN_374090_SOLAPURSTPP_400_2,158.89
SUPERCRITICAL-COAL,GEN_374092_LANCOVIDARB_400_1,105.56
SUPERCRITICAL-COAL,GEN_374092_LANCOVIDARB_400_2,105.56
SUPERCRITICAL-COAL,GEN_378032_TIRODA_765_1,105.56
SUPERCRITICAL-COAL,GEN_378032_TIRODA_765_2,105.56
SUBCRITICAL-COAL,GEN_410001_KAHALG_15.75_1,163.12
SUBCRITICAL-COAL,GEN_410001_KAHALG_15.75_2,163.12
SUBCRITICAL-COAL,GEN_411025_BARAUNI_132_1,197.59
SUBCRITICAL-COAL,GEN_411025_BARAUNI_132_2,197.59
SUBCRITICAL-COAL,GEN_412001_KANTI_220_1,163.12
SUBCRITICAL-COAL,GEN_412025_BARAUNI_220_1,163.12
SUBCRITICAL-COAL,GEN_412025_BARAUNI_220_2,163.12
SUBCRITICAL-COAL,GEN_414010_KAHALGAON-B_400_1,163.12
SUBCRITICAL-COAL,GEN_414010_KAHALGAON-B_400_2,163.12
SUBCRITICAL-COAL,GEN_414010_KAHALGAON-B_400_3,163.12
SUBCRITICAL-COAL,GEN_414020_NABINAGAR-I_400_1,163.12
SUBCRITICAL-COAL,GEN_414020_NABINAGAR-I_400_2,163.12
SUPERCRITICAL-COAL,GEN_414031_NABINAGAR-II_400_1,334.81
SUPERCRITICAL-COAL,GEN_414031_NABINAGAR-II_400_2,334.81
SUPERCRITICAL-COAL,GEN_414031_NABINAGAR-II_400_3,334.81
SUPERCRITICAL-COAL,GEN_414052_BARH-I_400_1,334.81
SUPERCRITICAL-COAL,GEN_414052_BARH-I_400_2,334.81
SUPERCRITICAL-COAL,GEN_414052_BARH-I_400_3,334.81
SUPERCRITICAL-COAL,GEN_414102_BARH-II_400_4,334.81
SUPERCRITICAL-COAL,GEN_414102_BARH-II_400_5,334.81
SUBCRITICAL-COAL,GEN_420001_TALCHRG_21_1,79.66
SUBCRITICAL-COAL,GEN_420001_TALCHRG_21_2,79.66
SUBCRITICAL-COAL,GEN_420001_TALCHRG_21_3,79.66
SUBCRITICAL-COAL,GEN_420001_TALCHRG_21_4,79.66
SUBCRITICAL-COAL,GEN_420002_TALCHRG_21_5,79.66
SUBCRITICAL-COAL,GEN_420002_TALCHRG_21_6,79.66
SUBCRITICAL-COAL,GEN_421008_TALCHER-OD_132_1,121.18
SUBCRITICAL-COAL,GEN_421008_TALCHER-OD_132_2,121.18
SUBCRITICAL-COAL,GEN_421008_TALCHER-OD_132_3,121.18
SUBCRITICAL-COAL,GEN_421008_TALCHER-OD_132_4,121.18
SUBCRITICAL-COAL,GEN_421535_ICCL1_132_1,137.23
SUBCRITICAL-COAL,GEN_421535_ICCL1_132_2,137.23
SUBCRITICAL-COAL,GEN_421602_HINDALCO_132_1,137.23
SUBCRITICAL-COAL,GEN_421603_NBVLBSSL_132_1,73.36
SUBCRITICAL-COAL,GEN_422008_TALCHER-OD_220_1,49.74
SUBCRITICAL-COAL,GEN_422008_TALCHER-OD_220_2,49.74
SUBCRITICAL-COAL,GEN_422020_IBTPS2_220_1,256.21
SUBCRITICAL-COAL,GEN_422020_IBTPS2_220_2,256.21
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_1,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_2,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_3,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_4,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_5,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_6,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_7,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_8,137.23
SUBCRITICAL-COAL,GEN_422030_NALCO2_220_9,137.23
SUBCRITICAL-COAL,GEN_422605_BSSL_220_1,137.23
SUBCRITICAL-COAL,GEN_422606_JINSTL_220_1,137.23
SUBCRITICAL-COAL,GEN_422606_JINSTL_220_2,137.23
SUBCRITICAL-COAL,GEN_422607_TSIL_220_1,137.23
SUBCRITICAL-COAL,GEN_422609_STERLT2_220_2,40.99
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_1,153.85
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_2,153.85
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_3,153.85
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_4,153.85
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_5,73.36
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_6,73.36
SUBCRITICAL-COAL,GEN_422610_VEDANT_220_7,73.36
SUBCRITICAL-COAL,GEN_424023_KVK_400_1,49.74
SUBCRITICAL-COAL,GEN_424023_KVK_400_2,49.74
SUBCRITICAL-COAL,GEN_424023_KVK_400_3,49.74
SUBCRITICAL-COAL,GEN_424026_MONNET_400_1,55.56
SUBCRITICAL-COAL,GEN_424026_MONNET_400_2,55.56
SUBCRITICAL-COAL,GEN_424027_STERLITE_400_1,46.3
SUBCRITICAL-COAL,GEN_424027_STERLITE_400_2,46.3
SUBCRITICAL-COAL,GEN_424027_STERLITE_400_3,46.3
SUBCRITICAL-COAL,GEN_424027_STERLITE_400_4,46.3
SUPERCRITICAL-COAL,GEN_424028_LANCOBDN_400_1,334.81
SUPERCRITICAL-COAL,GEN_424028_LANCOBDN_400_2,334.81
SUBCRITICAL-COAL,GEN_424029_GMR_400_1,190.59
SUBCRITICAL-COAL,GEN_424029_GMR_400_2,190.59
SUBCRITICAL-COAL,GEN_424029_GMR_400_3,190.59
SUBCRITICAL-COAL,GEN_424029_GMR_400_4,190.59
SUBCRITICAL-COAL,GEN_424030_JINDAL-JITPL_400_1,80.56
SUBCRITICAL-COAL,GEN_424030_JINDAL-JITPL_400_2,80.56
SUPERCRITICAL-COAL,GEN_424118_TALCHER-III_400_1,334.81
SUPERCRITICAL-COAL,GEN_428072_DARLIPALLI_765_1,334.81
SUPERCRITICAL-COAL,GEN_428072_DARLIPALLI_765_2,334.81
SUBCRITICAL-COAL,GEN_431107_CHANDRPR-TPS_132_1,56.74
SUBCRITICAL-COAL,GEN_431107_CHANDRPR-TPS_132_2,56.74
SUBCRITICAL-COAL,GEN_431107_CHANDRPR-TPS_132_3,56.74
SUBCRITICAL-COAL,GEN_432001_BOKARO-TPS_220_1,127.22
SUBCRITICAL-COAL,GEN_432001_BOKARO-TPS_220_2,127.22
SUBCRITICAL-COAL,GEN_432001_BOKARO-TPS_220_3,127.22
SUBCRITICAL-COAL,GEN_432007_CHANDRPR-TPS_220_4,56.74
SUBCRITICAL-COAL,GEN_432007_CHANDRPR-TPS_220_5,56.74
SUBCRITICAL-COAL,GEN_432020_MEJIA2_220_1,60.24
SUBCRITICAL-COAL,GEN_432020_MEJIA2_220_2,60.24
SUBCRITICAL-COAL,GEN_432020_MEJIA2_220_3,60.24
SUBCRITICAL-COAL,GEN_432020_MEJIA2_220_4,60.24
SUBCRITICAL-COAL,GEN_432020_MEJIA2_220_5,60.24
