Generator,Fuel
GEN_132232_ROPAR_220_1,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_2,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_3,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_4,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_5,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_6,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_1,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_2,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_3,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_4,SUBCRITICAL-COAL
GEN_132270_GOINDWAL_220_1,SUBCRITICAL-COAL
GEN_132270_GOINDWAL_220_2,SUBCRITICAL-COAL
GEN_134401_TALWANDISABO_400_1,SUPERCRITICAL-COAL
GEN_134401_TALWANDISABO_400_2,SUPERCRITICAL-COAL
GEN_134401_TALWANDISABO_400_3,SUPERCRITICAL-COAL
GEN_134406_RAJPURA_TH_400_1,SUPERCRITICAL-COAL
GEN_134406_RAJPURA_TH_400_2,SUPERCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_1,SUBCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_2,SUBCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_3,SUBCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_4,SUBCRITICAL-COAL
GEN_142235_YAMUNA2_220_1,SUBCRITICAL-COAL
GEN_142235_YAMUNA2_220_2,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_5,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_6,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_7,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_8,SUBCRITICAL-COAL
GEN_144401_KHEDAR_400_1,SUBCRITICAL-COAL
GEN_144401_KHEDAR_400_2,SUBCRITICAL-COAL
GEN_144404_JHAJAR_N_400_1,SUPERCRITICAL-COAL
GEN_144404_JHAJAR_N_400_2,SUPERCRITICAL-COAL
GEN_152203_PRAGATI_BDR_220_G1,CCGT-GAS
GEN_152207_PRAGATI_MND_220_G2,CCGT-GAS
GEN_152207_PRAGATI_MND_220_S1,CCGT-GAS
GEN_153006_RAJGHATG_33_1,CCGT-GAS
GEN_153006_RAJGHATG_33_2,CCGT-GAS
GEN_154426_BAWANA-G_400_G1,CCGT-GAS
GEN_154426_BAWANA-G_400_G2,CCGT-GAS
GEN_154426_BAWANA-G_400_G3,CCGT-GAS
GEN_154426_BAWANA-G_400_G4,CCGT-GAS
GEN_154426_BAWANA-G_400_S1,CCGT-GAS
GEN_154426_BAWANA-G_400_S2,CCGT-GAS
GEN_156001_DEL_GAS6_66_G1,CCGT-GAS
GEN_156001_DEL_GAS6_66_G2,CCGT-GAS
GEN_156001_DEL_GAS6_66_G3,CCGT-GAS
GEN_156001_DEL_GAS6_66_G4,CCGT-GAS
GEN_156001_DEL_GAS6_66_G5,CCGT-GAS
GEN_156001_DEL_GAS6_66_G6,CCGT-GAS
GEN_156001_DEL_GAS6_66_S1,CCGT-GAS
GEN_156001_DEL_GAS6_66_S2,CCGT-GAS
GEN_156001_DEL_GAS6_66_S3,CCGT-GAS
GEN_161117_RAMGARH21_132_1,CCGT-GAS
GEN_161117_RAMGARH21_132_2,CCGT-GAS
GEN_161117_RAMGARH21_132_3,CCGT-GAS
GEN_161122_RPS1_132_1,HYDRO-STORAGE
GEN_161122_RPS1_132_2,HYDRO-STORAGE
GEN_161122_RPS1_132_3,HYDRO-STORAGE
GEN_161122_RPS1_132_4,HYDRO-STORAGE
GEN_161160_MAHI-I_132_1,HYDRO-STORAGE
GEN_161623_JS1_132_1,HYDRO-STORAGE
GEN_161623_JS1_132_2,HYDRO-STORAGE
GEN_161623_JS1_132_3,HYDRO-STORAGE
GEN_161685_MAHI-II_132_1,HYDRO-STORAGE
GEN_162204_RAPS_A2_220_1,NUCLEAR
GEN_162204_RAPS_A2_220_2,NUCLEAR
GEN_162218_GIRALTPS_220_1,SUBCRITICAL-COAL
GEN_162218_GIRALTPS_220_2,SUBCRITICAL-COAL
GEN_162220_DHOLPU-4_220_1,CCGT-GAS
GEN_162220_DHOLPU-4_220_2,CCGT-GAS
GEN_162220_DHOLPU-4_220_3,CCGT-GAS
GEN_162242_BARSINGS_220_1,SUBCRITICAL-COAL
