"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","scenario_sensitivity","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","cost_vre_battery_pMWh","cost_vre_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","total_value_pMWh","system_cost_vre_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","avoided_conv_cap_mw_perVREmw"
"102","S200W0","solar10LC",4037051075410,2424553182,348007539,278446346.85,69561203,278446346.85,0,1945090909.13,38237835.62,2808020.62,1135382.27,0,128787887.33,30046800,0,0,144540,0,11000,200004,200004,0,0,0,"200 GW","100-0",6,"2018-01-17 20:59:34","ClcC70m","ClcC70mS10lc",18176.0589072572,0,716.974837431724,14357.0016140654,0,0,18893.0337446889,14357.0016140654,33250.0353587544,62108.4780832308,95358.5134419851,4592.24998871532,51.5611060316751,41.254858027847,0,0,51.5611060316751,41.254858027847,3.54247025507387,31.5262305406683,35.0687007957422,16.4924052359329,1.89406032534506,0.0505942385860095,0.114844396450942,0.199884152940721,0.143534710471036,1808.243593812,0.74580487952852,256.9348444384,0.124412902865707,17.8732082787483,0.0449991000179996
"103","S0W400","solar10LC",2809867508840,2424553182,888594843,843674515.67,44920318,0,843674515.67,1397834863.22,21975644.36,1734949.73,497382.38,1139.25,128787887.33,30046800,0,0,113520,0,40200,400031,0,400031,0,0,"400 GW","0-100",12,"2018-01-18 05:22:36","ClcC70m","ClcC70mS10lc",14275.2608769326,0,2620.21713315957,0,43760.0187157301,0,16895.4780100922,43760.0187157301,60655.4967258223,43228.7309052308,103884.227631053,13117.9641777832,51.868366180266,49.2463118151701,0,0,51.868366180266,49.2463118151701,3.53684220694657,32.7829161463239,36.3197583532704,15.5486078269955,5.4104666687337,0.144524668954087,0.347971132138276,0.0505520909600868,0.366498392197363,1296.7387166751,0.534836161277942,768.4397215753,0.372093620261848,17.0709085039116,0.0270479037874565
"104","S100W300","solar10LC",2801857500170,2424553182,862515820,835906570.57,26609277,165365152.73,670541417.8,1404227663.24,22495412.42,2177774.99,909104.08,1969.28,128787887.33,30046800,0,0,101640,750,36400,400086,100079,300007,0,0,"400 GW","25-75",13,"2018-01-18 06:42:15","ClcC70m","ClcC70mS10lc",12781.338227021,58.1273631345119,2372.53491659225,7184.02814210743,32818.2364238022,0,15212.0005067478,40002.2645659097,55214.2650726575,43105.5000026154,98319.7650752729,7553.50162200307,47.8549469214393,46.3785865004884,0,0,47.8549469214393,46.3785865004884,5.58366365766037,33.2349843663407,38.818648024001,9.03629889743824,3.11542006093355,0.0832192637949883,0.344767265480424,0.0308507378218291,0.355742174023387,1303.4549869865,0.537606267688171,761.7234512639,0.368841470139125,9.91633067023184,0.0643611623500947
"105","S200W200","solar10LC",3053020986540,2424553182,825174368,726237461.9,98936903,275207288.6,451030173.17,1505591312.7,29050032.98,3719724.15,1119963.01,0,128787887.33,30046800,0,0,107580,0,34200,400009,200004,200005,0,0,"400 GW","50-50",14,"2018-01-18 08:13:01","ClcC70m","ClcC70mS10lc",13528.2995519768,0,2229.13994910591,14357.0016140654,21878.8607463911,0,15757.4395010827,36235.8623604566,51993.3018615393,46969.5536390769,98962.8555006162,8196.59204734642,49.8953362522163,43.9129761728815,0,0,49.8953362522163,43.9129761728815,5.67580490019377,32.9331512389637,38.6089561391575,11.2863801130588,3.38066086081275,0.0903043899297051,0.299534556425333,0.119898181447148,0.340340799338259,1400.6068174183,0.577676261265982,664.5716208321,0.321798643895933,12.3336474059539,0.056898719778805
"106","S300W100","solar10LC",3467762670630,2424553182,771532271,541920287.76,229611992,317629377.66,224290910.18,1683430448.83,35497543.16,3665695.59,1204519.26,0,128787887.33,30046800,0,0,117480,0,29600,400037,300014,100023,0,0,"400 GW","75-25",15,"2018-01-18 09:46:20","ClcC70m","ClcC70mS10lc",14773.2350935698,0,1929.31410799809,21536.0766896774,10941.6729003589,0,16702.5492015679,32477.7495900363,49180.2987916041,53350.1949327692,102530.493724373,11764.2302711036,59.9308612790294,42.0951278524502,0,0,59.9308612790294,42.0951278524502,5.86225043834879,32.3601962697288,38.2224467080776,21.7084145709518,4.85212300494861,0.12961016377148,0.223513467051679,0.297605157775701,0.31821627041547,1566.9620750657,0.646289009743693,498.2163631847,0.24124615769608,23.6126934810093,0.0436459627484458
"107","S400W0","solar10LC",3960936523480,2424553182,689271552,320913650.07,368357857,320913650.07,0,1899995278.05,39790800.23,3468549.39,1550216.84,0,128787887.33,30046800,0,0,143880,0,11800,400003,400003,0,0,0,"400 GW","100-0",16,"2018-01-18 11:17:42","ClcC70m","ClcC70mS10lc",18093.0632044843,0,769.118461972213,28713.6443102689,0,0,18862.1816664566,28713.6443102689,47575.8259767254,60937.4849766154,108513.310953341,17747.047500071,89.474674274546,41.657956471514,0,0,89.474674274546,41.657956471514,3.16982459100943,31.0032210485442,34.1730456395537,55.3016286349924,7.31971879677706,0.195524711769235,0.132359913757503,0.534416226610786,0.284288073001321,1768.1641558271,0.729274230383576,297.0142824233,0.143820154676284,59.7514952994019,0.0221498338762459
"108","S0W600","solar10LC",2435141121170,2424553182,1286680244,1035306821.78,251373441,0,1035306821.78,1207395476.63,20051828.05,2225226.52,734600.95,4540.72,128787887.33,30046800,0,0,108240,500,35600,600016,0,600016,0,0,"600 GW","0-100",17,"2018-11-23 06:46:48","ClcC70m","ClcC70mS10lc",13611.2952547497,38.7515754230079,2320.39129205176,0,65636.6916307424,0,15970.4381222245,65636.6916307424,81607.1297529668,37463.7095564615,119070.839309428,28304.5758561586,63.398299180424,51.0124344698825,0,0,63.398299180424,51.0124344698825,3.77567639039978,32.2833111379532,36.058987528353,27.339311652071,11.6741410608326,0.311840267289739,0.427009326694159,0.195365883164986,0.530687573096922,1121.2298717672,0.462448042010901,943.9485664832,0.457078453367402,29.9852946030851,0.033665768912829
"109","S150W450","solar10LC",2316899179600,2424553182,1267252344,1101323765.74,165928599,203546327.84,897777437.85,1134648613.79,23951365.59,4557911.75,1226861.31,9976.57,128787887.33,30046800,0,0,83820,8000,45800,600096,150088,450008,0,0,"600 GW","25-75",18,"2018-11-23 08:04:39","ClcC70m","ClcC70mS10lc",10540.4542521537,620.025206768127,2985.222504943,10773.852814203,49227.081156781,0,14145.7019638648,60000.933970984,74146.6359348488,35644.6027630769,109791.238697926,19024.9752446559,54.4807402123646,47.347266118755,0,0,54.4807402123646,47.347266118755,5.20620716681039,31.9998897149685,37.2060968817789,17.2746433305856,7.84679642661513,0.20960403701592,0.454237825722397,0.130935704357237,0.5226745915116,1057.8138089113,0.436292268927966,1007.3646293391,0.487785757724902,18.8858876821371,0.0448594891484029
"110","S300W300","solar10LC",2626092346330,2424553182,1207988444,941908511.39,266079937,296907191.21,645001320.17,1289457272.2,27312740.83,5598389.7,1440441.42,1139.25,128787887.33,30046800,0,0,95040,3750,39200,600019,300012,300007,0,0,"600 GW","50-50",19,"2018-11-23 09:28:56","ClcC70m","ClcC70mS10lc",11951.3811992924,290.636815672559,2555.03760248396,21535.9331225326,32818.2364238022,0,14797.0556174489,54354.1695463348,69151.2251637837,40401.4207127692,109552.645876553,18786.3824232832,57.7064214719993,44.9956039035873,0,0,57.7064214719993,44.9956039035873,5.39581707472833,32.3655861751088,37.7614032498372,19.9450182221621,7.74838950234384,0.206975386102075,0.388487461682744,0.220266951999087,0.498231366079393,1202.480189048,0.495959502136423,862.6982492024,0.417735452406364,21.7763075799121,0.0442485987943715
"111","S450W150","solar10LC",3199035334310,2424553182,1142202959,666881339.53,475321629,372324916.58,294556422.99,1559871151.26,33257317.9,4443739.74,1264946.1,0,128787887.33,30046800,0,0,110880,0,33000,600057,450047,150010,0,0,"600 GW","75-25",20,"2018-11-23 10:50:14","ClcC70m","ClcC70mS10lc",13943.2780658411,0,2150.92451229517,32305.9814073984,16409.8292570993,0,16094.2025781363,48715.8106644977,64810.013242634,49215.9282201538,114025.941462788,23259.678009518,73.0501931555488,42.6507480834653,0,0,73.0501931555488,42.6507480834653,5.67600087681332,32.4959063967062,38.1719072735195,34.8782858820293,9.59338742585602,0.256259067241355,0.275053294141353,0.416144622743881,0.471098331634781,1452.8863445154,0.59923880214371,612.292093735,0.296483869090619,37.98787906542,0.034430062477398
"112","S600W0","solar10LC",3926566272050,2424553182,1026500348,339204342.34,687296010,339204342.34,0,1881145692.92,39921310.77,3748989.18,1698159.36,0,128787887.33,30046800,0,0,143880,0,11400,600051,600051,0,0,0,"600 GW","100-0",21,"2018-11-23 12:11:13","ClcC70m","ClcC70mS10lc",18093.0632044843,0,743.046649701969,43073.8044015199,0,0,18836.1098541863,43073.8044015199,61909.9142557062,60408.7118776923,122318.626133399,31552.3626801287,126.984826032519,41.9618020446301,0,0,126.984826032519,41.9618020446301,3.07576189813916,30.8903177867804,33.9660796849196,93.0187463475993,13.0136814132909,0.347622139324631,0.139903857279052,0.669552628013332,0.423377121863438,1751.1753418684,0.722267242834354,314.003096382,0.152046472385224,100.484240581321,0.0154320216114964
"113","S0W0","solar20LC",4607644717470,2424553182,0,0,0,0,0,2226209346.9,37431382.02,1890048.44,187717.24,0,128787887.33,30046800,0,0,151140,0,13400,0,0,0,0,0,"0 GW","0-0",1,"2018-01-17 00:22:52","ClcC70m","ClcC70mS20lc",19006.0159349858,0,873.405711053191,0,0,0,19879.421646039,0,19879.421646039,70886.8418072308,90766.2634532698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.1784382504,0.851776918560659,NA,NA,NA,NA
"114","S0W200","solar20LC",3532123259920,2424553182,477166828,477093308.08,73516,0,477093308.08,1763116977.13,23986377.7,1291599.33,229093.08,1139.25,128787887.33,30046800,0,0,126720,0,28800,200005,0,200005,0,0,"200 GW","0-100",2,"2018-01-17 14:02:44","ClcC70m","ClcC70mS20lc",15935.1749323899,0,1877.1704834576,0,21878.8607463911,0,17812.3454158475,21878.8607463911,39691.2061622386,54340.3578449231,94031.5640071617,3265.3005538919,45.8586619762909,45.8515962605664,0,0,45.8586619762909,45.8515962605664,4.33264561708114,34.6818613509732,39.0145069680543,6.84415500823661,1.34676384008965,0.0359748262147313,0.196775765374818,0.000154075924154595,0.196806088454776,1633.1434614971,0.673585332597213,432.0349767533,0.209199829298681,7.5579541694293,0.0450988725281868
"115","S50W150","solar20LC",3583862714080,2424553182,454821772,454776174.16,45593,87798652.91,366977521.2,1783235770.94,25922219,1358091.26,426239.21,0,128787887.33,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,"200 GW","25-75",3,"2018-01-17 16:51:26","ClcC70m","ClcC70mS20lc",14939.2264991155,0,1629.48826689028,3246.91033202662,16409.8292570993,0,16568.7147660058,19656.7395891259,36225.4543551317,55136.3494473846,91361.8038025163,595.540349246468,43.222887886405,43.2185546058817,0,0,43.222887886405,43.2185546058817,7.27986000178731,34.6335038086335,41.9133638104209,1.30952407598414,0.245628907490167,0.00656125223831735,0.187571127553019,0.000100254303569209,0.187589934251234,1652.6693548908,0.681638731276467,412.5090833596,0.199745007849818,1.44370238928124,0.10368703912011
"116","S100W100","solar20LC",3669520918960,2424553182,427217839,426206259.72,1011581,174521298.28,251684961.31,1807136232.63,30079657.89,1711103.81,585240.61,0,128787887.33,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,"200 GW","50-50",4,"2018-01-17 18:07:51","ClcC70m","ClcC70mS20lc",15022.2222018884,0,1785.91914051175,6497.00168187327,10941.6729003589,0,16808.1413424001,17438.6745822322,34246.8159246323,56454.167984,90700.9839086323,-65.2795446375094,40.916045188282,40.8191629428475,0,0,40.916045188282,40.8191629428475,7.20608914955078,33.8631202477233,41.0692093972741,-0.153164208992123,-0.026924360794454,-0.00071920493533501,0.175787548354961,0.00236783015046329,0.17620477132516,1676.7566830339,0.691573480624068,388.4217552165,0.188081450020158,-0.168063564310716,0.0883549389811196
"117","S150W50","solar20LC",3817776955360,2424553182,392945562,375118489.13,17827089,246842981.49,128275507.47,1849931247.21,37249321.8,2553020.61,866416.04,0,128787887.33,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,"200 GW","75-25",5,"2018-01-17 19:30:53","ClcC70m","ClcC70mS20lc",15935.1749323899,0,1577.34464234979,9738.45884049411,5472.75080263595,0,17512.5195747397,15211.2096431301,32723.7292178697,58735.0300824615,91458.7593003313,692.495847061451,40.5504129599395,38.7107302235673,0,0,40.5504129599395,38.7107302235673,6.30974516022616,32.3945955128805,38.7043406731067,1.84607228683274,0.285617924243763,0.00762944094771485,0.154716544027534,0.0453677928801751,0.162069269058417,1719.9003267263,0.70936795261697,345.2781115241,0.167190449565519,2.00561757015146,0.0680867230889976
"118","S200W0","solar20LC",4037051075410,2424553182,348007539,278446346.85,69561203,278446346.85,0,1945090909.13,38237835.62,2808020.62,1135382.27,0,128787887.33,30046800,0,0,144540,0,11000,200004,200004,0,0,0,"200 GW","100-0",6,"2018-01-17 20:59:34","ClcC70m","ClcC70mS20lc",18176.0589072572,0,716.974837431724,12984.0058791693,0,0,18893.0337446889,12984.0058791693,31877.0396238582,62108.4780832308,93985.517707089,3219.25425381916,46.6301893562418,37.309553455304,0,0,46.6301893562418,37.309553455304,3.54247025507387,31.5262305406683,35.0687007957422,11.5614885604996,1.32777217580504,0.0354675198839332,0.114844396450942,0.199884152940721,0.143534710471036,1808.243593812,0.74580487952852,256.9348444384,0.124412902865707,12.5294576563008,0.0449991000179996
"119","S0W400","solar20LC",2809867508840,2424553182,888594843,843674515.67,44920318,0,843674515.67,1397834863.22,21975644.36,1734949.73,497382.38,1139.25,128787887.33,30046800,0,0,113520,0,40200,400031,0,400031,0,0,"400 GW","0-100",12,"2018-01-18 05:22:36","ClcC70m","ClcC70mS20lc",14275.2608769326,0,2620.21713315957,0,43760.0187157301,0,16895.4780100922,43760.0187157301,60655.4967258223,43228.7309052308,103884.227631053,13117.9641777832,51.868366180266,49.2463118151701,0,0,51.868366180266,49.2463118151701,3.53684220694657,32.7829161463239,36.3197583532704,15.5486078269955,5.4104666687337,0.144524668954087,0.347971132138276,0.0505520909600868,0.366498392197363,1296.7387166751,0.534836161277942,768.4397215753,0.372093620261848,17.0709085039116,0.0270479037874565
"120","S100W300","solar20LC",2801857500170,2424553182,862515820,835906570.57,26609277,165365152.73,670541417.8,1404227663.24,22495412.42,2177774.99,909104.08,1969.28,128787887.33,30046800,0,0,101640,750,36400,400086,100079,300007,0,0,"400 GW","25-75",13,"2018-01-18 06:42:15","ClcC70m","ClcC70mS20lc",12781.338227021,58.1273631345119,2372.53491659225,6497.00168187327,32818.2364238022,0,15212.0005067478,39315.2381056755,54527.2386124233,43105.5000026154,97632.7386150387,6866.4751617689,47.0330530825552,45.5820486929452,0,0,47.0330530825552,45.5820486929452,5.58366365766037,33.2349843663407,38.818648024001,8.21440505855422,2.83205796958629,0.0756500807737232,0.344767265480424,0.0308507378218291,0.355742174023387,1303.4549869865,0.537606267688171,761.7234512639,0.368841470139125,9.01439380706424,0.0643611623500947
"121","S200W200","solar20LC",3053020986540,2424553182,825174368,726237461.9,98936903,275207288.6,451030173.17,1505591312.7,29050032.98,3719724.15,1119963.01,0,128787887.33,30046800,0,0,107580,0,34200,400009,200004,200005,0,0,"400 GW","50-50",14,"2018-01-18 08:13:01","ClcC70m","ClcC70mS20lc",13528.2995519768,0,2229.13994910591,12984.0058791693,21878.8607463911,0,15757.4395010827,34862.8666255604,50620.3061266432,46969.5536390769,97589.8597657201,6823.59631245026,48.004775923224,42.2490905892516,0,0,48.004775923224,42.2490905892516,5.67580490019377,32.9331512389637,38.6089561391575,9.3958197840665,2.81437271127273,0.0751776712276288,0.299534556425333,0.119898181447148,0.340340799338259,1400.6068174183,0.577676261265982,664.5716208321,0.321798643895933,10.2676613002321,0.056898719778805
"122","S300W100","solar20LC",3467762670630,2424553182,771532271,541920287.76,229611992,317629377.66,224290910.18,1683430448.83,35497543.16,3665695.59,1204519.26,0,128787887.33,30046800,0,0,117480,0,29600,400037,300014,100023,0,0,"400 GW","75-25",15,"2018-01-18 09:46:20","ClcC70m","ClcC70mS20lc",14773.2350935698,0,1929.31410799809,19476.5281686021,10941.6729003589,0,16702.5492015679,30418.201068961,47120.7502705289,53350.1949327692,100470.945203298,9704.68175002828,56.1303973222576,39.4257015711544,0,0,56.1303973222576,39.4257015711544,5.86225043834879,32.3601962697288,38.2224467080776,17.90795061418,4.00266812956561,0.106919480661718,0.223513467051679,0.297605157775701,0.31821627041547,1566.9620750657,0.646289009743693,498.2163631847,0.24124615769608,19.478849887615,0.0436459627484458
"123","S400W0","solar20LC",3960936523480,2424553182,689271552,320913650.07,368357857,320913650.07,0,1899995278.05,39790800.23,3468549.39,1550216.84,0,128787887.33,30046800,0,0,143880,0,11800,400003,400003,0,0,0,"400 GW","100-0",16,"2018-01-18 11:17:42","ClcC70m","ClcC70mS20lc",18093.0632044843,0,769.118461972213,25967.6871646835,0,0,18862.1816664566,25967.6871646835,44829.86883114,60937.4849766154,105767.353807755,15001.0903544856,80.9179888702746,37.6741025932889,0,0,80.9179888702746,37.6741025932889,3.16982459100943,31.0032210485442,34.1730456395537,46.7449432307209,6.1871566546176,0.165271652525487,0.132359913757503,0.534416226610786,0.284288073001321,1768.1641558271,0.729274230383576,297.0142824233,0.143820154676284,50.5062929368032,0.0221498338762459
"124","S0W600","solar20LC",2435141121170,2424553182,1286680244,1035306821.78,251373441,0,1035306821.78,1207395476.63,20051828.05,2225226.52,734600.95,4540.72,128787887.33,30046800,0,0,108240,500,35600,600016,0,600016,0,0,"600 GW","0-100",17,"2018-11-23 06:46:48","ClcC70m","ClcC70mS20lc",13611.2952547497,38.7515754230079,2320.39129205176,0,65636.6916307424,0,15970.4381222245,65636.6916307424,81607.1297529668,37463.7095564615,119070.839309428,28304.5758561586,63.398299180424,51.0124344698825,0,0,63.398299180424,51.0124344698825,3.77567639039978,32.2833111379532,36.058987528353,27.339311652071,11.6741410608326,0.311840267289739,0.427009326694159,0.195365883164986,0.530687573096922,1121.2298717672,0.462448042010901,943.9485664832,0.457078453367402,29.9852946030851,0.033665768912829
"125","S150W450","solar20LC",2316899179600,2424553182,1267252344,1101323765.74,165928599,203546327.84,897777437.85,1134648613.79,23951365.59,4557911.75,1226861.31,9976.57,128787887.33,30046800,0,0,83820,8000,45800,600096,150088,450008,0,0,"600 GW","25-75",18,"2018-11-23 08:04:39","ClcC70m","ClcC70mS20lc",10540.4542521537,620.025206768127,2985.222504943,9743.52250151376,49227.081156781,0,14145.7019638648,58970.6036582948,73116.3056221596,35644.6027630769,108760.908385237,17994.6449319667,53.5452021401457,46.5342233829751,0,0,53.5452021401457,46.5342233829751,5.20620716681039,31.9998897149685,37.2060968817789,16.3391052583668,7.42183964680991,0.198252569262489,0.454237825722397,0.130935704357237,0.5226745915116,1057.8138089113,0.436292268927966,1007.3646293391,0.487785757724902,17.8630898960314,0.0448594891484029
"126","S300W300","solar20LC",2626092346330,2424553182,1207988444,941908511.39,266079937,296907191.21,645001320.17,1289457272.2,27312740.83,5598389.7,1440441.42,1139.25,128787887.33,30046800,0,0,95040,3750,39200,600019,300012,300007,0,0,"600 GW","50-50",19,"2018-11-23 09:28:56","ClcC70m","ClcC70mS20lc",11951.3811992924,290.636815672559,2555.03760248396,19476.39833114,32818.2364238022,0,14797.0556174489,52294.6347549423,67091.6903723912,40401.4207127692,107493.11108516,16726.8476318906,55.519866444109,43.2906746870687,0,0,55.519866444109,43.2906746870687,5.39581707472833,32.3655861751088,37.7614032498372,17.7584631942718,6.89894028972908,0.184284854256475,0.388487461682744,0.220266951999087,0.498231366079393,1202.480189048,0.495959502136423,862.6982492024,0.417735452406364,19.3889898899822,0.0442485987943715
"127","S450W150","solar20LC",3199035334310,2424553182,1142202959,666881339.53,475321629,372324916.58,294556422.99,1559871151.26,33257317.9,4443739.74,1264946.1,0,128787887.33,30046800,0,0,110880,0,33000,600057,450047,150010,0,0,"600 GW","75-25",20,"2018-11-23 10:50:14","ClcC70m","ClcC70mS20lc",13943.2780658411,0,2150.92451229517,29216.4801399097,16409.8292570993,0,16094.2025781363,45626.3093970089,61720.5119751453,49215.9282201538,110936.440195299,20170.1767420293,68.4174330461325,39.9458861820449,0,0,68.4174330461325,39.9458861820449,5.67600087681332,32.4959063967062,38.1719072735195,30.245525772613,8.3191314967944,0.22222107614261,0.275053294141353,0.416144622743881,0.471098331634781,1452.8863445154,0.59923880214371,612.292093735,0.296483869090619,32.9420826243086,0.034430062477398
"128","S600W0","solar20LC",3926566272050,2424553182,1026500348,339204342.34,687296010,339204342.34,0,1881145692.92,39921310.77,3748989.18,1698159.36,0,128787887.33,30046800,0,0,143880,0,11400,600051,600051,0,0,0,"600 GW","100-0",21,"2018-11-23 12:11:13","ClcC70m","ClcC70mS20lc",18093.0632044843,0,743.046649701969,38954.5494680177,0,0,18836.1098541863,38954.5494680177,57790.659322204,60408.7118776923,118199.371199896,27433.1077466265,114.840951620165,37.9488906593314,0,0,114.840951620165,37.9488906593314,3.07576189813916,30.8903177867804,33.9660796849196,80.874871935245,11.3147065406901,0.302239033567248,0.139903857279052,0.669552628013332,0.423377121863438,1751.1753418684,0.722267242834354,314.003096382,0.152046472385224,87.3657236591475,0.0154320216114964
"129","S0W0","solar30LC",4607644717470,2424553182,0,0,0,0,0,2226209346.9,37431382.02,1890048.44,187717.24,0,128787887.33,30046800,0,0,151140,0,13400,0,0,0,0,0,"0 GW","0-0",1,"2018-01-17 00:22:52","ClcC70m","ClcC70mS30lc",19006.0159349858,0,873.405711053191,0,0,0,19879.421646039,0,19879.421646039,70886.8418072308,90766.2634532698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.1784382504,0.851776918560659,NA,NA,NA,NA
"130","S0W200","solar30LC",3532123259920,2424553182,477166828,477093308.08,73516,0,477093308.08,1763116977.13,23986377.7,1291599.33,229093.08,1139.25,128787887.33,30046800,0,0,126720,0,28800,200005,0,200005,0,0,"200 GW","0-100",2,"2018-01-17 14:02:44","ClcC70m","ClcC70mS30lc",15935.1749323899,0,1877.1704834576,0,21878.8607463911,0,17812.3454158475,21878.8607463911,39691.2061622386,54340.3578449231,94031.5640071617,3265.3005538919,45.8586619762909,45.8515962605664,0,0,45.8586619762909,45.8515962605664,4.33264561708114,34.6818613509732,39.0145069680543,6.84415500823661,1.34676384008965,0.0359748262147313,0.196775765374818,0.000154075924154595,0.196806088454776,1633.1434614971,0.673585332597213,432.0349767533,0.209199829298681,7.5579541694293,0.0450988725281868
"131","S50W150","solar30LC",3583862714080,2424553182,454821772,454776174.16,45593,87798652.91,366977521.2,1783235770.94,25922219,1358091.26,426239.21,0,128787887.33,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,"200 GW","25-75",3,"2018-01-17 16:51:26","ClcC70m","ClcC70mS30lc",14939.2264991155,0,1629.48826689028,2903.56529052329,16409.8292570993,0,16568.7147660058,19313.3945476225,35882.1093136283,55136.3494473846,91018.4587610129,252.195307743124,42.4679120081336,42.4636544171912,0,0,42.4679120081336,42.4636544171912,7.27986000178731,34.6335038086335,41.9133638104209,0.554548197712791,0.104017230727474,0.00277851371366592,0.187571127553019,0.000100254303569209,0.187589934251234,1652.6693548908,0.681638731276467,412.5090833596,0.199745007849818,0.611369101715697,0.10368703912011
"132","S100W100","solar30LC",3669520918960,2424553182,427217839,426206259.72,1011581,174521298.28,251684961.31,1807136232.63,30079657.89,1711103.81,585240.61,0,128787887.33,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,"200 GW","50-50",4,"2018-01-17 18:07:51","ClcC70m","ClcC70mS30lc",15022.2222018884,0,1785.91914051175,5809.97522163912,10941.6729003589,0,16808.1413424001,16751.648121998,33559.7894643981,56454.167984,90013.9574483981,-752.306004871672,39.3040874927627,39.2110220893609,0,0,39.3040874927627,39.2110220893609,7.20608914955078,33.8631202477233,41.0692093972741,-1.76512190451144,-0.31028645214171,-0.00828838795660009,0.175787548354961,0.00236783015046329,0.17620477132516,1676.7566830339,0.691573480624068,388.4217552165,0.188081450020158,-1.93682767447552,0.0883549389811196
"133","S150W50","solar30LC",3817776955360,2424553182,392945562,375118489.13,17827089,246842981.49,128275507.47,1849931247.21,37249321.8,2553020.61,866416.04,0,128787887.33,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,"200 GW","75-25",5,"2018-01-17 19:30:53","ClcC70m","ClcC70mS30lc",15935.1749323899,0,1577.34464234979,8708.66398543235,5472.75080263595,0,17512.5195747397,14181.4147880683,31693.934362808,58735.0300824615,90428.9644452695,-337.299008000307,37.8051607665588,36.0900240630999,0,0,37.8051607665588,36.0900240630999,6.30974516022616,32.3945955128805,38.7043406731067,-0.899179906547893,-0.139118007600094,-0.00371612750340839,0.154716544027534,0.0453677928801751,0.162069269058417,1719.9003267263,0.70936795261697,345.2781115241,0.167190449565519,-0.976890792501812,0.0680867230889976
"134","S200W0","solar30LC",4037051075410,2424553182,348007539,278446346.85,69561203,278446346.85,0,1945090909.13,38237835.62,2808020.62,1135382.27,0,128787887.33,30046800,0,0,144540,0,11000,200004,200004,0,0,0,"200 GW","100-0",6,"2018-01-17 20:59:34","ClcC70m","ClcC70mS30lc",18176.0589072572,0,716.974837431724,11611.0101442731,0,0,18893.0337446889,11611.0101442731,30504.0438889621,62108.4780832308,92612.5219721928,1846.25851892302,41.6992726808085,33.3642488827609,0,0,41.6992726808085,33.3642488827609,3.54247025507387,31.5262305406683,35.0687007957422,6.63057188506625,0.761484026265016,0.020340801181857,0.114844396450942,0.199884152940721,0.143534710471036,1808.243593812,0.74580487952852,256.9348444384,0.124412902865707,7.18570703385331,0.0449991000179996
"135","S0W400","solar30LC",2809867508840,2424553182,888594843,843674515.67,44920318,0,843674515.67,1397834863.22,21975644.36,1734949.73,497382.38,1139.25,128787887.33,30046800,0,0,113520,0,40200,400031,0,400031,0,0,"400 GW","0-100",12,"2018-01-18 05:22:36","ClcC70m","ClcC70mS30lc",14275.2608769326,0,2620.21713315957,0,43760.0187157301,0,16895.4780100922,43760.0187157301,60655.4967258223,43228.7309052308,103884.227631053,13117.9641777832,51.868366180266,49.2463118151701,0,0,51.868366180266,49.2463118151701,3.53684220694657,32.7829161463239,36.3197583532704,15.5486078269955,5.4104666687337,0.144524668954087,0.347971132138276,0.0505520909600868,0.366498392197363,1296.7387166751,0.534836161277942,768.4397215753,0.372093620261848,17.0709085039116,0.0270479037874565
