"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","scenario_sensitivity","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","cost_vre_battery_pMWh","cost_vre_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","total_value_pMWh","system_cost_vre_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","avoided_conv_cap_mw_perVREmw"
"11","S400W0","base",3960936523480,2424553182,689271552,320913650.07,368357857,320913650.07,0,1899995278.05,39790800.23,3468549.39,1550216.84,0,128787887.33,30046800,0,0,143880,0,11800,400003,400003,0,0,0,"400 GW","100-0",16,"2018-01-18 11:17:42","ClcC70m","ClcC70m",18093.0632044843,0,769.118461972213,31459.6014558543,0,0,18862.1816664566,31459.6014558543,50321.7831223109,60937.4849766154,111259.268098926,20493.0046456564,98.0313596788174,45.6418103497391,0,0,98.0313596788174,45.6418103497391,3.16982459100943,31.0032210485442,34.1730456395537,63.8583140392638,8.4522809389365,0.225777771012983,0.132359913757503,0.534416226610786,0.284288073001321,1768.1641558271,0.729274230383576,297.0142824233,0.143820154676284,68.9966976620004,0.0221498338762459
"12","S0W600","base",2435141121170,2424553182,1286680244,1035306821.78,251373441,0,1035306821.78,1207395476.63,20051828.05,2225226.52,734600.95,4540.72,128787887.33,30046800,0,0,108240,500,35600,600016,0,600016,0,0,"600 GW","0-100",17,"2018-11-23 06:46:48","ClcC70m","ClcC70m",13611.2952547497,38.7515754230079,2320.39129205176,0,65636.6916307424,0,15970.4381222245,65636.6916307424,81607.1297529668,37463.7095564615,119070.839309428,28304.5758561586,63.398299180424,51.0124344698825,0,0,63.398299180424,51.0124344698825,3.77567639039978,32.2833111379532,36.058987528353,27.339311652071,11.6741410608326,0.311840267289739,0.427009326694159,0.195365883164986,0.530687573096922,1121.2298717672,0.462448042010901,943.9485664832,0.457078453367402,29.9852946030851,0.033665768912829
"13","S150W450","base",2316899179600,2424553182,1267252344,1101323765.74,165928599,203546327.84,897777437.85,1134648613.79,23951365.59,4557911.75,1226861.31,9976.57,128787887.33,30046800,0,0,83820,8000,45800,600096,150088,450008,0,0,"600 GW","25-75",18,"2018-11-23 08:04:39","ClcC70m","ClcC70m",10540.4542521537,620.025206768127,2985.222504943,11804.1831268922,49227.081156781,0,14145.7019638648,61031.2642836732,75176.9662475381,35644.6027630769,110821.569010615,20055.3055573452,55.4162782845834,48.1603088545348,0,0,55.4162782845834,48.1603088545348,5.20620716681039,31.9998897149685,37.2060968817789,18.2101814028045,8.27175320642036,0.220955504769352,0.454237825722397,0.130935704357237,0.5226745915116,1057.8138089113,0.436292268927966,1007.3646293391,0.487785757724902,19.9086854682428,0.0448594891484029
"14","S300W300","base",2626092346330,2424553182,1207988444,941908511.39,266079937,296907191.21,645001320.17,1289457272.2,27312740.83,5598389.7,1440441.42,1139.25,128787887.33,30046800,0,0,95040,3750,39200,600019,300012,300007,0,0,"600 GW","50-50",19,"2018-11-23 09:28:56","ClcC70m","ClcC70m",11951.3811992924,290.636815672559,2555.03760248396,23595.4679139251,32818.2364238022,0,14797.0556174489,56413.7043377273,71210.7599551762,40401.4207127692,111612.180667945,20845.9172146757,59.8929764998896,46.700533120106,0,0,59.8929764998896,46.700533120106,5.39581707472833,32.3655861751088,37.7614032498372,22.1315732500525,8.5978387149586,0.229665917947674,0.388487461682744,0.220266951999087,0.498231366079393,1202.480189048,0.495959502136423,862.6982492024,0.417735452406364,24.1636252698421,0.0442485987943715
"15","S450W150","base",3199035334310,2424553182,1142202959,666881339.53,475321629,372324916.58,294556422.99,1559871151.26,33257317.9,4443739.74,1264946.1,0,128787887.33,30046800,0,0,110880,0,33000,600057,450047,150010,0,0,"600 GW","75-25",20,"2018-11-23 10:50:14","ClcC70m","ClcC70m",13943.2780658411,0,2150.92451229517,35395.4826748871,16409.8292570993,0,16094.2025781363,51805.3119319864,67899.5145101227,49215.9282201538,117115.442730277,26349.1792770067,77.6829532649652,45.3556099848857,0,0,77.6829532649652,45.3556099848857,5.67600087681332,32.4959063967062,38.1719072735195,39.5110459914457,10.8676433549176,0.2902970583401,0.275053294141353,0.416144622743881,0.471098331634781,1452.8863445154,0.59923880214371,612.292093735,0.296483869090619,43.0336755065314,0.034430062477398
"16","S600W0","base",3926566272050,2424553182,1026500348,339204342.34,687296010,339204342.34,0,1881145692.92,39921310.77,3748989.18,1698159.36,0,128787887.33,30046800,0,0,143880,0,11400,600051,600051,0,0,0,"600 GW","100-0",21,"2018-11-23 12:11:13","ClcC70m","ClcC70m",18093.0632044843,0,743.046649701969,47193.0593350221,0,0,18836.1098541863,47193.0593350221,66029.1691892084,60408.7118776923,126437.881066901,35671.6176136309,139.128700444873,45.9747134299287,0,0,139.128700444873,45.9747134299287,3.07576189813916,30.8903177867804,33.9660796849196,105.162620759954,14.7126562858916,0.393005245082013,0.139903857279052,0.669552628013332,0.423377121863438,1751.1753418684,0.722267242834354,314.003096382,0.152046472385224,113.602757503495,0.0154320216114964
"17","S0W0","coal_55mingen",4605875526740,2424553182,0,0,0,0,0,2226430163.44,37225497.2,1888660.69,174173.55,0,128787887.33,30046800,0,0,151140,0,13400,0,0,0,0,0,"0 GW","0-0",1,"2018-01-18 15:35:15","ClcC55m","ClcC55m",19006.0159349858,0,873.405711053191,0,0,0,19879.421646039,0,19879.421646039,70859.6234883077,90739.0451343467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.2831377345,0.851820101562326,NA,NA,NA,NA
"18","S0W200","coal_55mingen",3527789977270,2424553182,477166828,477166824.57,0,0,477166824.57,1763961416.49,23156551.12,1234789.81,197773.53,1139.25,128787887.33,30046800,0,0,126720,0,28800,200005,0,200005,0,0,"200 GW","0-100",2,"2018-01-18 16:45:09","ClcC55m","ClcC55m",15935.1749323899,0,1877.1704834576,0,21878.8607463911,0,17812.3454158475,21878.8607463911,39691.2061622386,54273.691958,93964.8981202386,3225.85298589191,45.8515965901597,45.8515962605664,0,0,45.8515965901597,45.8515962605664,4.33197809184304,34.759188351483,39.0911664433261,6.76043014683363,1.33049380390614,0.0355508808927376,0.196806087040082,7.18826164326863e-09,0.196806088454776,1633.5103465161,0.67373665327012,431.7727912184,0.209062274963437,7.47118172219471,0.0450988725281868
"19","S50W150","coal_55mingen",3578875566390,2424553182,454821772,454821767.92,0,87844246.67,366977521.2,1784041388.1,25240509.41,1290908.09,323921.09,0,128787887.33,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,"200 GW","25-75",3,"2018-01-18 17:53:49","ClcC55m","ClcC55m",14939.2264991155,0,1629.48826689028,3933.60041503327,16409.8292570993,0,16568.7147660058,20343.4296721325,36912.1444381383,55059.6240983077,91971.768536446,1232.72340209928,44.7283553845004,44.7283549832626,0,0,44.7283553845004,44.7283549832626,7.27913022979053,34.7388812594808,42.0180114892713,2.71034389522909,0.508433228543335,0.0135853689034762,0.18758993256845,8.97054678224749e-09,0.187589934251234,1652.9979783947,0.681774271097304,412.2851593398,0.199626458865129,2.98997762634303,0.10368703912011
"20","S100W100","coal_55mingen",3653892394250,2424553182,427217839,427217841.44,0,175038224.01,252179617.28,1808217630.88,28436210.76,1422958.76,423852.85,0,128787887.33,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,"200 GW","50-50",4,"2018-01-18 19:05:35","ClcC55m","ClcC55m",15022.2222018884,0,1785.91914051175,7871.05460234159,10941.6729003589,0,16808.1413424001,18812.7275027005,35620.8688451006,56213.7291423077,91834.5979874083,1095.55285306158,44.0354443983179,44.0354446498207,0,0,44.0354443983179,44.0354446498207,7.18902631333634,34.2820288044008,41.4710551177371,2.56438928058075,0.451857629354152,0.0120736652169915,0.176204772331531,-5.71137198607433e-09,0.17620477132516,1676.7474522846,0.691569673428017,388.5356854499,0.188127079697219,2.81969686206044,0.0883549389811196
