ann_gen_coal_MWh,ann_gen_diesel_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_gen_other_MWh,ann_gen_solarPV_MWh,ann_gen_total_MWh,ann_gen_vre_MWh,ann_gen_vre_nocurt_MWh,ann_gen_wind_MWh,capacity_solarPV_MW,capacity_vre_MW,capacity_wind_MW,date_time,dispatch_cost,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,scenario,scenario_build,scenario_split,rank,scenario_dispatch
1397773038,654772.77,20584584.13,1427613.94,128787887.3,30046800,2945.78,167934300.9,2424553182,845275539.7,862515831,677341238.8,100079,400086,300007,7/28/2017 17:24,2.75E+12,100980,1000,36400,S100W300,400 GW,25-75,13,coalLC_55min
1456636816,832381.11,23400645.55,2223533.13,128787887.3,30046800,0,318688221.4,2424553182,782625118.6,825174374,463936897,200004,400009,200005,7/28/2017 18:51,2.90E+12,107580,0,34200,S200W200,400 GW,50-50,14,coalLC_55min
1603689249,870837.58,28806489.12,2679813.05,128787887.3,30046800,0,385670663.6,2424553182,629672105.7,771532273.4,244001442.2,300014,400037,100023,7/28/2017 20:20,3.25E+12,116820,0,30000,S300W100,400 GW,75-25,15,coalLC_55min
1800014827,1093886.42,31984002.65,2655882.08,128787887.3,30046800,0,429969896.5,2424553182,429969896.5,689271559.2,0,400003,400003,0,7/28/2017 21:48,3.68E+12,143880,0,11200,S400W0,400 GW,100-0,16,coalLC_55min
2226136035,188288.69,37500067.36,1894103.52,128787887.3,30046800,0,0,2424553182,0,0,0,0,0,0,7/29/2017 13:58,4.54E+12,151140,0,11000,S0W0,0 GW,0-0,1,coalLC_70min
1763817752,226591.84,23322747.22,1261766.11,128787887.3,30046800,0,0,2424553182,477089637.8,477166824.6,477089637.8,0,200005,200005,7/29/2017 15:15,3.49E+12,128040,0,25000,S0W200,200 GW,0-100,2,coalLC_70min
1783203606,436670.96,25926283.09,1376462.91,128787887.3,30046800,0,87797950.43,2424553182,454775471.7,454821768,366977521.2,50015,200025,150010,7/29/2017 16:31,3.55E+12,118800,0,25000,S50W150,200 GW,25-75,3,coalLC_70min
1806893597,599883.8,30276345.36,1733119.15,128787887.3,30046800,0,174570347.8,2424553182,426215549.6,427217841.3,251645201.7,100079,200102,100023,7/29/2017 17:52,3.63E+12,118800,0,28000,S100W100,200 GW,50-50,4,coalLC_70min
1849379421,881591.78,37702948.21,2582584.88,128787887.3,30046800,0,246417048.5,2424553182,375171948.8,392945560.5,128754900.1,150010,200039,50029,7/29/2017 19:18,3.78E+12,126060,0,25000,S150W50,200 GW,75-25,5,coalLC_70min
1944949510,1146226.75,38315211.62,2824498.9,128787887.3,30046800,0,278483047,2424553182,278483047,348007549.4,0,200004,200004,0,7/29/2017 20:51,3.98E+12,144540,0,10600,S200W0,200 GW,100-0,6,coalLC_70min
1559392809,374889.35,22544200.24,1485319.76,128787887.3,30046800,1139.25,0,2424553182,681920137.1,687477606.9,681920137.1,0,300007,300007,7/29/2017 22:13,3.08E+12,119460,0,31200,S0W300,300 GW,0-100,7,coalLC_70min
1583580360,684437.89,23813788.29,1601479.09,128787887.3,30046800,0,128860509.6,2424553182,656038429.5,662279334.2,527177919.9,75025,300060,225035,7/29/2017 23:35,3.13E+12,109560,0,31400,S75W225,300 GW,25-75,8,coalLC_70min
1633648011,904280.93,30273569.89,2748433.13,128787887.3,30046800,0,236272218.6,2424553182,598144199.5,628643079.4,361871980.8,150010,300020,150010,7/30/2017 1:05,3.29E+12,112200,0,31600,S150W150,300 GW,50-50,9,coalLC_70min
1755398057,1120231.76,36628110.83,3244372.77,128787887.3,30046800,0,294416655.9,2424553182,469327722.4,583353679.4,174911066.7,225017,300020,75003,7/30/2017 2:38,3.58E+12,122100,0,27000,S225W75,300 GW,75-25,10,coalLC_70min
1914803762,1436131.56,39299199.13,3284018.95,128787887.3,30046800,0,306895382.6,2424553182,306895382.6,519352656.1,0,300014,300014,0,7/30/2017 4:13,3.93E+12,144540,0,11000,S300W0,300 GW,100-0,11,coalLC_70min
1397942080,494366.79,21902302.82,1721715.57,128787887.3,30046800,1139.25,0,2424553182,843656890.4,888594834.6,843656890.4,0,400031,400031,7/30/2017 5:34,2.78E+12,113520,0,35400,S0W400,400 GW,0-100,12,coalLC_70min
1404080541,913212.01,22617053.96,2224833.99,128787887.3,30046800,1969.28,164810244.7,2424553182,835880884.5,862515831,671070639.8,100079,400086,300007,7/30/2017 6:57,2.78E+12,100980,1000,36400,S100W300,400 GW,25-75,13,coalLC_70min
1506004946,1108189.89,28721244.66,3718788.31,128787887.3,30046800,0,275156207.9,2424553182,726165326,825174374,451009118,200004,400009,200005,7/30/2017 8:29,3.03E+12,107580,0,34200,S200W200,400 GW,50-50,14,coalLC_70min
1682898651,1216147.78,35874726.47,3698990.07,128787887.3,30046800,0,303617266.4,2424553182,542029979.7,771532273.4,238412713.3,300014,400037,100023,7/30/2017 10:04,3.43E+12,116820,0,30000,S300W100,400 GW,75-25,15,coalLC_70min
1899920141,1558670.65,39787739.61,3498874.68,128787887.3,30046800,0,320953069,2424553182,320953069,689271559.2,0,400003,400003,0,7/30/2017 11:38,3.91E+12,143880,0,11200,S400W0,400 GW,100-0,16,coalLC_70min
