,scenario,scenario_main,dispatch_cost,ann_gen_total_MWh,ann_gen_vre_nocurt_MWh,ann_gen_vre_MWh,ann_curt_vre_MWh,ann_gen_solarPV_MWh,ann_gen_wind_MWh,ann_gen_coal_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_diesel_MWh,ann_gen_other_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_discharge_bat_storage_MWh,ann_charge_bat_storage_MWh,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,capacity_vre_MW,capacity_solarPV_MW,capacity_wind_MW,capacity_bat_storage_MW,energy_bat_storage_MWh,scenario_build,scenario_split,rank,date_time,scenario_econ_dispatch,scenario_sensitivity,ann_cap_cost_coal_mil,ann_cap_cost_ccgt_mil,ann_cap_cost_ct_mil,ann_cap_cost_solar_mil,ann_cap_cost_wind_mil,ann_cap_cost_battery_mil,total_cost_new_conv,total_cost_vre,total_cost_capacity,total_cost_energy,total_cost,system_cost_vre,cost_vre_pMWh,cost_vre_nocurt_pMWh,cost_battery_pMWh,cost_battery_nocurt_pMWh,capacity_value_pMWh,energy_value_pMWh,system_cost_vre_pMWh,system_cost_add_pMWh_load,system_cost_add_perc,vre_share_after_curt,vre_curt,vre_share_nocurt,total_emissions_co2_milTonnes,grid_emissions_factor_kg_kWh,total_emissions_reduced_milTonnes,emissions_reduction,cost_emissions_reduction_pTonneCO2_avg,avoided_conv_cap_mw_perVREmw
11,S300W0,base,3.98755E+12,2424553182,519352657,306915697,212436968,306915697,0,1914458058,39618974.8,3283262.81,1442501.75,0,128787887.3,30046800,0,0,143880,0,11400,300014,300014,0,0,0,300 GW,100-0,11,1/18/18 4:04,ClcC70m,ClcC70m,18093.0632,0,743.0466497,23595.62521,0,0,18836.10985,23595.62521,42431.73506,61346.96219,103778.6973,13012.4338,76.87982543,45.43276114,0,0,3.399343214,31.08306193,42.39742029,5.366940968,0.143362008,0.126586498,0.409041828,0.214205513,1781.19269,0.734647812,283.9857483,0.137511482,45.82072826,0.030865226
12,S0W400,base,2.80987E+12,2424553182,888594843,843674515.7,44920318,0,843674515.7,1397834863,21975644.36,1734949.73,497382.38,1139.25,128787887.3,30046800,0,0,113520,0,40200,400031,0,400031,0,0,400 GW,0-100,12,1/18/18 5:22,ClcC70m,ClcC70m,14275.26088,0,2620.217133,0,43760.01872,0,16895.47801,43760.01872,60655.49673,43228.73091,103884.2276,13117.96418,51.86836618,49.24631182,0,0,3.536842207,32.78291615,15.54860783,5.410466669,0.144524669,0.347971132,0.050552091,0.366498392,1296.738717,0.534836161,768.4397216,0.37209362,17.0709085,0.027047904
13,S100W300,base,2.80186E+12,2424553182,862515820,835906570.6,26609277,165365152.7,670541417.8,1404227663,22495412.42,2177774.99,909104.08,1969.28,128787887.3,30046800,0,0,101640,750,36400,400086,100079,300007,0,0,400 GW,25-75,13,1/18/18 6:42,ClcC70m,ClcC70m,12781.33823,58.12736313,2372.534917,7871.054602,32818.23642,0,15212.00051,40689.29103,55901.29153,43105.5,99006.79154,8240.528082,48.67684076,47.17512431,0,0,5.583663658,33.23498437,9.858192736,3.398782152,0.090788447,0.344767265,0.030850738,0.355742174,1303.454987,0.537606268,761.7234513,0.36884147,10.81826753,0.064361162
14,S200W200,base,3.05302E+12,2424553182,825174368,726237461.9,98936903,275207288.6,451030173.2,1505591313,29050032.98,3719724.15,1119963.01,0,128787887.3,30046800,0,0,107580,0,34200,400009,200004,200005,0,0,400 GW,50-50,14,1/18/18 8:13,ClcC70m,ClcC70m,13528.29955,0,2229.139949,15729.99735,21878.86075,0,15757.4395,37608.8581,53366.2976,46969.55364,100335.8512,9569.587782,51.78589658,45.57686176,0,0,5.6758049,32.93315124,13.17694044,3.94694901,0.105431109,0.299534556,0.119898181,0.340340799,1400.606817,0.577676261,664.5716208,0.321798644,14.39963351,0.05689872
15,S300W100,base,3.46776E+12,2424553182,771532271,541920287.8,229611992,317629377.7,224290910.2,1683430449,35497543.16,3665695.59,1204519.26,0,128787887.3,30046800,0,0,117480,0,29600,400037,300014,100023,0,0,400 GW,75-25,15,1/18/18 9:46,ClcC70m,ClcC70m,14773.23509,0,1929.314108,23595.62521,10941.6729,0,16702.5492,34537.29811,51239.84731,53350.19493,104590.0422,13823.77879,63.73132524,44.76455413,0,0,5.862250438,32.36019627,25.50887853,5.70157788,0.152300847,0.223513467,0.297605158,0.31821627,1566.962075,0.64628901,498.2163632,0.241246158,27.74653707,0.043645963
16,S400W0,base,3.96094E+12,2424553182,689271552,320913650.1,368357857,320913650.1,0,1899995278,39790800.23,3468549.39,1550216.84,0,128787887.3,30046800,0,0,143880,0,11800,400003,400003,0,0,0,400 GW,100-0,16,1/18/18 11:17,ClcC70m,ClcC70m,18093.0632,0,769.118462,31459.60146,0,0,18862.18167,31459.60146,50321.78312,60937.48498,111259.2681,20493.00465,98.03135968,45.64181035,0,0,3.169824591,31.00322105,63.85831404,8.452280939,0.225777771,0.132359914,0.534416227,0.284288073,1768.164156,0.72927423,297.0142824,0.143820155,68.99669766,0.022149834
17,S0W0,coal_55mingen,4.60588E+12,2424553182,0,0,0,0,0,2226430163,37225497.2,1888660.69,174173.55,0,128787887.3,30046800,0,0,151140,0,13400,0,0,0,0,0,0 GW,0-0,1,1/18/18 15:35,ClcC55m,ClcC55m,19006.01593,0,873.4057111,0,0,0,19879.42165,0,19879.42165,70859.62349,90739.04513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065.283138,0.851820102,NA,NA,NA,NA
18,S0W200,coal_55mingen,3.52779E+12,2424553182,477166828,477166824.6,0,0,477166824.6,1763961416,23156551.12,1234789.81,197773.53,1139.25,128787887.3,30046800,0,0,126720,0,28800,200005,0,200005,0,0,200 GW,0-100,2,1/18/18 16:45,ClcC55m,ClcC55m,15935.17493,0,1877.170483,0,21878.86075,0,17812.34542,21878.86075,39691.20616,54273.69196,93964.89812,3225.852986,45.85159659,45.85159626,0,0,4.331978092,34.75918835,6.760430147,1.330493804,0.035550881,0.196806087,7.19E-09,0.196806088,1633.510347,0.673736653,431.7727912,0.209062275,7.471181722,0.045098873
19,S50W150,coal_55mingen,3.57888E+12,2424553182,454821772,454821767.9,0,87844246.67,366977521.2,1784041388,25240509.41,1290908.09,323921.09,0,128787887.3,30046800,0,0,118800,0,25000,200025,50015,150010,0,0,200 GW,25-75,3,1/18/18 17:53,ClcC55m,ClcC55m,14939.2265,0,1629.488267,3933.600415,16409.82926,0,16568.71477,20343.42967,36912.14444,55059.6241,91971.76854,1232.723402,44.72835538,44.72835498,0,0,7.27913023,34.73888126,2.710343895,0.508433229,0.013585369,0.187589933,8.97E-09,0.187589934,1652.997978,0.681774271,412.2851593,0.199626459,2.989977626,0.103687039
20,S100W100,coal_55mingen,3.65389E+12,2424553182,427217839,427217841.4,0,175038224,252179617.3,1808217631,28436210.76,1422958.76,423852.85,0,128787887.3,30046800,0,0,119460,0,27400,200102,100079,100023,0,0,200 GW,50-50,4,1/18/18 19:05,ClcC55m,ClcC55m,15022.2222,0,1785.919141,7871.054602,10941.6729,0,16808.14134,18812.7275,35620.86885,56213.72914,91834.59799,1095.552853,44.0354444,44.03544465,0,0,7.189026313,34.2820288,2.564389281,0.451857629,0.012073665,0.176204772,-5.71E-09,0.176204771,1676.747452,0.691569673,388.5356854,0.18812708,2.819696862,0.088354939
