/ BEGIN,Objects,,,
class,name,category,description,notes
Company,PUNJAB State,NR,,
Company,HARYANA State,NR,,
Company,HARYANA Central,NR,,
Company,RAJASTHAN State,NR,,
Company,RAJASTHAN Central,NR,,
Company,RAJASTHAN Central-IPP,NR,,
Company,DELHI State,NR,,
Company,UTTAR PRADESH State,NR,,
Company,UTTAR PRADESH Central,NR,,
Company,UTTARAKHAND State,NR,,
Company,UTTARAKHAND Central,NR,,
Company,PUNJAB Central,NR,,
Company,HIMACHAL PRADESH State,NR,,
Company,HIMACHAL PRADESH Central-IPP,NR,,
Company,HIMACHAL PRADESH Central,NR,,
Company,JAMMU KASHMIR State,NR,,
Company,JAMMU KASHMIR Central,NR,,
Company,BIHAR State,ER,,
Company,BIHAR Central,ER,,
Company,JHARKHAND State,ER,,
Company,JHARKHAND Central-IPP,ER,,
Company,DVC State,ER,,
Company,ODISHA State,ER,,
Company,ODISHA Central-IPP,ER,,
Company,ODISHA Central,ER,,
Company,WEST BENGAL State,ER,,
Company,WEST BENGAL Central,ER,,
Company,SIKKIM Central,ER,,
Company,SIKKIM Central-IPP,ER,,
Company,BHUTAN Central,BHUTAN,,
Company,BHUTAN State,BHUTAN,,
Company,GUJARAT State,WR,,
Company,GUJARAT Central,WR,,
Company,GUJARAT Central-IPP,WR,,
Company,MADHYA PRADESH State,WR,,
Company,MADHYA PRADESH Central-IPP,WR,,
Company,MADHYA PRADESH Central,WR,,
Company,MAHARASHTRA State,WR,,
Company,MAHARASHTRA Central,WR,,
Company,MAHARASHTRA Central-IPP,WR,,
Company,CHHATTISGARH State,WR,,
Company,CHHATTISGARH Central-IPP,WR,,
Company,CHHATTISGARH Central,WR,,
Company,ANDHRA PRADESH & TELANGANA State,SR,,
Company,ANDHRA PRADESH & TELANGANA Central,SR,,
Company,ANDHRA PRADESH & TELANGANA Central-IPP,SR,,
Company,KARNATAKA State,SR,,
Company,KARNATAKA Central,SR,,
Company,TAMIL NADU State,SR,,
Company,TAMIL NADU Central,SR,,
Company,TAMIL NADU Central-IPP,SR,,
Company,KERALA State,SR,,
Company,ARUNACHAL PRADESH Central,NER,,
Company,ASSAM State,NER,,
Company,ASSAM Central,NER,,
Company,MANIPUR Central,NER,,
Company,MEGHALAYA State,NER,,
Company,MIZORAM State,NER,,
Company,NAGALAND Central,NER,,
Company,NAGALAND State,NER,,
Company,TRIPURA State,NER,,
Company,TRIPURA Central,NER,,
Company,BHUTAN-NER Central,BHUTAN,,
Company,ANDHRA PRADESH & TELANGANA RE,SR,,
Company,HARYANA RE,NR,,
Company,CHHATTISGARH RE,WR,,
Company,DELHI RE,NR,,
Company,GUJARAT RE,WR,,
Company,JHARKHAND RE,ER,,
Company,KARNATAKA RE,SR,,
Company,MADHYA PRADESH RE,WR,,
Company,MAHARASHTRA RE,WR,,
Company,ODISHA RE,ER,,
Company,PUNJAB RE,NR,,
Company,RAJASTHAN RE,NR,,
Company,TAMIL NADU RE,SR,,
Company,TRIPURA RE,NER,,
Company,DVC RE,ER,,
/ END,Objects,,,
/ BEGIN,Memberships,,,
parent_class,child_class,collection,parent_object,child_object
Generator,Company,Companies,GEN_111000_UBDCPH-1_132_1,PUNJAB State
Generator,Company,Companies,GEN_111000_UBDCPH-1_132_2,PUNJAB State
Generator,Company,Companies,GEN_111009_MUKERIAN-4_132_1,PUNJAB State
Generator,Company,Companies,GEN_111009_MUKERIAN-4_132_2,PUNJAB State
Generator,Company,Companies,GEN_111009_MUKERIAN-4_132_3,PUNJAB State
Generator,Company,Companies,GEN_111017_MUKERI-3_132_1,PUNJAB State
Generator,Company,Companies,GEN_111017_MUKERI-3_132_2,PUNJAB State
Generator,Company,Companies,GEN_111017_MUKERI-3_132_3,PUNJAB State
Generator,Company,Companies,GEN_111046_ANANDGARH-2_132_1,PUNJAB State
Generator,Company,Companies,GEN_111046_ANANDGARH-2_132_2,PUNJAB State
Generator,Company,Companies,GEN_111046_ANANDGARH-2_132_3,PUNJAB State
Generator,Company,Companies,GEN_111046_ANANDGARH-2_132_4,PUNJAB State
Generator,Company,Companies,GEN_111067_UBDCPH-3_132_1,PUNJAB State
Generator,Company,Companies,GEN_111067_UBDCPH-3_132_2,PUNJAB State
Generator,Company,Companies,GEN_111068_UBDCPH-2_132_1,PUNJAB State
Generator,Company,Companies,GEN_111068_UBDCPH-2_132_2,PUNJAB State
Generator,Company,Companies,GEN_111086_MUKERI-1_132_1,PUNJAB State
Generator,Company,Companies,GEN_111086_MUKERI-1_132_2,PUNJAB State
Generator,Company,Companies,GEN_111086_MUKERI-1_132_3,PUNJAB State
Generator,Company,Companies,GEN_111087_MUKERI-2_132_1,PUNJAB State
Generator,Company,Companies,GEN_111087_MUKERI-2_132_2,PUNJAB State
Generator,Company,Companies,GEN_111087_MUKERI-2_132_3,PUNJAB State
Generator,Company,Companies,GEN_111089_JOGINDERNAGA_132_1,PUNJAB State
Generator,Company,Companies,GEN_111089_JOGINDERNAGA_132_2,PUNJAB State
Generator,Company,Companies,GEN_111089_JOGINDERNAGA_132_3,PUNJAB State
Generator,Company,Companies,GEN_111089_JOGINDERNAGA_132_4,PUNJAB State
Generator,Company,Companies,GEN_111089_JOGINDERNAGA_132_5,PUNJAB State
Generator,Company,Companies,GEN_111092_ANANDGARH-1_132_1,PUNJAB State
Generator,Company,Companies,GEN_111092_ANANDGARH-1_132_2,PUNJAB State
Generator,Company,Companies,GEN_111113_GANGUWAL_132_1,PUNJAB State
Generator,Company,Companies,GEN_111113_GANGUWAL_132_2,PUNJAB State
