Line,Node From,Node To,Type,Voltage.From,Voltage.To,Max Flow,Min Flow,ratingA,ratingB,ratingC,Resistance,Reactance,Status,Length,Units
181017_181019_1_CKT,181017_WANGANPURA1_132,181019_UPPERSIND_132,AC,132,132,47,-47,47,84,92,0.0093,0.0222,1,NA,1
181017_181019_2_CKT,181017_WANGANPURA1_132,181019_UPPERSIND_132,AC,132,132,47,-47,47,84,92,0.0093,0.0222,1,NA,1
181017_181026_1_CKT,181017_WANGANPURA1_132,181026_HABBAK_132,AC,132,132,47,-47,47,84,92,0.00512,0.01219,1,NA,1
181018_181020_1_CKT,181018_BEMINA1_132,181020_RAWALPURA1_132,AC,132,132,47,-47,47,84,92,0.00838,0.01994,1,NA,1
181018_181020_2_CKT,181018_BEMINA1_132,181020_RAWALPURA1_132,AC,132,132,47,-47,47,84,92,0.00838,0.01994,1,NA,1
181019_181036_1_CKT,181019_UPPERSIND_132,181036_BADAMPUR_132,AC,132,132,47,-47,47,84,92,0.02421,0.05762,1,NA,1
181020_181027_1_CKT,181020_RAWALPURA1_132,181027_PAMPORE1_132,AC,132,132,47,-47,47,84,92,0.00931,0.02216,1,NA,1
181020_181027_2_CKT,181020_RAWALPURA1_132,181027_PAMPORE1_132,AC,132,132,47,-47,47,84,92,0.00931,0.02216,1,NA,1
181021_181022_1_CKT,181021_AWANTIPURA_132,181022_LASSIPORA_132,AC,132,132,47,-47,47,84,92,0.01909,0.04543,1,NA,1
181021_181027_1_CKT,181021_AWANTIPURA_132,181027_PAMPORE1_132,AC,132,132,47,-47,47,84,92,0.02328,0.0554,1,NA,1
181021_181027_2_CKT,181021_AWANTIPURA_132,181027_PAMPORE1_132,AC,132,132,47,-47,47,84,92,0.02328,0.0554,1,NA,1
181021_181028_1_CKT,181021_AWANTIPURA_132,181028_WANPOH1_132,AC,132,132,47,-47,47,84,92,0.02793,0.06648,1,NA,1
181021_181028_2_CKT,181021_AWANTIPURA_132,181028_WANPOH1_132,AC,132,132,47,-47,47,84,92,0.02793,0.06648,1,NA,1
181022_181024_1_CKT,181022_LASSIPORA_132,181024_SHOPIAN_132,AC,132,132,47,-47,47,84,92,0.0135,0.03213,1,NA,1
181023_181031_1_CKT,181023_BARN1_132,181031_JANIPUR1_132,AC,132,132,47,-47,47,84,92,0.0138,0.0329,1,NA,1
181023_181032_1_CKT,181023_BARN1_132,181032_NEWCANAL1_132,AC,132,132,47,-47,47,84,92,0.01143,0.02721,1,NA,1
181023_181043_1_CKT,181023_BARN1_132,181043_SIDHRA1_132,AC,132,132,47,-47,47,84,92,0.00507,0.01208,1,NA,1
181023_181043_2_CKT,181023_BARN1_132,181043_SIDHRA1_132,AC,132,132,47,-47,47,84,92,0.00507,0.01208,1,NA,1
181025_181027_1_CKT,181025_KHANMOH_132,181027_PAMPORE1_132,AC,132,132,47,-47,47,84,92,0.00605,0.0144,1,NA,1
181026_181036_1_CKT,181026_HABBAK_132,181036_BADAMPUR_132,AC,132,132,47,-47,47,84,92,0.01871,0.04454,1,NA,1
181029_181035_1_CKT,181029_KALAKOTE_132,181035_GLADINI1_132,AC,132,132,47,-47,47,84,92,0.0717,0.17,1,NA,1
181029_181039_1_CKT,181029_KALAKOTE_132,181039_RAJOURI1_132,AC,132,132,47,-47,47,84,92,0.0265,0.0632,1,NA,1
181029_181039_2_CKT,181029_KALAKOTE_132,181039_RAJOURI1_132,AC,132,132,47,-47,47,84,92,0.0265,0.0632,1,NA,1
181030_181031_1_CKT,181030_JHAJJARKOTL1_132,181031_JANIPUR1_132,AC,132,132,47,-47,47,84,92,0.0233,0.0554,1,NA,1
181031_181032_1_CKT,181031_JANIPUR1_132,181032_NEWCANAL1_132,AC,132,132,47,-47,47,84,92,0.0112,0.0266,1,NA,1
181031_181035_1_CKT,181031_JANIPUR1_132,181035_GLADINI1_132,AC,132,132,47,-47,47,84,92,0.0072,0.0171,1,NA,1
181031_181043_1_CKT,181031_JANIPUR1_132,181043_SIDHRA1_132,AC,132,132,47,-47,47,84,92,0.00507,0.01208,1,NA,1
181031_181043_2_CKT,181031_JANIPUR1_132,181043_SIDHRA1_132,AC,132,132,47,-47,47,84,92,0.00507,0.01208,1,NA,1
181032_181033_1_CKT,181032_NEWCANAL1_132,181033_MERANSAHIB_132,AC,132,132,47,-47,47,84,92,0.0149,0.0355,1,NA,1
181032_181033_2_CKT,181032_NEWCANAL1_132,181033_MERANSAHIB_132,AC,132,132,47,-47,47,84,92,0.0149,0.0355,1,NA,1
181032_181035_1_CKT,181032_NEWCANAL1_132,181035_GLADINI1_132,AC,132,132,47,-47,47,84,92,0.06357,0.15131,1,NA,1
181032_181035_2_CKT,181032_NEWCANAL1_132,181035_GLADINI1_132,AC,132,132,47,-47,47,84,92,0.06357,0.15131,1,NA,1
181033_181034_1_CKT,181033_MERANSAHIB_132,181034_BARIBRAHMINA_132,AC,132,132,47,-47,47,84,92,0.013,0.031,1,NA,1
181033_181034_2_CKT,181033_MERANSAHIB_132,181034_BARIBRAHMINA_132,AC,132,132,47,-47,47,84,92,0.013,0.031,1,NA,1
181034_181035_1_CKT,181034_BARIBRAHMINA_132,181035_GLADINI1_132,AC,132,132,47,-47,47,84,92,0.01402,0.03337,1,NA,1
181034_181035_2_CKT,181034_BARIBRAHMINA_132,181035_GLADINI1_132,AC,132,132,47,-47,47,84,92,0.01402,0.03337,1,NA,1
181035_181037_1_CKT,181035_GLADINI1_132,181037_SAMBA_132,AC,132,132,47,-47,47,84,92,0.0242,0.0576,1,NA,1
181035_181038_1_CKT,181035_GLADINI1_132,181038_HERANAGAR1_132,AC,132,132,47,-47,47,84,92,0.0393,0.0936,1,NA,1
181035_181038_2_CKT,181035_GLADINI1_132,181038_HERANAGAR1_132,AC,132,132,47,-47,47,84,92,0.0393,0.0936,1,NA,1
181037_181038_1_CKT,181037_SAMBA_132,181038_HERANAGAR1_132,AC,132,132,47,-47,47,84,92,0.0242,0.0576,1,NA,1
181038_181045_1_CKT,181038_HERANAGAR1_132,181045_SEWA-II_132,AC,132,132,47,-47,47,84,92,0.01214,0.06474,1,NA,1
181038_181045_2_CKT,181038_HERANAGAR1_132,181045_SEWA-II_132,AC,132,132,47,-47,47,84,92,0.01214,0.06474,1,NA,1
181039_181040_1_CKT,181039_RAJOURI1_132,181040_DRABA1_132,AC,132,132,47,-47,47,84,92,0.0327,0.0778,1,NA,1
181039_181040_2_CKT,181039_RAJOURI1_132,181040_DRABA1_132,AC,132,132,47,-47,47,84,92,0.0327,0.0778,1,NA,1
181040_181041_1_CKT,181040_DRABA1_132,181041_CHANDAK1_132,AC,132,132,47,-47,47,84,92,0.0214,0.0509,1,NA,1
182000_182007_1_CKT,182000_ZAINKOTE2_220,182007_WAGOORA_220,AC,220,220,131,-131,131,208,229,0.0043,0.0231,1,NA,1
182000_182007_2_CKT,182000_ZAINKOTE2_220,182007_WAGOORA_220,AC,220,220,131,-131,131,208,229,0.0043,0.0231,1,NA,1
182001_182006_1_CKT,182001_RAMBAN_220,182006_MIRBAZAR_220,AC,220,220,131,-131,131,208,229,0.007344,0.041922,1,NA,1
182001_182011_1_CKT,182001_RAMBAN_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00936,0.05343,1,NA,1
182003_182011_1_CKT,182003_BARN2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00572,0.0305,1,NA,1
182003_182011_2_CKT,182003_BARN2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00572,0.03052,1,NA,1
182004_182010_1_CKT,182004_HIRANAGAR2_220,182010_JAMMU2_220,AC,220,220,131,-131,131,208,229,0.00711,0.03789,1,NA,1
182005_182011_1_CKT,182005_UDAMPUR2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00341,0.01818,1,NA,1
182005_182011_2_CKT,182005_UDAMPUR2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00341,0.01818,1,NA,1
182006_182008_1_CKT,182006_MIRBAZAR_220,182008_PAMPORE2_220,AC,220,220,131,-131,131,208,229,0.003945,0.021035,1,NA,1
182006_182008_2_CKT,182006_MIRBAZAR_220,182008_PAMPORE2_220,AC,220,220,131,-131,131,208,229,0.00789,0.04207,1,NA,1
182006_182011_2_CKT,182006_MIRBAZAR_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.018576,0.106038,1,NA,1
182007_182008_1_CKT,182007_WAGOORA_220,182008_PAMPORE2_220,AC,220,220,131,-131,131,208,229,0.00063,0.00706,1,NA,1
182007_182008_2_CKT,182007_WAGOORA_220,182008_PAMPORE2_220,AC,220,220,131,-131,131,208,229,0.00063,0.00706,1,NA,1
182009_182010_1_CKT,182009_SALAL2_220,182010_JAMMU2_220,AC,220,220,131,-131,131,208,229,0.00871,0.04647,1,NA,1
182009_182010_2_CKT,182009_SALAL2_220,182010_JAMMU2_220,AC,220,220,131,-131,131,208,229,0.00966,0.05149,1,NA,1
182009_182011_1_CKT,182009_SALAL2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00879,0.04685,1,NA,1
182009_182011_2_CKT,182009_SALAL2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00879,0.04685,1,NA,1
182009_182011_3_CKT,182009_SALAL2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00908,0.04842,1,NA,1
182009_182011_4_CKT,182009_SALAL2_220,182011_KISHENPUR_220,AC,220,220,131,-131,131,208,229,0.00908,0.04842,1,NA,1
184000_184002_1_CKT,184000_BAGLIHAR4_400,184002_KISHENPUR_400,AC,400,400,517,-517,517,874,937.2,0.00126,0.0141,1,NA,1
184000_184002_2_CKT,184000_BAGLIHAR4_400,184002_KISHENPUR_400,AC,400,400,517,-517,517,874,937.2,0.00126,0.0141,1,NA,1
184001_184003_1_CKT,184001_URIG-1_400,184003_WAGOORA_400,AC,400,400,517,-517,517,874,937.2,0.00177,0.01971,1,NA,1
184001_184003_2_CKT,184001_URIG-1_400,184003_WAGOORA_400,AC,400,400,517,-517,517,874,937.2,0.00177,0.01971,1,NA,1
184001_184007_1_CKT,184001_URIG-1_400,184007_URIG-2_400,AC,400,400,517,-517,517,1093,1202.3,0.00022,0.00249,1,NA,1
184002_184004_1_CKT,184002_KISHENPUR_400,184004_SAMBA_400,AC,400,400,559,-559,559,874,961.4,0.00063,0.006731,1,NA,1
184002_184004_2_CKT,184002_KISHENPUR_400,184004_SAMBA_400,AC,400,400,559,-559,559,874,961.4,0.00063,0.006731,1,NA,1
184002_184005_1_CKT,184002_KISHENPUR_400,184005_NEWWANPO_400,AC,400,400,560,-560,560,874,961.4,0.00234,0.024999,1,NA,1
184002_184005_2_CKT,184002_KISHENPUR_400,184005_NEWWANPO_400,AC,400,400,560,-560,560,874,961.4,0.00234,0.024999,1,NA,1
