ann_gen_coal_MWh,ann_gen_diesel_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_gen_other_MWh,ann_gen_solarPV_MWh,ann_gen_total_MWh,ann_gen_vre_MWh,ann_gen_vre_nocurt_MWh,ann_gen_wind_MWh,capacity_solarPV_MW,capacity_vre_MW,capacity_wind_MW,date_time,dispatch_cost,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,scenario,scenario_build,scenario_split,rank,scenario_conv
2725565354,1545256.41,34591286.54,2951597.43,128787887.3,30046800,16258.72,559400040.4,3482904481,559400040.4,689271559.2,0,400003,400003,0,11/13/2016 4:15,6.01E+12,327360,32750,52900,S400W0,400 GW,100-0,11,high_coal_cost
2059247689,1672716.72,50053078.03,3047022.6,128787887.3,30046800,1105806.8,0,3482904481,1208943481,1286680246,1208943481,0,600016,600016,11/13/2016 4:35,4.58E+12,244860,55500,101100,S0W600,600 GW,0-100,12,high_coal_cost
2031250015,1839597.71,55973641.6,5871352.61,128787887.3,30046800,1372004.96,247382018,3482904481,1227763181,1267252346,980381163.2,150088,600096,450008,11/13/2016 0:01,4.55E+12,218460,52500,120200,S150W450,600 GW,25-75,13,high_coal_cost
2117282096,2449096.81,60107050.81,8080999.34,128787887.3,30046800,1522174.94,485492400.2,3482904481,1134628376,1207988452,649135975.9,300012,600019,300007,11/12/2016 16:46,4.81E+12,225720,59500,107650,S300W300,600 GW,50-50,14,high_coal_cost
2360165784,2073257.81,43139370.34,5752836.97,128787887.3,30046800,535103.14,575570892.6,3482904481,912403442,1142202955,336832549.6,450047,600057,150010,11/12/2016 10:42,5.24E+12,265980,44250,90550,S450W150,600 GW,75-25,15,high_coal_cost
2665741992,1746965.87,35664568.5,3549588.54,128787887.3,30046800,17365.44,617349313.1,3482904481,617349313.1,1026500345,0,600051,600051,0,11/12/2016 4:43,5.91E+12,324720,34250,53800,S600W0,600 GW,100-0,16,high_coal_cost
3298162784,168410.11,24273457.9,1465141.96,128787887.3,30046800,0,0,3482904481,0,0,0,0,0,0,11/17/2016 11:51,7.20E+12,419760,0,0,S0W0,0 GW,0-0,17,all_coal
2832814845,170082.15,12763607.41,1154435.01,128787887.3,30046800,0,0,3482904481,477166824.6,477166824.6,477166824.6,0,200005,200005,11/14/2016 1:28,6.03E+12,409200,0,0,S0W200,200 GW,0-100,18,all_coal
2855948550,170222.83,11929415.32,1199837.01,128787887.3,30046800,0,87844246.67,3482904481,454821767.9,454821768,366977521.2,50015,200025,150010,11/15/2016 5:19,6.07E+12,400620,0,0,S50W150,200 GW,25-75,19,all_coal
2882282542,174181.49,13264753.97,1130474.23,128787887.3,30046800,0,175038224,3482904481,427217841.4,427217841.3,252179617.3,100079,200102,100023,11/14/2016 3:03,6.14E+12,403920,0,0,S100W100,200 GW,50-50,20,all_coal
2913283975,188928.01,16536678.06,1114651.77,128787887.3,30046800,0,261665558.2,3482904481,392945560.4,392945560.5,131280002.5,150010,200039,50029,11/15/2016 6:59,6.24E+12,407880,0,0,S150W50,200 GW,75-25,21,all_coal
2954612607,276955.82,20026909.51,1145771.52,128787887.3,30046800,0,348007549.4,3482904481,348007549.4,348007549.4,0,200004,200004,0,11/14/2016 4:44,6.38E+12,413160,0,0,S200W0,200 GW,100-0,22,all_coal
2426952813,227935.15,9196401.87,962297.93,128787887.3,30046800,0,0,3482904471,886730335.7,888594834.6,886730335.7,0,400031,400031,11/13/2016 19:54,5.09E+12,404580,0,0,S0W400,400 GW,0-100,23,all_coal
2452716177,232667.36,8841457.95,921746.01,128787887.3,30046800,0,174330643.9,3482904481,861357745.3,862515831,687027101.4,100079,400086,300007,11/15/2016 1:39,5.13E+12,392700,0,0,S100W300,400 GW,25-75,24,all_coal
2491769470,369991.21,10375924.04,984928.36,128787887.3,30046800,0,345557349.9,3482904481,820569479.7,825174374,475012129.9,200004,400009,200005,11/13/2016 21:40,5.24E+12,397980,0,0,S200W200,400 GW,50-50,25,all_coal
2571893665,707880.06,16767481.71,1368774.36,128787887.3,30046800,0,498078040,3482904437,733331949.1,771532273.4,235253909,300014,400037,100023,11/15/2016 3:44,5.51E+12,403920,0,0,S300W100,400 GW,75-25,26,all_coal
2743307415,806061.23,21914209.82,1457177.85,128787887.3,30046800,0,556584881.3,3482904433,556584881.3,689271559.2,0,400003,400003,0,11/13/2016 23:52,5.97E+12,413160,0,0,S400W0,400 GW,100-0,27,all_coal
2107582856,281361.65,7892398.8,815062.48,128787887.3,30046800,0,0,3482904481,1207498115,1286680246,1207498115,0,600016,600016,11/13/2016 14:01,4.42E+12,401280,0,0,S0W600,600 GW,0-100,28,all_coal
2088824925,363499.31,7436832.59,791809.77,128787887.3,30046800,0,244600918.2,3482904477,1226652723,1267252346,982051804.6,150088,600096,450008,11/14/2016 21:37,4.33E+12,390720,0,0,S150W450,600 GW,25-75,29,all_coal
2183607358,698757.92,10375628.11,1104718.67,128787887.3,30046800,0,477885609.9,3482904444,1128283293,1207988452,650397683.5,300012,600019,300007,11/13/2016 16:04,4.58E+12,392700,0,0,S300W300,600 GW,50-50,30,all_coal
2400001478,759605.8,16233613.74,1327009.68,128787887.3,30046800,0,593029918.3,3482904453,905748058.1,1142202955,312718139.8,450047,600057,150010,11/14/2016 23:58,5.13E+12,400620,0,0,S450W150,600 GW,75-25,31,all_coal
2686916300,904644.74,22097749.59,1477096.15,128787887.3,30046800,0,612673972.2,3482904450,612673972.2,1026500345,0,600051,600051,0,11/13/2016 18:14,5.86E+12,413160,0,0,S600W0,600 GW,100-0,32,all_coal
3297834894,174795.26,24580659,1479445.42,128787887.3,30046800,0,0,3482904481,0,0,0,0,0,0,42690.10932,7.20E+12,390060,0,29600,S0W0,0 GW,0-0,33,low_coal_cost
2831949137,185403.09,13558140.89,1210288.52,128787887.3,30046800,0,0,3482904481,477166824.6,477166824.6,477166824.6,0,200005,200005,42690.2989,6.03E+12,351780,0,57450,S0W200,200 GW,0-100,34,low_coal_cost
2854859888,212456.78,12917703.43,1257977.3,128787887.3,30046800,0,87844246.67,3482904481,454821767.9,454821768,366977521.2,50015,200025,150010,42690.38503,6.08E+12,343860,0,57100,S50W150,200 GW,25-75,35,low_coal_cost
2880866952,245290.44,14533062.16,1206647.49,128787887.3,30046800,0,175038224,3482904481,427217841.4,427217841.3,252179617.3,100079,200102,100023,42690.47264,6.15E+12,345180,0,58300,S100W100,200 GW,50-50,36,low_coal_cost
2912092623,258813.76,17600214.35,1172582.16,128787887.3,30046800,0,261665558.2,3482904481,392945560.4,392945560.5,131280002.5,150010,200039,50029,42690.55904,6.25E+12,357720,0,49950,S150W50,200 GW,75-25,37,low_coal_cost
2953760147,304169.23,20819977.24,1177949.97,128787887.3,30046800,0,348007549.4,3482904481,348007549.4,348007549.4,0,200004,200004,0,42690.64177,6.38E+12,377520,0,35650,S200W0,200 GW,100-0,38,low_coal_cost
2425128179,261169.11,10818279.66,1051942.06,128787887.3,30046800,1139.25,0,3482904481,886809084.9,888594834.6,886809084.9,0,400031,400031,42689.61314,5.10E+12,335940,0,68250,S0W400,400 GW,0-100,39,low_coal_cost
2448457829,363521.16,12770115.32,1075006.18,128787887.3,30046800,2945.78,174164766,3482904481,861400376.7,862515831,687235610.7,100079,400086,300007,42689.7563,5.14E+12,316800,0,76100,S100W300,400 GW,25-75,40,low_coal_cost
2488338884,491502.91,13426454.96,1150033.02,128787887.3,30046800,976.5,346048832.8,3482904481,820661942.1,825174374,474613109.3,200004,400009,200005,42689.8673,5.25E+12,324720,0,73600,S200W200,400 GW,50-50,41,low_coal_cost
2569840272,761808.67,18226313.82,1550813.19,128787887.3,30046800,0,490038785.1,3482904481,733690585.4,771532273.4,243651800.2,300014,400037,100023,42689.97234,5.51E+12,342540,0,61400,S300W100,400 GW,75-25,42,low_coal_cost
2741357081,949601.62,22478305.37,1788257.69,128787887.3,30046800,0,557496548,3482904481,557496548,689271559.2,0,400003,400003,0,42690.21083,5.97E+12,376860,0,36400,S400W0,400 GW,100-0,43,low_coal_cost
2102801485,371178.6,10818844.43,1161892.6,128787887.3,30046800,3401.47,0,3482904481,1208912992,1286680246,1208912992,0,600016,600016,42691.38503,4.42E+12,323400,0,77400,S0W600,600 GW,0-100,44,low_coal_cost
2081843231,583022.07,12619164.58,1287583.58,128787887.3,30046800,8056.14,245463346.7,3482904481,1227728736,1267252346,982265389.4,150088,600096,450008,42691.27895,4.34E+12,299640,0,91550,S150W450,600 GW,25-75,45,low_coal_cost
2177466039,835873.77,14010289.33,1849048.52,128787887.3,30046800,2945.78,477980609.1,3482904481,1129905597,1207988452,651924987.9,300012,600019,300007,42691.16507,4.59E+12,306900,0,85650,S300W300,600 GW,50-50,46,low_coal_cost
2395646131,937917.14,17804207.76,2025977.75,128787887.3,30046800,0,580873832.4,3482904481,907655559.9,1142202955,326781727.6,450047,600057,150010,42691.03647,5.13E+12,331980,0,68550,S450W150,600 GW,75-25,47,low_coal_cost
2683453299,1214485.97,22658452.52,2103048.55,128787887.3,30046800,0,614640507.4,3482904481,614640507.4,1026500345,0,600051,600051,0,42690.74922,5.86E+12,376200,0,37100,S600W0,600 GW,100-0,48,low_coal_cost
