NAME,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
JAMMU KASHMIR_PUNJAB_Interface,-1790,-1790,-1790,-1790,-1790,-1790,-1790,-1790,-1790,-1790,-1790,-1790
JHARKHAND_ODISHA_Interface,-1165,-1165,-1165,-1165,-1165,-1165,-1165,-1165,-1165,-1165,-1165,-1165
JHARKHAND_WEST BENGAL_Interface,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262
KARNATAKA_KERALA_Interface,-178,-178,-178,-178,-178,-178,-178,-178,-178,-178,-178,-178
KARNATAKA_MAHARASHTRA_Interface,-4388,-4388,-4388,-4388,-4388,-4388,-4388,-4388,-4388,-4388,-4388,-4388
KARNATAKA_ODISHA_Interface,-1960,-1960,-1960,-1960,-1960,-1960,-1960,-1960,-1960,-1960,-1960,-1960
KARNATAKA_TAMIL NADU_Interface,-2199,-2199,-2199,-2199,-2199,-2199,-2199,-2199,-2199,-2199,-2199,-2199
KERALA_TAMIL NADU_Interface,-2639,-2639,-2639,-2639,-2639,-2639,-2639,-2639,-2639,-2639,-2639,-2639
MADHYA PRADESH_MAHARASHTRA_Interface,-6164,-6164,-6164,-6164,-6164,-6164,-6164,-6164,-6164,-6164,-6164,-6164
MADHYA PRADESH_RAJASTHAN_Interface,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262
MADHYA PRADESH_UTTAR PRADESH_Interface,-5417,-5417,-5417,-5417,-5417,-5417,-5417,-5417,-5417,-5417,-5417,-5417
MANIPUR_MIZORAM_Interface,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94
MANIPUR_NAGALAND_Interface,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94
MIZORAM_TRIPURA_Interface,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47
ODISHA_WEST BENGAL_Interface,-517,-517,-517,-517,-517,-517,-517,-517,-517,-517,-517,-517
PUDUCHERRY_TAMIL NADU_Interface,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296
PUNJAB_RAJASTHAN_Interface,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034
PUNJAB_UTTAR PRADESH_Interface,-2711,-2711,-2711,-2711,-2711,-2711,-2711,-2711,-2711,-2711,-2711,-2711
RAJASTHAN_UTTAR PRADESH_Interface,-5008,-5008,-5008,-5008,-5008,-5008,-5008,-5008,-5008,-5008,-5008,-5008
SIKKIM_WEST BENGAL_Interface,-1171,-1171,-1171,-1171,-1171,-1171,-1171,-1171,-1171,-1171,-1171,-1171
UTTAR PRADESH_UTTARAKHAND_Interface,-6622,-6622,-6622,-6622,-6622,-6622,-6622,-6622,-6622,-6622,-6622,-6622
