,allocated,dispatched,difference_RT,difference_RT_perc
99,181316.5416,181316.5416,-1.25146470964e-09,0.0
100,181316.5416,181316.5416,1.22236087918e-09,0.0
101,181316.5416,181316.5416,-1.22236087918e-09,0.0
102,181316.5416,181316.5416,1.30967237055e-09,0.0
103,162417.757,162417.757,-1.2805685401e-09,0.0
104,162417.757,162417.757,1.30967237055e-09,0.0
105,162417.757,162417.757,-1.2805685401e-09,0.0
106,162417.757,162417.757,1.25146470964e-09,0.0
107,162417.757,162417.757,-1.19325704873e-09,0.0
108,162417.757,162417.757,1.16415321827e-09,0.0
109,162417.757,162417.757,-1.10594555736e-09,0.0
110,183845.1919,183845.1919,1.10594555736e-09,0.0
111,183845.1919,183845.1919,-1.01863406599e-09,0.0
112,183845.1919,183845.1919,9.89530235529e-10,0.0
113,183845.1919,183845.1919,-9.31322574615e-10,0.0
114,183845.1919,183845.1919,9.02218744159e-10,0.0
115,183845.1919,183845.1919,-9.02218744159e-10,0.0
116,183845.1919,183845.1919,8.73114913702e-10,0.0
117,172956.2874,172956.2874,-8.44011083245e-10,0.0
118,172956.2874,172956.2874,8.44011083245e-10,0.0
119,172956.2874,172956.2874,-8.14907252789e-10,0.0
120,172956.2874,172956.2874,7.56699591875e-10,0.0
121,172956.2874,172956.2874,-7.27595761418e-10,0.0
122,172956.2874,172956.2874,7.85803422332e-10,0.0
123,172956.2874,172956.2874,-7.27595761418e-10,0.0
124,140876.9273,140876.9273,7.56699591875e-10,0.0
125,140876.9273,140876.9273,-7.85803422332e-10,0.0
126,140876.9273,140876.9273,7.85803422332e-10,0.0
127,140876.9273,140876.9273,-8.14907252789e-10,0.0
128,140876.9273,140876.9273,8.14907252789e-10,0.0
129,140876.9273,140876.9273,-7.85803422332e-10,0.0
130,140876.9273,140876.9273,8.14907252789e-10,0.0
131,164404.3665,164404.3665,-8.44011083245e-10,0.0
132,164404.3665,164404.3665,8.14907252789e-10,0.0
133,164404.3665,164404.3665,-8.44011083245e-10,0.0
134,164404.3665,164404.3665,7.56699591875e-10,0.0
135,164404.3665,164404.3665,-9.02218744159e-10,0.0
136,164404.3665,164404.3665,8.44011083245e-10,0.0
137,164404.3665,164404.3665,-7.85803422332e-10,0.0
138,157640.5479,157640.5479,8.14907252789e-10,0.0
139,157640.5479,157640.5479,-8.73114913702e-10,0.0
140,157640.5479,157640.5479,9.02218744159e-10,0.0
141,157640.5479,157640.5479,-8.44011083245e-10,0.0
142,157640.5479,157640.5479,8.73114913702e-10,0.0
143,157640.5479,157640.5479,-9.89530235529e-10,0.0
144,157640.5479,157640.5479,9.60426405072e-10,0.0
145,130587.8212,130587.8212,-9.31322574615e-10,0.0
146,130587.8212,130587.8212,9.74978320301e-10,0.0
147,130587.8212,130587.8212,-1.01863406599e-09,0.0
148,130587.8212,130587.8212,9.74978320301e-10,0.0
149,130587.8212,130587.8212,-9.31322574615e-10,0.0
150,130587.8212,130587.8212,9.31322574615e-10,0.0
151,130587.8212,130587.8212,-9.89530235529e-10,0.0
152,129725.5006,129725.5006,9.60426405072e-10,0.0
153,129725.5006,129725.5006,-9.31322574615e-10,0.0
154,129725.5006,129725.5006,9.02218744159e-10,0.0
155,129725.5006,129725.5006,-9.45874489844e-10,0.0
156,129725.5006,129725.5006,9.16770659387e-10,0.0
157,129725.5006,129725.5006,-9.31322574615e-10,0.0
158,129725.5006,129725.5006,1.01863406599e-09,0.0
159,135332.1963,135332.1963,-9.89530235529e-10,0.0
160,135332.1963,135332.1963,9.31322574615e-10,0.0
161,135332.1963,135332.1963,-8.44011083245e-10,0.0
162,135332.1963,135332.1963,8.73114913702e-10,0.0
163,135332.1963,135332.1963,-8.73114913702e-10,0.0
164,135332.1963,135332.1963,9.02218744159e-10,0.0
165,135332.1963,135332.1963,-9.31322574615e-10,0.0
166,120144.3136,120144.3136,8.8766682893e-10,0.0
167,120144.3136,120144.3136,-8.0035533756e-10,0.0
168,120144.3136,120144.3136,7.42147676647e-10,0.0
169,120144.3136,120144.3136,-7.42147676647e-10,0.0
170,120144.3136,120144.3136,6.98491930962e-10,0.0
171,120144.3136,120144.3136,-6.54836185277e-10,0.0
172,120144.3136,120144.3136,6.83940015733e-10,0.0
173,147854.9302,147854.9302,-6.98491930962e-10,0.0
174,147854.9302,147854.9302,7.27595761418e-10,0.0
175,147854.9302,147854.9302,-7.27595761418e-10,0.0
176,147854.9302,147854.9302,6.98491930962e-10,0.0
177,147854.9302,147854.9302,-6.69388100505e-10,0.0
178,147854.9302,147854.9302,7.27595761418e-10,0.0
179,147854.9302,147854.9302,-7.27595761418e-10,0.0
180,136783.2329,136783.2329,7.27595761418e-10,0.0
181,136783.2329,136783.2329,-7.27595761418e-10,0.0
182,136783.2329,136783.2329,8.14907252789e-10,0.0
183,136783.2329,136783.2329,-9.02218744159e-10,0.0
184,136783.2329,136783.2329,8.73114913702e-10,0.0
185,136783.2329,136783.2329,-8.73114913702e-10,0.0
186,136783.2329,136783.2329,9.02218744159e-10,0.0
187,117774.1756,117774.1756,-8.73114913702e-10,0.0
188,117774.1756,117774.1756,8.58562998474e-10,0.0
189,117774.1756,117774.1756,-8.58562998474e-10,0.0
190,117774.1756,117774.1756,9.02218744159e-10,0.0
191,117774.1756,117774.1756,-9.31322574615e-10,0.0
192,117774.1756,117774.1756,9.74978320301e-10,0.0
193,117774.1756,117774.1756,-1.00408215076e-09,0.0
194,122391.0898,122391.0898,1.03318598121e-09,0.0
195,122391.0898,122391.0898,-1.12049747258e-09,0.0
196,122391.0898,122391.0898,1.06228981167e-09,0.0
197,122391.0898,122391.0898,-1.06228981167e-09,0.0
198,122391.0898,122391.0898,1.14960130304e-09,0.0
199,122391.0898,122391.0898,-1.12049747258e-09,0.0
200,122391.0898,122391.0898,1.25146470964e-09,0.0
201,147561.3396,147561.3396,-1.22236087918e-09,0.0
202,147561.3396,147561.3396,1.19325704873e-09,0.0
203,147561.3396,147561.3396,-1.0768417269e-09,0.0
204,147561.3396,147561.3396,1.13504938781e-09,0.0
205,147561.3396,147561.3396,-1.10594555736e-09,0.0
206,147561.3396,147561.3396,1.13504938781e-09,0.0
207,147561.3396,147561.3396,-1.16415321827e-09,0.0
208,199674.0111,199674.0111,1.19325704873e-09,0.0
209,199674.0111,199674.0111,-1.25146470964e-09,0.0
210,199674.0111,199674.0111,1.2805685401e-09,0.0
211,199674.0111,199674.0111,-1.2805685401e-09,0.0
212,199674.0111,199674.0111,1.39698386192e-09,0.0
213,199674.0111,199674.0111,-1.19325704873e-09,0.0
214,199674.0111,199674.0111,1.33877620101e-09,0.0
215,218201.4453,218201.4453,-1.33877620101e-09,0.0
216,218201.4453,218201.4453,1.22236087918e-09,0.0
217,218201.4453,218201.4453,-1.04773789644e-09,0.0
218,218201.4453,218201.4453,1.19325704873e-09,0.0
219,218201.4453,218201.4453,-1.30967237055e-09,0.0
220,218201.4453,218201.4453,1.48429535329e-09,0.0
221,218201.4453,218201.4453,-1.48429535329e-09,0.0
222,237477.0644,237477.0644,1.48429535329e-09,0.0
223,237477.0644,237477.0644,-1.39698386192e-09,0.0
224,237477.0644,237477.0644,1.48429535329e-09,0.0
225,237477.0644,237477.0644,-1.62981450558e-09,0.0
226,237477.0644,237477.0644,1.62981450558e-09,0.0
227,237477.0644,237477.0644,-1.48429535329e-09,0.0
228,237477.0644,237477.0644,1.54250301421e-09,0.0
229,253856.9623,253856.9623,-1.57160684466e-09,0.0
230,253856.9623,253856.9623,1.51339918375e-09,0.0
231,253856.9623,253856.9623,-1.51339918375e-09,0.0
232,253856.9623,253856.9623,1.39698386192e-09,0.0
233,253856.9623,253856.9623,-1.36788003147e-09,0.0
234,253856.9623,253856.9623,1.36788003147e-09,0.0
235,253856.9623,253856.9623,-1.39698386192e-09,0.0
236,220649.3237,220649.3237,1.42608769238e-09,0.0
237,220649.3237,220649.3237,-1.51339918375e-09,0.0
238,220649.3237,220649.3237,1.54250301421e-09,0.0
239,220649.3237,220649.3237,-1.60071067512e-09,0.0
240,220649.3237,220649.3237,1.54250301421e-09,0.0
241,220649.3237,220649.3237,-1.54250301421e-09,0.0
242,220649.3237,220649.3237,1.57160684466e-09,0.0
243,223187.3084,223187.3084,-1.57160684466e-09,0.0
244,223187.3084,223187.3084,1.36788003147e-09,0.0
245,223187.3084,223187.3084,-1.42608769238e-09,0.0
246,223187.3084,223187.3084,1.30967237055e-09,0.0
247,223187.3084,223187.3084,-1.25146470964e-09,0.0
248,223187.3084,223187.3084,1.33877620101e-09,0.0
249,223187.3084,223187.3084,-1.30967237055e-09,0.0
250,257910.7592,257910.7592,1.30967237055e-09,0.0
251,257910.7592,257910.7592,-1.2805685401e-09,0.0
252,257910.7592,257910.7592,1.0768417269e-09,0.0
253,257910.7592,257910.7592,-1.19325704873e-09,0.0
254,257910.7592,257910.7592,1.19325704873e-09,0.0
255,257910.7592,257910.7592,-1.19325704873e-09,0.0
256,257910.7592,257910.7592,1.19325704873e-09,0.0
257,262979.3895,262979.3895,-1.16415321827e-09,0.0
258,262979.3895,262979.3895,1.22236087918e-09,0.0
259,262979.3895,262979.3895,-1.16415321827e-09,0.0
260,262979.3895,262979.3895,1.22236087918e-09,0.0
261,262979.3895,262979.3895,-1.22236087918e-09,0.0
262,262979.3895,262979.3895,1.2805685401e-09,0.0
263,262979.3895,262979.3895,-1.22236087918e-09,0.0
264,287722.1037,287722.1037,1.39698386192e-09,0.0
265,287722.1037,287722.1037,-1.2805685401e-09,0.0
266,287722.1037,287722.1037,1.22236087918e-09,0.0
267,287722.1037,287722.1037,-1.22236087918e-09,0.0
268,287722.1037,287722.1037,1.16415321827e-09,0.0
269,287722.1037,287722.1037,-1.16415321827e-09,0.0
270,287722.1037,287722.1037,1.2805685401e-09,0.0
271,258630.1184,258630.1184,-1.2805685401e-09,0.0
272,258630.1184,258630.1184,1.30967237055e-09,0.0
273,258630.1184,258630.1184,-1.30967237055e-09,0.0
274,258630.1184,258630.1184,1.25146470964e-09,0.0
275,258630.1184,258630.1184,-1.2805685401e-09,0.0
276,258630.1184,258630.1184,1.25146470964e-09,0.0
