Day,HYDRO-PONDAGE,HYDRO-ROR,NUCLEAR
198,0.9,0.6,0.678
199,0.9,0.6,0.678
200,0.9,0.6,0.678
201,0.9,0.6,0.678
202,0.9,0.6,0.678
203,0.9,0.6,0.678
204,0.9,0.6,0.678
205,0.9,0.6,0.678
206,0.9,0.6,0.678
207,0.9,0.6,0.678
208,0.9,0.6,0.678
209,0.9,0.6,0.678
210,0.9,0.6,0.678
211,0.9,0.6,0.678
212,0.9,0.6,0.678
213,0.9,0.6,0.678
214,0.9,0.6,0.678
215,0.9,0.6,0.678
216,0.9,0.6,0.678
217,0.9,0.6,0.678
218,0.9,0.6,0.678
219,0.9,0.6,0.678
220,0.9,0.6,0.678
221,0.9,0.6,0.678
222,0.9,0.6,0.678
223,0.9,0.6,0.678
224,0.9,0.6,0.678
225,0.9,0.6,0.678
226,0.9,0.6,0.678
227,0.9,0.6,0.678
228,0.9,0.6,0.678
229,0.9,0.6,0.678
230,0.9,0.6,0.678
231,0.9,0.6,0.678
232,0.9,0.6,0.678
233,0.9,0.6,0.678
234,0.8,0.6,0.678
235,0.8,0.6,0.678
236,0.9,0.6,0.678
237,0.9,0.6,0.678
238,0.9,0.6,0.678
239,0.8,0.6,0.678
240,0.8,0.6,0.678
241,0.8,0.6,0.678
242,0.8,0.6,0.678
243,0.8,0.6,0.678
244,0.7,0.6,0.678
245,0.7,0.5,0.678
246,0.8,0.5,0.678
247,0.8,0.5,0.678
248,0.8,0.5,0.678
249,0.8,0.5,0.678
250,0.8,0.5,0.678
251,0.8,0.5,0.678
252,0.8,0.6,0.678
253,0.8,0.6,0.678
254,0.7,0.6,0.678
255,0.7,0.6,0.678
256,0.7,0.6,0.678
257,0.7,0.6,0.678
258,0.6,0.6,0.678
259,0.6,0.6,0.678
260,0.6,0.6,0.678
261,0.6,0.6,0.678
262,0.6,0.6,0.678
263,0.6,0.6,0.678
264,0.6,0.6,0.678
265,0.6,0.6,0.678
266,0.6,0.5,0.678
267,0.6,0.5,0.678
268,0.6,0.5,0.678
269,0.5,0.5,0.678
270,0.5,0.5,0.678
271,0.5,0.5,0.678
272,0.5,0.5,0.678
273,0.5,0.5,0.678
274,0.5,0.5,0.678
275,0.5,0.5,0.678
276,0.5,0.4,0.678
277,0.5,0.4,0.678
278,0.5,0.4,0.678
279,0.5,0.4,0.678
280,0.5,0.4,0.678
281,0.5,0.4,0.678
282,0.4,0.4,0.678
283,0.4,0.4,0.678
284,0.4,0.4,0.678
285,0.4,0.4,0.678
286,0.4,0.4,0.678
287,0.4,0.4,0.678
288,0.4,0.3,0.678
289,0.4,0.3,0.678
290,0.4,0.3,0.678
291,0.3,0.3,0.678
292,0.3,0.3,0.678
293,0.3,0.3,0.678
294,0.3,0.3,0.678
295,0.3,0.3,0.678
296,0.3,0.3,0.678
297,0.3,0.3,0.678
298,0.3,0.3,0.678
299,0.3,0.3,0.678
300,0.3,0.3,0.678
301,0.3,0.3,0.678
302,0.3,0.3,0.678
