capacity_solarPV_GW,Weighted_cost_solarPV_USDpkW_3pc,Weighted_cost_solarPV_USDpkW_5pc,
0,850,850,
50,706,629,
75,684,596,
100,671,578,
150,657,556,
200,649,544,
225,645,539,
300,639,529,
400,633,520,
450,631,517,
600,626,510,
