coal_cost_fkey,,coallc,coalhc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coalhc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coalhc,coalhc,coalhc,coalhc,coalhc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coalhc,coalhc,coalhc,coallc,coallc,coallc,coallc
coal_min_gen,"percentage, 70p is base",70,70,55,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,55,55,55,55,55,55,55,55,55,55,55,70,70,70,70
coal_min_gen_suffix,,C70m,C70m,C55m,C0m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C70m,C55m,C55m,C55m,C55m,C55m,C55m,C55m,C55m,C55m,C55m,C55m,C70m,C70m,C70m,C70m
ccgt_min_gen,"percentage, 50p is base",50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ccgt_min_gen_suffix,,,,,G0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydro_energy_mod,"percentage, 0 is base, pos or neg direction",0,0,0,0,-25,25,cea,0,cea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro_energy_mod_suffix,,,,,,H-25,H25,Hcea,,Hcea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear_cap,GW. 6860 is base. 16880 MW is India plan,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuclear_cap_suffix,,,,,,,,,N17,N17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery_cap_gw,gw capacity. 0 is base,0,0,0,0,0,0,0,0,0,15,30,60,60,0,0,0,0,0,0,0,0,0,0,0,15,15,30,30,60,60,60,60,60,60,60,60,0,0,0,0,60,60,60,60,60,60,60,60,0,0,0,0
battery_cap_gw_suffix,,,,,,,,,,,B15,B30,B60,B60,,,,,,,,,,,,B15,B15,B30,B30,B60,B60,B60,B60,B60,B60,B60,B60,,,,,B60,B60,B60,B60,B60,B60,B60,B60,,,,
battery_cap_gw_fkey,,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat15,bat30,bat60,bat60,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat0,bat15,bat15,bat30,bat30,bat60,bat60,bat60,bat60,bat60,bat60,bat60,bat60,bat0,bat0,bat0,bat0,bat60,bat60,bat60,bat60,bat60,bat60,bat60,bat60,bat0,bat0,bat0,bat0
battery_cost,percentage change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,50,50,50,50,50,50,50,50,50,0,0,0,0,0,50,0,50,50,0,0,50,0,0,0,0
battery_cost_direction,low or high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
battery_cost_suffix,,,,,,,,,,,,,,,,,,,,,,,,,,B25lc,B50lc,B25lc,B50lc,B50lc,B50lc,B50lc,B50lc,B50lc,B50lc,B50lc,B50lc,,,,,,B50lc,,B50lc,B50lc,,,B50lc,,,,
battery_cost_fkey,,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC25,batteryLC50,batteryLC25,batteryLC50,batteryLC50,batteryLC50,batteryLC50,batteryLC50,batteryLC50,batteryLC50,batteryLC50,batteryLC50,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC0,batteryLC50,batteryLC0,batteryLC50,batteryLC50,batteryLC0,batteryLC0,batteryLC50,batteryLC0,batteryLC0,batteryLC0,batteryLC0
wind_cost,percentage change,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0,30,0,0,30,30,0,0,30,30,0,0,0,0
wind_cost_direction,low or high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
wind_cost_suffix,,,,,,,,,,,,,,,W10lc,W20lc,W30lc,,,,W30lc,,,,,,,,,,W30lc,,W30lc,,W30lc,,W30lc,W30lc,W30lc,,W30lc,,,W30lc,W30lc,,,W30lc,W30lc,,,,
wind_cost_fkey,,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC10,windLC20,windLC30,windLC0,windLC0,windLC0,windLC30,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC0,windLC30,windLC0,windLC30,windLC0,windLC30,windLC0,windLC30,windLC30,windLC30,windLC0,windLC30,windLC0,windLC0,windLC30,windLC30,windLC0,windLC0,windLC30,windLC30,windLC0,windLC0,windLC0,windLC0
solar_cost,percentage change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,30,0,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,30,30,0,0,30,30,30,0,30,30,0,0,0,0
