capacity_wind_GW,Weighted_cost_wind_USDpkW_3pc,Weighted_cost_wind_USDpkW_5pc
0,1250,1250
50,1171,1129
75,1108,1032
100,1073,978
150,1033,918
200,1010,884
225,1002,871
300,984,845
400,969,822
450,964,814
600,952,796
