Timepoint,load,dateTime,Day
177,121673,1/8/2014 8:55,8
178,123041,1/8/2014 9:55,8
179,122531,1/8/2014 10:55,8
180,121145,1/8/2014 11:55,8
181,119478,1/8/2014 12:55,8
182,117982,1/8/2014 13:55,8
183,117026,1/8/2014 14:55,8
184,117026,1/8/2014 15:55,8
185,118496,1/8/2014 16:55,8
186,120022,1/8/2014 17:55,8
187,120599,1/8/2014 18:55,8
188,120359,1/8/2014 19:55,8
189,118791,1/8/2014 20:55,8
190,115288,1/8/2014 21:55,8
191,111238,1/8/2014 22:55,8
192,107739,1/8/2014 23:55,8
193,104579,1/9/2014 0:55,9
194,102208,1/9/2014 1:55,9
195,101172,1/9/2014 2:55,9
196,101889,1/9/2014 3:55,9
197,104303,1/9/2014 4:55,9
198,108392,1/9/2014 5:55,9
199,112798,1/9/2014 6:55,9
200,116909,1/9/2014 7:55,9
201,119710,1/9/2014 8:55,9
202,120707,1/9/2014 9:55,9
203,120079,1/9/2014 10:55,9
204,118648,1/9/2014 11:55,9
205,117235,1/9/2014 12:55,9
206,116182,1/9/2014 13:55,9
207,115827,1/9/2014 14:55,9
208,116196,1/9/2014 15:55,9
209,117874,1/9/2014 16:55,9
210,119344,1/9/2014 17:55,9
211,119804,1/9/2014 18:55,9
212,119615,1/9/2014 19:55,9
213,118393,1/9/2014 20:55,9
214,115394,1/9/2014 21:55,9
215,111792,1/9/2014 22:55,9
216,108631,1/9/2014 23:55,9
217,105627,1/10/2014 0:55,10
218,103158,1/10/2014 1:55,10
219,102139,1/10/2014 2:55,10
220,102787,1/10/2014 3:55,10
221,105011,1/10/2014 4:55,10
222,109194,1/10/2014 5:55,10
223,113593,1/10/2014 6:55,10
224,117789,1/10/2014 7:55,10
225,120928,1/10/2014 8:55,10
226,122664,1/10/2014 9:55,10
227,122530,1/10/2014 10:55,10
228,121766,1/10/2014 11:55,10
229,120572,1/10/2014 12:55,10
230,119473,1/10/2014 13:55,10
231,118177,1/10/2014 14:55,10
232,117747,1/10/2014 15:55,10
233,118768,1/10/2014 16:55,10
234,119865,1/10/2014 17:55,10
235,119930,1/10/2014 18:55,10
236,119848,1/10/2014 19:55,10
237,118482,1/10/2014 20:55,10
238,115168,1/10/2014 21:55,10
239,111180,1/10/2014 22:55,10
240,107927,1/10/2014 23:55,10
241,104941,1/11/2014 0:55,11
242,102545,1/11/2014 1:55,11
243,101476,1/11/2014 2:55,11
244,101965,1/11/2014 3:55,11
245,103878,1/11/2014 4:55,11
246,107492,1/11/2014 5:55,11
247,111631,1/11/2014 6:55,11
248,115596,1/11/2014 7:55,11
249,118515,1/11/2014 8:55,11
250,119916,1/11/2014 9:55,11
251,119490,1/11/2014 10:55,11
252,118256,1/11/2014 11:55,11
253,116783,1/11/2014 12:55,11
254,115632,1/11/2014 13:55,11
255,115047,1/11/2014 14:55,11
256,115396,1/11/2014 15:55,11
257,116783,1/11/2014 16:55,11
258,118208,1/11/2014 17:55,11
259,118703,1/11/2014 18:55,11
260,118454,1/11/2014 19:55,11
261,117187,1/11/2014 20:55,11
262,114238,1/11/2014 21:55,11
263,110544,1/11/2014 22:55,11
264,107302,1/11/2014 23:55,11
265,104390,1/12/2014 0:55,12
266,101948,1/12/2014 1:55,12
267,100772,1/12/2014 2:55,12
268,101224,1/12/2014 3:55,12
269,103041,1/12/2014 4:55,12
270,106110,1/12/2014 5:55,12
271,109937,1/12/2014 6:55,12
272,113817,1/12/2014 7:55,12
273,116809,1/12/2014 8:55,12
274,118604,1/12/2014 9:55,12
275,118917,1/12/2014 10:55,12
276,117857,1/12/2014 11:55,12
277,116114,1/12/2014 12:55,12
278,114258,1/12/2014 13:55,12
279,112709,1/12/2014 14:55,12
280,112048,1/12/2014 15:55,12
281,112957,1/12/2014 16:55,12
282,114106,1/12/2014 17:55,12
283,114678,1/12/2014 18:55,12
284,114755,1/12/2014 19:55,12
285,114100,1/12/2014 20:55,12
286,111621,1/12/2014 21:55,12
287,108525,1/12/2014 22:55,12
288,105783,1/12/2014 23:55,12
289,103353,1/13/2014 0:55,13
290,101137,1/13/2014 1:55,13
291,100218,1/13/2014 2:55,13
292,101055,1/13/2014 3:55,13
293,103470,1/13/2014 4:55,13
294,107369,1/13/2014 5:55,13
295,111833,1/13/2014 6:55,13
296,116288,1/13/2014 7:55,13
297,119511,1/13/2014 8:55,13
298,121305,1/13/2014 9:55,13
299,121345,1/13/2014 10:55,13
300,120576,1/13/2014 11:55,13
301,119260,1/13/2014 12:55,13
302,118007,1/13/2014 13:55,13
303,116798,1/13/2014 14:55,13
304,116128,1/13/2014 15:55,13
305,116426,1/13/2014 16:55,13
306,116849,1/13/2014 17:55,13
307,116731,1/13/2014 18:55,13
308,116521,1/13/2014 19:55,13
309,115644,1/13/2014 20:55,13
310,113377,1/13/2014 21:55,13
311,110488,1/13/2014 22:55,13
312,107923,1/13/2014 23:55,13
313,105420,1/14/2014 0:55,14
314,103416,1/14/2014 1:55,14
315,102503,1/14/2014 2:55,14
316,103057,1/14/2014 3:55,14
317,104815,1/14/2014 4:55,14
318,107837,1/14/2014 5:55,14
319,111394,1/14/2014 6:55,14
320,114694,1/14/2014 7:55,14
321,116970,1/14/2014 8:55,14
322,118202,1/14/2014 9:55,14
323,117877,1/14/2014 10:55,14
324,116614,1/14/2014 11:55,14
325,115058,1/14/2014 12:55,14
326,113537,1/14/2014 13:55,14
327,112128,1/14/2014 14:55,14
328,111273,1/14/2014 15:55,14
329,111774,1/14/2014 16:55,14
330,112640,1/14/2014 17:55,14
331,112992,1/14/2014 18:55,14
332,113034,1/14/2014 19:55,14
333,112391,1/14/2014 20:55,14
334,109954,1/14/2014 21:55,14
335,106793,1/14/2014 22:55,14
336,104130,1/14/2014 23:55,14
337,101558,1/15/2014 0:55,15
338,99548,1/15/2014 1:55,15
339,98787,1/15/2014 2:55,15
340,99544,1/15/2014 3:55,15
341,101798,1/15/2014 4:55,15
342,105555,1/15/2014 5:55,15
343,109959,1/15/2014 6:55,15
344,114213,1/15/2014 7:55,15
345,117326,1/15/2014 8:55,15
346,118876,1/15/2014 9:55,15
347,118791,1/15/2014 10:55,15
348,117652,1/15/2014 11:55,15
349,116177,1/15/2014 12:55,15
350,114862,1/15/2014 13:55,15
351,113801,1/15/2014 14:55,15
352,113444,1/15/2014 15:55,15
353,114323,1/15/2014 16:55,15
354,115310,1/15/2014 17:55,15
355,115575,1/15/2014 18:55,15
356,115431,1/15/2014 19:55,15
357,114404,1/15/2014 20:55,15
358,111823,1/15/2014 21:55,15
359,108572,1/15/2014 22:55,15
360,105775,1/15/2014 23:55,15
361,103170,1/16/2014 0:55,16
362,101037,1/16/2014 1:55,16
363,99951,1/16/2014 2:55,16
364,100313,1/16/2014 3:55,16
365,102364,1/16/2014 4:55,16
366,106157,1/16/2014 5:55,16
367,110558,1/16/2014 6:55,16
368,114894,1/16/2014 7:55,16
369,118413,1/16/2014 8:55,16
370,120358,1/16/2014 9:55,16
371,119965,1/16/2014 10:55,16
372,118654,1/16/2014 11:55,16
373,116896,1/16/2014 12:55,16
374,115203,1/16/2014 13:55,16
375,113842,1/16/2014 14:55,16
376,113881,1/16/2014 15:55,16
377,115011,1/16/2014 16:55,16
378,116215,1/16/2014 17:55,16
379,116685,1/16/2014 18:55,16
380,116476,1/16/2014 19:55,16
381,115139,1/16/2014 20:55,16
382,112496,1/16/2014 21:55,16
383,109412,1/16/2014 22:55,16
384,106547,1/16/2014 23:55,16
385,104130,1/17/2014 0:55,17
386,102225,1/17/2014 1:55,17
387,101238,1/17/2014 2:55,17
388,101708,1/17/2014 3:55,17
389,103862,1/17/2014 4:55,17
390,107261,1/17/2014 5:55,17
391,111079,1/17/2014 6:55,17
392,114914,1/17/2014 7:55,17
393,117886,1/17/2014 8:55,17
394,119647,1/17/2014 9:55,17
395,119828,1/17/2014 10:55,17
396,119072,1/17/2014 11:55,17
397,118029,1/17/2014 12:55,17
398,116970,1/17/2014 13:55,17
399,115911,1/17/2014 14:55,17
400,115545,1/17/2014 15:55,17
401,116381,1/17/2014 16:55,17
402,117297,1/17/2014 17:55,17
403,117276,1/17/2014 18:55,17
404,116631,1/17/2014 19:55,17
405,115044,1/17/2014 20:55,17
406,112020,1/17/2014 21:55,17
407,107991,1/17/2014 22:55,17
408,104456,1/17/2014 23:55,17
409,101256,1/18/2014 0:55,18
410,98445,1/18/2014 1:55,18
411,96529,1/18/2014 2:55,18
412,96241,1/18/2014 3:55,18
413,97652,1/18/2014 4:55,18
414,100797,1/18/2014 5:55,18
415,104821,1/18/2014 6:55,18
416,108888,1/18/2014 7:55,18
417,112254,1/18/2014 8:55,18
418,114571,1/18/2014 9:55,18
419,115181,1/18/2014 10:55,18
420,114847,1/18/2014 11:55,18
421,114375,1/18/2014 12:55,18
422,113902,1/18/2014 13:55,18
423,113273,1/18/2014 14:55,18
424,113154,1/18/2014 15:55,18
425,114442,1/18/2014 16:55,18
426,115937,1/18/2014 17:55,18
427,116494,1/18/2014 18:55,18
428,116393,1/18/2014 19:55,18
429,115476,1/18/2014 20:55,18
430,112851,1/18/2014 21:55,18
431,109294,1/18/2014 22:55,18
432,106249,1/18/2014 23:55,18
433,103615,1/19/2014 0:55,19
434,101448,1/19/2014 1:55,19
435,100121,1/19/2014 2:55,19
436,100309,1/19/2014 3:55,19
437,101845,1/19/2014 4:55,19
438,104636,1/19/2014 5:55,19
439,108304,1/19/2014 6:55,19
440,112023,1/19/2014 7:55,19
441,114942,1/19/2014 8:55,19
442,116571,1/19/2014 9:55,19
443,116751,1/19/2014 10:55,19
444,115900,1/19/2014 11:55,19
445,114538,1/19/2014 12:55,19
446,112921,1/19/2014 13:55,19
447,111583,1/19/2014 14:55,19
448,111116,1/19/2014 15:55,19
449,111912,1/19/2014 16:55,19
450,113146,1/19/2014 17:55,19
451,113788,1/19/2014 18:55,19
452,113850,1/19/2014 19:55,19
453,113005,1/19/2014 20:55,19
454,110443,1/19/2014 21:55,19
455,106924,1/19/2014 22:55,19
456,103937,1/19/2014 23:55,19
457,101301,1/20/2014 0:55,20
458,99009,1/20/2014 1:55,20
459,97882,1/20/2014 2:55,20
460,98560,1/20/2014 3:55,20
461,101195,1/20/2014 4:55,20
462,105496,1/20/2014 5:55,20
463,110363,1/20/2014 6:55,20
464,115013,1/20/2014 7:55,20
465,118654,1/20/2014 8:55,20
466,120377,1/20/2014 9:55,20
467,120230,1/20/2014 10:55,20
468,119354,1/20/2014 11:55,20
469,118113,1/20/2014 12:55,20
470,116742,1/20/2014 13:55,20
471,115910,1/20/2014 14:55,20
472,115946,1/20/2014 15:55,20
473,116872,1/20/2014 16:55,20
474,117959,1/20/2014 17:55,20
475,118190,1/20/2014 18:55,20
476,117602,1/20/2014 19:55,20
477,116094,1/20/2014 20:55,20
478,113084,1/20/2014 21:55,20
479,109393,1/20/2014 22:55,20
480,106423,1/20/2014 23:55,20
481,103781,1/21/2014 0:55,21
482,101562,1/21/2014 1:55,21
483,100418,1/21/2014 2:55,21
484,100748,1/21/2014 3:55,21
485,102484,1/21/2014 4:55,21
486,105559,1/21/2014 5:55,21
487,108922,1/21/2014 6:55,21
488,111929,1/21/2014 7:55,21
489,113551,1/21/2014 8:55,21
490,113957,1/21/2014 9:55,21
491,113091,1/21/2014 10:55,21
492,111589,1/21/2014 11:55,21
493,110342,1/21/2014 12:55,21
494,109988,1/21/2014 13:55,21
495,109740,1/21/2014 14:55,21
496,110216,1/21/2014 15:55,21
497,111976,1/21/2014 16:55,21
498,113616,1/21/2014 17:55,21
499,114059,1/21/2014 18:55,21
500,113911,1/21/2014 19:55,21
501,112437,1/21/2014 20:55,21
502,109369,1/21/2014 21:55,21
503,105754,1/21/2014 22:55,21
504,102665,1/21/2014 23:55,21
505,99877,1/22/2014 0:55,22
506,97724,1/22/2014 1:55,22
507,96595,1/22/2014 2:55,22
508,96882,1/22/2014 3:55,22
509,98460,1/22/2014 4:55,22
510,101876,1/22/2014 5:55,22
511,105787,1/22/2014 6:55,22
512,109520,1/22/2014 7:55,22
513,112185,1/22/2014 8:55,22
514,113805,1/22/2014 9:55,22
515,113483,1/22/2014 10:55,22
516,112182,1/22/2014 11:55,22
517,110894,1/22/2014 12:55,22
518,109963,1/22/2014 13:55,22
519,109458,1/22/2014 14:55,22
520,109445,1/22/2014 15:55,22
521,110546,1/22/2014 16:55,22
522,112001,1/22/2014 17:55,22
523,112603,1/22/2014 18:55,22
524,112175,1/22/2014 19:55,22
525,111135,1/22/2014 20:55,22
526,108730,1/22/2014 21:55,22
527,105266,1/22/2014 22:55,22
528,102171,1/22/2014 23:55,22
529,99553,1/23/2014 0:55,23
530,97334,1/23/2014 1:55,23
531,96250,1/23/2014 2:55,23
532,96665,1/23/2014 3:55,23
533,98447,1/23/2014 4:55,23
534,101583,1/23/2014 5:55,23
535,104848,1/23/2014 6:55,23
536,108436,1/23/2014 7:55,23
537,111312,1/23/2014 8:55,23
538,112903,1/23/2014 9:55,23
539,112859,1/23/2014 10:55,23
540,112293,1/23/2014 11:55,23
541,110993,1/23/2014 12:55,23
542,109666,1/23/2014 13:55,23
543,108875,1/23/2014 14:55,23
544,109178,1/23/2014 15:55,23
545,110906,1/23/2014 16:55,23
546,112972,1/23/2014 17:55,23
547,114224,1/23/2014 18:55,23
548,114470,1/23/2014 19:55,23
549,113430,1/23/2014 20:55,23
550,110362,1/23/2014 21:55,23
551,106482,1/23/2014 22:55,23
552,103015,1/23/2014 23:55,23
553,100113,1/24/2014 0:55,24
554,97857,1/24/2014 1:55,24
555,97085,1/24/2014 2:55,24
556,97826,1/24/2014 3:55,24
557,100003,1/24/2014 4:55,24
558,103585,1/24/2014 5:55,24
559,107525,1/24/2014 6:55,24
560,111112,1/24/2014 7:55,24
561,113784,1/24/2014 8:55,24
562,115304,1/24/2014 9:55,24
563,114902,1/24/2014 10:55,24
564,113692,1/24/2014 11:55,24
565,112263,1/24/2014 12:55,24
566,110951,1/24/2014 13:55,24
567,109665,1/24/2014 14:55,24
568,109739,1/24/2014 15:55,24
569,111355,1/24/2014 16:55,24
570,113445,1/24/2014 17:55,24
571,114831,1/24/2014 18:55,24
572,115532,1/24/2014 19:55,24
573,114827,1/24/2014 20:55,24
574,112084,1/24/2014 21:55,24
575,108389,1/24/2014 22:55,24
576,105011,1/24/2014 23:55,24
577,102088,1/25/2014 0:55,25
578,99759,1/25/2014 1:55,25
579,98739,1/25/2014 2:55,25
580,99296,1/25/2014 3:55,25
581,101469,1/25/2014 4:55,25
582,105072,1/25/2014 5:55,25
583,108997,1/25/2014 6:55,25
584,112732,1/25/2014 7:55,25
585,115362,1/25/2014 8:55,25
586,116457,1/25/2014 9:55,25
587,115731,1/25/2014 10:55,25
588,114293,1/25/2014 11:55,25
589,112712,1/25/2014 12:55,25
590,111309,1/25/2014 13:55,25
591,110126,1/25/2014 14:55,25
592,110095,1/25/2014 15:55,25
593,111789,1/25/2014 16:55,25
594,113898,1/25/2014 17:55,25
595,115144,1/25/2014 18:55,25
596,115717,1/25/2014 19:55,25
597,115094,1/25/2014 20:55,25
598,112417,1/25/2014 21:55,25
599,108525,1/25/2014 22:55,25
600,105158,1/25/2014 23:55,25
601,102150,1/26/2014 0:55,26
602,99687,1/26/2014 1:55,26
603,98433,1/26/2014 2:55,26
604,99040,1/26/2014 3:55,26
605,101107,1/26/2014 4:55,26
606,104101,1/26/2014 5:55,26
607,107372,1/26/2014 6:55,26
608,110087,1/26/2014 7:55,26
609,111355,1/26/2014 8:55,26
610,111230,1/26/2014 9:55,26
611,109902,1/26/2014 10:55,26
612,107834,1/26/2014 11:55,26
613,105468,1/26/2014 12:55,26
614,103298,1/26/2014 13:55,26
615,101459,1/26/2014 14:55,26
616,100777,1/26/2014 15:55,26
617,102140,1/26/2014 16:55,26
618,104448,1/26/2014 17:55,26
619,106255,1/26/2014 18:55,26
620,107335,1/26/2014 19:55,26
621,107252,1/26/2014 20:55,26
622,104983,1/26/2014 21:55,26
623,101653,1/26/2014 22:55,26
624,98802,1/26/2014 23:55,26
625,96338,1/27/2014 0:55,27
626,94351,1/27/2014 1:55,27
627,93548,1/27/2014 2:55,27
628,94466,1/27/2014 3:55,27
629,97084,1/27/2014 4:55,27
630,101470,1/27/2014 5:55,27
631,106220,1/27/2014 6:55,27
632,110786,1/27/2014 7:55,27
633,113986,1/27/2014 8:55,27
634,115477,1/27/2014 9:55,27
635,114865,1/27/2014 10:55,27
636,113463,1/27/2014 11:55,27
637,111785,1/27/2014 12:55,27
638,110435,1/27/2014 13:55,27
639,109513,1/27/2014 14:55,27
640,109836,1/27/2014 15:55,27
641,111792,1/27/2014 16:55,27
642,113941,1/27/2014 17:55,27
643,115216,1/27/2014 18:55,27
644,115512,1/27/2014 19:55,27
645,114415,1/27/2014 20:55,27
646,111426,1/27/2014 21:55,27
647,107535,1/27/2014 22:55,27
648,104118,1/27/2014 23:55,27
649,101318,1/28/2014 0:55,28
650,99257,1/28/2014 1:55,28
651,98271,1/28/2014 2:55,28
652,99127,1/28/2014 3:55,28
653,101773,1/28/2014 4:55,28
654,105720,1/28/2014 5:55,28
655,109928,1/28/2014 6:55,28
656,113985,1/28/2014 7:55,28
657,116802,1/28/2014 8:55,28
658,117800,1/28/2014 9:55,28
659,117193,1/28/2014 10:55,28
660,115941,1/28/2014 11:55,28
661,114406,1/28/2014 12:55,28
662,113036,1/28/2014 13:55,28
663,112206,1/28/2014 14:55,28
664,112408,1/28/2014 15:55,28
665,114072,1/28/2014 16:55,28
666,116279,1/28/2014 17:55,28
667,117588,1/28/2014 18:55,28
668,117864,1/28/2014 19:55,28
669,116999,1/28/2014 20:55,28
670,114220,1/28/2014 21:55,28
671,110416,1/28/2014 22:55,28
672,107152,1/28/2014 23:55,28
673,104354,1/29/2014 0:55,29
674,102035,1/29/2014 1:55,29
