"Day","HYDRO-PONDAGE","HYDRO-ROR","NUCLEAR"
227,0.938,0.619,0.5
228,0.94,0.623,0.5
229,0.875,0.622,0.5
230,0.865,0.621,0.5
231,0.865,0.621,0.5
232,0.858,0.62,0.5
233,0.85,0.619,0.5
234,0.845,0.619,0.5
235,0.837,0.617,0.5
236,0.891,0.617,0.5
237,0.891,0.614,0.5
238,0.869,0.611,0.5
239,0.84,0.608,0.5
240,0.816,0.6,0.5
241,0.792,0.589,0.5
242,0.767,0.581,0.5
243,0.752,0.571,0.5
244,0.741,0.563,0.5
245,0.745,0.543,0.5
246,0.757,0.53,0.5
247,0.765,0.527,0.5
248,0.773,0.527,0.5
249,0.786,0.533,0.5
250,0.788,0.541,0.5
251,0.779,0.545,0.5
252,0.767,0.561,0.5
253,0.754,0.564,0.5
254,0.73,0.565,0.5
255,0.711,0.564,0.5
256,0.686,0.555,0.5
257,0.662,0.555,0.5
258,0.649,0.551,0.5
259,0.639,0.55,0.5
260,0.633,0.556,0.5
261,0.637,0.56,0.5
262,0.634,0.561,0.5
263,0.631,0.564,0.5
264,0.619,0.551,0.5
265,0.611,0.55,0.5
266,0.597,0.547,0.5
267,0.577,0.54,0.5
268,0.56,0.529,0.5
269,0.546,0.52,0.5
270,0.534,0.511,0.5
271,0.532,0.506,0.5
272,0.518,0.491,0.5
273,0.51,0.476,0.5
274,0.51,0.465,0.5
275,0.509,0.456,0.5
276,0.508,0.445,0.5
277,0.503,0.432,0.5
278,0.49,0.421,0.5
279,0.485,0.415,0.5
280,0.475,0.409,0.5
281,0.46,0.404,0.5
282,0.442,0.389,0.5
283,0.423,0.375,0.5
284,0.409,0.368,0.5
285,0.403,0.366,0.5
286,0.392,0.361,0.5
287,0.381,0.353,0.5
288,0.372,0.342,0.5
289,0.363,0.341,0.5
290,0.354,0.338,0.5
291,0.346,0.332,0.5
292,0.338,0.318,0.5
293,0.329,0.308,0.5
294,0.321,0.3,0.5
295,0.317,0.292,0.5
296,0.317,0.288,0.5
297,0.316,0.283,0.5
298,0.313,0.277,0.5
299,0.31,0.274,0.5
300,0.306,0.271,0.5
301,0.302,0.27,0.5
302,0.296,0.268,0.5
303,0.287,0.265,0.5
304,0.28,0.262,0.5
305,0.274,0.259,0.5
306,0.271,0.254,0.5
307,0.262,0.249,0.5
308,0.26,0.242,0.5
309,0.258,0.238,0.5
310,0.256,0.232,0.5
311,0.256,0.229,0.5
312,0.256,0.226,0.5
313,0.254,0.224,0.5
314,0.256,0.224,0.5
315,0.252,0.224,0.5
316,0.249,0.222,0.5
317,0.245,0.219,0.5
318,0.241,0.215,0.5
319,0.237,0.215,0.5
320,0.234,0.212,0.5
321,0.231,0.208,0.5
322,0.229,0.204,0.5
323,0.228,0.201,0.5
324,0.227,0.199,0.5
325,0.224,0.196,0.5
326,0.221,0.191,0.5
327,0.218,0.188,0.5
328,0.215,0.19,0.5
329,0.212,0.188,0.5
330,0.207,0.186,0.5
331,0.202,0.186,0.5
332,0.201,0.186,0.5
333,0.197,0.186,0.5
334,0.199,0.185,0.5
335,0.198,0.18,0.5
336,0.196,0.178,0.5
337,0.198,0.177,0.5
338,0.199,0.173,0.5
339,0.197,0.171,0.5
340,0.199,0.17,0.5
341,0.195,0.168,0.5
342,0.192,0.168,0.5
343,0.191,0.168,0.5
344,0.187,0.168,0.5
345,0.179,0.168,0.5
346,0.175,0.168,0.5
347,0.172,0.169,0.5
348,0.171,0.169,0.5
349,0.173,0.168,0.5
350,0.173,0.166,0.5
351,0.173,0.167,0.5
352,0.178,0.166,0.5
353,0.179,0.164,0.5
354,0.179,0.161,0.5
355,0.179,0.159,0.5
356,0.179,0.159,0.5
357,0.179,0.159,0.5
358,0.179,0.156,0.5
359,0.179,0.154,0.5
360,0.177,0.153,0.5
361,0.176,0.152,0.5
362,0.173,0.151,0.5
363,0.165,0.152,0.5
364,0.159,0.153,0.5
365,0.154,0.157,0.5
