NAME,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
ER_NER_Interface,-500,-570,-550,-580,-550,-500,-550,-500,-690,-690,-600,-690
ER_NR_Interface,-1100,-1100,-1100,-1100,-1100,-1100,-1100,-1100,-1100,-1800,-1100,-2000
ER_SR_Interface,-1100,-1100,-1100,-1100,-1100,-1100,-1200,-1200,-1200,-1200,-1200,-1200
ER_W3_Interface,-1800,-1800,-1800,-1800,-1800,-1800,-1800,-1700,-1600,-1600,-1600,-1900
WR_NR_Interface,-2500,-2500,-2500,-2500,-2500,-2500,-2500,-2500,-2500,-2500,-2500,-2500
WR_SR_Interface,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
