"","Timepoint","load","dateTime","Day","load_mod_D0_M0_energyPeak","load_mod_D0.25_M0.25_energyPeak","load_mod_D0.5_M0_energyPeak","load_mod_D0_M0_energyOnly","load_mod_D0.25_M0.25_energyOnly","load_mod_D0.5_M0_energyOnly"
"1",1,234669,2030-01-01 00:55:00,1,233966,236638,257221,235127,218368,201660
"2",2,230127,2030-01-01 01:55:00,1,228388,228854,249658,229550,209122,187385
"3",3,230589,2030-01-01 02:55:00,1,228920,226137,246765,230082,206049,182201
"4",4,232488,2030-01-01 03:55:00,1,230858,226190,246016,232020,206114,180948
"5",5,237568,2030-01-01 04:55:00,1,236867,231561,250213,238027,212188,188605
"6",6,245111,2030-01-01 05:55:00,1,246131,243313,258942,247285,226523,204763
"7",7,254385,2030-01-01 06:55:00,1,256674,260851,273062,257815,248338,232038
"8",8,264191,2030-01-01 07:55:00,1,266919,274477,276562,268017,268814,260951
"9",9,272083,2030-01-01 08:55:00,1,274968,281017,275284,275914,283724,284519
"10",10,277079,2030-01-01 09:55:00,1,279704,286747,277676,280401,295170,297285
"11",11,276365,2030-01-01 10:55:00,1,279788,289253,279275,280477,299587,304241
"12",12,272813,2030-01-01 11:55:00,1,277148,286833,277798,278002,295336,297721
"13",13,267932,2030-01-01 12:55:00,1,272807,279869,275082,273817,281189,272655
"14",14,262833,2030-01-01 13:55:00,1,268134,276533,276430,269218,273092,262893
"15",15,258380,2030-01-01 14:55:00,1,264128,274367,276728,265245,268575,258600
"16",16,257096,2030-01-01 15:55:00,1,262908,272894,277152,264031,265970,253927
"17",17,258851,2030-01-01 16:55:00,1,264503,270923,277134,265618,262616,252498
"18",18,261378,2030-01-01 17:55:00,1,266558,265762,277267,267658,255077,249452
"19",19,262257,2030-01-01 18:55:00,1,266436,268611,277027,267537,259056,252997
"20",20,260974,2030-01-01 19:55:00,1,263949,268395,277148,265067,258776,252474
"21",21,256522,2030-01-01 20:55:00,1,258914,262925,277238,260050,251162,245648
"22",22,248741,2030-01-01 21:55:00,1,250667,254126,274167,251817,239628,234992
"23",23,240388,2030-01-01 22:55:00,1,241522,243079,265078,242680,226239,216211
"24",24,233841,2030-01-01 23:55:00,1,233845,235925,256592,235006,217484,200678
"25",25,229061,2030-01-02 00:55:00,2,228110,225672,246905,229272,205527,182467
"26",26,225498,2030-01-02 01:55:00,2,223784,220026,240304,224946,199292,172842
"27",27,224343,2030-01-02 02:55:00,2,222254,219512,237835,223417,198721,169771
"28",28,226650,2030-01-02 03:55:00,2,224794,220162,238350,225956,199440,170412
"29",29,232470,2030-01-02 04:55:00,2,231531,225351,243464,232692,205171,177218
"30",30,240934,2030-01-02 05:55:00,2,241667,237390,252414,242825,219334,193016
"31",31,250901,2030-01-02 06:55:00,2,252914,253061,264303,254062,238284,214901
"32",32,261216,2030-01-02 07:55:00,2,263624,270152,277296,264743,261335,246402
"33",33,270246,2030-01-02 08:55:00,2,271862,279249,275315,272893,279657,270767
"34",34,275394,2030-01-02 09:55:00,2,276063,283467,275165,276966,288694,283788
"35",35,274388,2030-01-02 10:55:00,2,275833,284935,275461,276746,291696,286905
"36",36,270714,2030-01-02 11:55:00,2,273051,282771,275160,274054,287456,279481
"37",37,266412,2030-01-02 12:55:00,2,269687,280150,275322,270753,281838,270871
"38",38,263196,2030-01-02 13:55:00,2,267580,277526,276669,268670,275467,259894
"39",39,261746,2030-01-02 14:55:00,2,266809,276753,276736,267907,273602,258255
"40",40,263225,2030-01-02 15:55:00,2,268270,276381,276805,269354,272816,256672
"41",41,267936,2030-01-02 16:55:00,2,272842,275871,276652,273850,271827,259969
"42",42,272374,2030-01-02 17:55:00,2,276799,273525,276376,277670,267039,262801
"43",43,273529,2030-01-02 18:55:00,2,276692,275410,275093,277567,270845,271931
"44",44,272414,2030-01-02 19:55:00,2,274351,275202,275149,275318,270334,271602
"45",45,267721,2030-01-02 20:55:00,2,269505,271235,276441,270572,263132,262648
"46",46,259088,2030-01-02 21:55:00,2,260920,262091,277359,262050,250007,248199
"47",47,250402,2030-01-02 22:55:00,2,251882,251666,272576,253031,236607,230736
"48",48,243987,2030-01-02 23:55:00,2,244759,242623,262315,245915,225691,210953
"49",49,238528,2030-01-03 00:55:00,3,238468,233214,252159,239628,214141,192214
"50",50,234583,2030-01-03 01:55:00,3,233657,227235,246574,234818,207287,181886
"51",51,233756,2030-01-03 02:55:00,3,232153,225897,244378,233314,205778,178493
"52",52,236064,2030-01-03 03:55:00,3,234510,226823,244324,235671,206825,178414
"53",53,241974,2030-01-03 04:55:00,3,241244,231554,248289,242402,212177,184504
"54",54,251047,2030-01-03 05:55:00,3,251925,243513,257492,253074,226764,202249
"55",55,261747,2030-01-03 06:55:00,3,263636,261372,271402,264755,249038,228339
"56",56,272845,2030-01-03 07:55:00,3,274715,276530,276488,275670,273129,261339
"57",57,281548,2030-01-03 08:55:00,3,283413,284173,275372,283755,290108,286469
"58",58,285750,2030-01-03 09:55:00,3,288276,287898,277071,287935,297175,295225
"59",59,284413,2030-01-03 10:55:00,3,287657,290528,279487,287410,301605,304731
"60",60,280653,2030-01-03 11:55:00,3,284072,288635,277974,284339,298507,298290
"61",61,276117,2030-01-03 12:55:00,3,279958,285345,275745,280636,292452,289941
"62",62,272198,2030-01-03 13:55:00,3,276498,279498,275421,277382,280197,270035
"63",63,269438,2030-01-03 14:55:00,3,274151,276790,276494,275126,273701,261319
"64",64,269896,2030-01-03 15:55:00,3,274555,276397,276772,275515,272861,258831
"65",65,273750,2030-01-03 16:55:00,3,278063,276987,276152,278869,274416,264658
"66",66,277624,2030-01-03 17:55:00,3,281391,276679,275168,281947,273417,274875
"67",67,279691,2030-01-03 18:55:00,3,282338,278034,275228,282802,276813,286035
"68",68,278966,2030-01-03 19:55:00,3,280399,278437,275747,281042,277656,288551
"69",69,274332,2030-01-03 20:55:00,3,275515,274874,275254,276442,269650,277656
"70",70,265772,2030-01-03 21:55:00,3,267202,267790,276057,268297,257900,265115
"71",71,255704,2030-01-03 22:55:00,3,257119,259035,277209,258259,245990,245340
"72",72,247386,2030-01-03 23:55:00,3,248325,249084,269752,249478,233477,225186
"73",73,241037,2030-01-04 00:55:00,4,241092,238771,258591,242250,221002,204132
"74",74,236236,2030-01-04 01:55:00,4,235218,233440,252288,236378,214409,192644
"75",75,234038,2030-01-04 02:55:00,4,232251,231657,249838,233412,212305,187849
"76",76,235738,2030-01-04 03:55:00,4,233959,230777,249240,235120,211299,186481
"77",77,239903,2030-01-04 04:55:00,4,238506,235901,251012,239666,217451,190137
"78",78,246365,2030-01-04 05:55:00,4,245572,245207,258930,246727,228773,204736
"79",79,253788,2030-01-04 06:55:00,4,254577,261243,273287,255722,248878,232584
"80",80,261238,2030-01-04 07:55:00,4,263638,275925,276588,264758,271953,260914
"81",81,266503,2030-01-04 08:55:00,4,269854,279870,275185,270917,281138,275019
"82",82,269530,2030-01-04 09:55:00,4,273361,284440,275466,274356,290661,286885
"83",83,269369,2030-01-04 10:55:00,4,273858,286359,275872,274841,294478,290355
"84",84,266336,2030-01-04 11:55:00,4,271450,283718,275017,272489,289210,282010
"85",85,261953,2030-01-04 12:55:00,4,267356,281206,275118,268449,284130,273408
"86",86,258242,2030-01-04 13:55:00,4,263660,276286,276708,264779,272680,259080
"87",87,255343,2030-01-04 14:55:00,4,260746,275195,276900,261877,270323,256120
"88",88,255270,2030-01-04 15:55:00,4,260183,274700,276987,261316,269288,254791
"89",89,258208,2030-01-04 16:55:00,4,262488,274435,276927,263613,268702,255688
"90",90,261948,2030-01-04 17:55:00,4,265373,271840,276235,266482,264119,263831
"91",91,263986,2030-01-04 18:55:00,4,266562,272620,276337,267663,265462,263121
"92",92,264326,2030-01-04 19:55:00,4,266113,271715,276411,267216,263891,262898
"93",93,261177,2030-01-04 20:55:00,4,262698,269591,276487,263822,260465,261201
"94",94,253857,2030-01-04 21:55:00,4,255281,265136,276825,256425,254187,257503
"95",95,247071,2030-01-04 22:55:00,4,247899,261404,277151,249053,249083,253816
"96",96,241950,2030-01-04 23:55:00,4,241848,258999,277067,243005,245944,250793
"97",97,237684,2030-01-05 00:55:00,5,236810,235877,253989,237970,217417,195955
"98",98,234388,2030-01-05 01:55:00,5,232956,231452,248623,234117,212059,185225
"99",99,234037,2030-01-05 02:55:00,5,232251,232280,249042,233412,213034,186130
"100",100,235737,2030-01-05 03:55:00,5,233959,233725,250003,235120,214783,188242
"101",101,239902,2030-01-05 04:55:00,5,238506,236869,252248,239666,218677,192569
"102",102,246363,2030-01-05 05:55:00,5,245572,246409,258814,246727,230247,204526
"103",103,253786,2030-01-05 06:55:00,5,254577,260126,271317,255722,247410,228141
"104",104,261235,2030-01-05 07:55:00,5,263638,272104,277251,264758,264543,249050
"105",105,266499,2030-01-05 08:55:00,5,269854,277526,276146,270917,275463,264665
"106",106,269524,2030-01-05 09:55:00,5,273361,280876,275178,274356,283491,274014
"107",107,269364,2030-01-05 10:55:00,5,273858,283911,275082,274841,289612,282976
"108",108,266331,2030-01-05 11:55:00,5,271450,282881,275271,272489,287652,277608
"109",109,261948,2030-01-05 12:55:00,5,267356,279443,276029,268449,280020,265149
"110",110,258237,2030-01-05 13:55:00,5,263660,274902,277078,264779,269700,251953
"111",111,255340,2030-01-05 14:55:00,5,260746,273712,276991,261877,267448,251424
"112",112,255268,2030-01-05 15:55:00,5,260183,271402,276999,261316,263385,244143
"113",113,258206,2030-01-05 16:55:00,5,262488,269744,277012,263613,260664,244118
"114",114,261946,2030-01-05 17:55:00,5,265373,266182,277329,266482,255685,248613
"115",115,263983,2030-01-05 18:55:00,5,266562,270697,276752,267663,262261,257755
"116",116,264323,2030-01-05 19:55:00,5,266113,270982,276658,267216,262710,259922
"117",117,261173,2030-01-05 20:55:00,5,262698,266484,276965,263822,256101,255038
"118",118,253855,2030-01-05 21:55:00,5,255281,258840,276903,256425,245754,243794
"119",119,245622,2030-01-05 22:55:00,5,246537,250237,272246,247692,234876,229952
"120",120,239244,2030-01-05 23:55:00,5,239112,241883,262003,240271,224782,210479
"121",121,233728,2030-01-06 00:55:00,6,232602,233558,252399,233763,214566,192930
"122",122,229019,2030-01-06 01:55:00,6,227224,227540,246745,228386,207631,182150
"123",123,227240,2030-01-06 02:55:00,6,225012,223681,242920,226174,203309,176432
"124",124,229344,2030-01-06 03:55:00,6,227231,225321,242692,228393,205127,176032
"125",125,234369,2030-01-06 04:55:00,6,233077,229733,246890,234238,210126,182435
"126",126,242272,2030-01-06 05:55:00,6,242573,243715,258206,243730,227025,203363
"127",127,251172,2030-01-06 06:55:00,6,253630,260182,272703,254777,247477,231231
"128",128,260781,2030-01-06 07:55:00,6,264491,275471,276481,265606,270976,262177
"129",129,268512,2030-01-06 08:55:00,6,272819,282316,275277,273829,286594,284525
"130",130,273266,2030-01-06 09:55:00,6,277694,285310,275734,278520,292395,289176
"131",131,273506,2030-01-06 10:55:00,6,278377,287617,277563,279166,296722,296794
"132",132,271531,2030-01-06 11:55:00,6,276571,288498,277585,277451,298168,296984
"133",133,268507,2030-01-06 12:55:00,6,273673,283203,275009,274660,288212,281754
"134",134,265573,2030-01-06 13:55:00,6,270830,279266,275382,271879,279722,269715
"135",135,263865,2030-01-06 14:55:00,6,269124,278284,275752,270197,277354,266233
"136",136,264789,2030-01-06 15:55:00,6,269878,277583,276390,270940,275623,262790
"137",137,269326,2030-01-06 16:55:00,6,273990,277342,276162,274969,275153,264301
"138",138,274546,2030-01-06 17:55:00,6,278474,275419,275410,279259,270869,269967
"139",139,277917,2030-01-06 18:55:00,6,280429,278942,275171,281071,278888,278252
"140",140,278031,2030-01-06 19:55:00,6,279523,279060,275042,280232,279167,281522
"141",141,274163,2030-01-06 20:55:00,6,275303,274165,275342,276237,268245,270595
"142",142,264995,2030-01-06 21:55:00,6,266306,266247,276983,267408,255798,254610
"143",143,254894,2030-01-06 22:55:00,6,256093,255880,274684,257235,241852,236317
"144",144,246793,2030-01-06 23:55:00,6,247500,246638,265972,248654,230538,217940
"145",145,240866,2030-01-07 00:55:00,7,240683,237900,255970,241841,219954,199484
"146",146,236390,2030-01-07 01:55:00,7,235432,233558,251882,236592,214562,191577
"147",147,234893,2030-01-07 02:55:00,7,233633,232056,249560,234794,212776,187115
"148",148,236956,2030-01-07 03:55:00,7,235812,232414,249630,236972,213209,187323
"149",149,242280,2030-01-07 04:55:00,7,241757,236592,252228,242915,218312,192517
"150",150,250823,2030-01-07 05:55:00,7,251490,248859,260916,252639,233218,208488
"151",151,260776,2030-01-07 06:55:00,7,262190,265501,274902,263316,254709,236800
"152",152,270643,2030-01-07 07:55:00,7,272198,278783,275748,273223,278399,266447
"153",153,277978,2030-01-07 08:55:00,7,279840,284607,275216,280525,291003,285693
"154",154,281494,2030-01-07 09:55:00,7,283919,289295,277664,284201,299671,297257
"155",155,279885,2030-01-07 10:55:00,7,283086,292488,279844,283470,304754,305779
"156",156,276426,2030-01-07 11:55:00,7,280135,288571,277527,280800,298364,296395
"157",157,272959,2030-01-07 12:55:00,7,276936,285984,275623,277800,293731,287894
"158",158,269577,2030-01-07 13:55:00,7,273719,279988,275652,274705,281430,267313
"159",159,268414,2030-01-07 14:55:00,7,272303,279412,275947,273325,279948,265282
"160",160,268976,2030-01-07 15:55:00,7,272925,278440,276576,273931,277643,261937
"161",161,272937,2030-01-07 16:55:00,7,276903,277760,276169,277769,276048,264569
"162",162,277421,2030-01-07 17:55:00,7,281177,276911,275085,281760,274095,272685
"163",163,280365,2030-01-07 18:55:00,7,283398,279579,275462,283743,280379,286715
"164",164,279588,2030-01-07 19:55:00,7,282074,278940,275300,282565,278906,285413
"165",165,276002,2030-01-07 20:55:00,7,278187,276236,275268,278985,272544,276580
"166",166,267844,2030-01-07 21:55:00,7,269948,269202,276388,271009,259909,262992
"167",167,259033,2030-01-07 22:55:00,7,260569,258379,276829,261701,245182,243581
"168",168,252560,2030-01-07 23:55:00,7,252936,249421,268170,254083,233894,221787
"169",169,247482,2030-01-08 00:55:00,8,246708,240897,257856,247863,223573,202788
"170",170,242894,2030-01-08 01:55:00,8,241679,235260,252063,242837,216639,192016
"171",171,241716,2030-01-08 02:55:00,8,239856,233379,249708,241015,214328,187500
"172",172,244214,2030-01-08 03:55:00,8,242280,233101,249539,243438,213998,187076
"173",173,249841,2030-01-08 04:55:00,8,248565,236069,252053,249718,217661,191935
"174",174,258930,2030-01-08 05:55:00,8,258685,250258,261624,259822,234906,209690
"175",175,269956,2030-01-08 06:55:00,8,269965,266359,275150,271026,255941,237511
"176",176,280579,2030-01-08 07:55:00,8,281048,280789,275242,281643,283268,275142
"177",177,288213,2030-01-08 08:55:00,8,289546,288460,277889,289002,298116,298022
"178",178,291239,2030-01-08 09:55:00,8,293679,292240,279572,292251,304313,304971
"179",179,288954,2030-01-08 10:55:00,8,292102,292843,280076,291040,305317,306881
"180",180,284653,2030-01-08 11:55:00,8,288052,291109,278552,287748,302594,300959
"181",181,279994,2030-01-08 12:55:00,8,283451,285989,275551,283788,293756,287534
"182",182,275722,2030-01-08 13:55:00,8,279525,280628,275344,280235,282845,270707
"183",183,272970,2030-01-08 14:55:00,8,277109,280016,275574,277964,281495,268146
"184",184,272705,2030-01-08 15:55:00,8,277109,278419,276097,277964,277593,264918
"185",185,276522,2030-01-08 16:55:00,8,280845,278054,275781,281456,276874,266077
"186",186,280897,2030-01-08 17:55:00,8,284936,278108,275268,285080,276970,275981
"187",187,283134,2030-01-08 18:55:00,8,286530,280817,276504,286451,283349,292638
"188",188,283435,2030-01-08 19:55:00,8,285868,280502,276284,285881,282608,291934
"189",189,280393,2030-01-08 20:55:00,8,281619,277340,275176,282156,275155,280388
"190",190,272199,2030-01-08 21:55:00,8,272827,270660,275644,273836,262178,266921
"191",191,262909,2030-01-08 22:55:00,8,263094,261388,277275,264216,249059,248779
"192",192,255405,2030-01-08 23:55:00,8,254761,251683,269494,255905,236629,224627
"193",193,248092,2030-01-09 00:55:00,9,247245,241124,258462,248399,223857,203811
"194",194,242372,2030-01-09 01:55:00,9,241610,235846,253263,242768,217377,194581
"195",195,240229,2030-01-09 02:55:00,9,239148,232585,249856,240307,213410,187817
"196",196,242082,2030-01-09 03:55:00,9,240852,233924,249363,242010,215010,186698
"197",197,247090,2030-01-09 04:55:00,9,246589,237799,252070,247744,219827,191996
"198",198,255452,2030-01-09 05:55:00,9,256314,249261,260896,257456,233696,208423
"199",199,265581,2030-01-09 06:55:00,9,266824,266509,275142,267922,256140,237762
"200",200,275701,2030-01-09 07:55:00,9,276817,279850,275188,277686,281070,273248
"201",201,282705,2030-01-09 08:55:00,9,284071,288531,277577,284339,298262,296865
"202",202,285110,2030-01-09 09:55:00,9,286822,291410,278820,286707,303025,302199
"203",203,283186,2030-01-09 10:55:00,9,285087,292164,278901,285216,304201,302543
"204",204,279120,2030-01-09 11:55:00,9,281243,287803,275867,281817,297019,290321
"205",205,275035,2030-01-09 12:55:00,9,277631,284433,275190,278460,290633,280091
"206",206,272201,2030-01-09 13:55:00,9,275015,280825,275373,275959,283390,270456
"207",207,271284,2030-01-09 14:55:00,9,274141,281421,275119,275116,284557,273723
"208",208,272074,2030-01-09 15:55:00,9,275049,279948,275513,275993,281340,268209
"209",209,277005,2030-01-09 16:55:00,9,279250,279081,275401,279978,279245,268483
"210",210,281697,2030-01-09 17:55:00,9,283086,277691,275248,283470,275868,275888
"211",211,283642,2030-01-09 18:55:00,9,284331,281153,276709,284562,284034,293707
"212",212,283898,2030-01-09 19:55:00,9,283820,280542,276128,284114,282690,291554
"213",213,281108,2030-01-09 20:55:00,9,280581,277706,275138,281211,275923,280628
"214",214,273569,2030-01-09 21:55:00,9,273085,271777,275736,274088,263997,266460
"215",215,264970,2030-01-09 22:55:00,9,264417,262997,277318,265532,251274,248641
"216",216,258351,2030-01-09 23:55:00,9,256883,253635,270078,258024,239016,225937
"217",217,251021,2030-01-10 00:55:00,10,249737,242569,259696,250889,225626,206104
"218",218,244816,2030-01-10 01:55:00,10,243868,236505,253529,245024,218211,195122
"219",219,242432,2030-01-10 02:55:00,10,241446,233900,250850,242604,214977,189804
"220",220,244334,2030-01-10 03:55:00,10,242986,235343,250501,244143,216748,189106
"221",221,249370,2030-01-10 04:55:00,10,248273,239056,253057,249426,221360,194221
"222",222,258269,2030-01-10 05:55:00,10,258223,250890,262482,259361,235676,211430
"223",223,268342,2030-01-10 06:55:00,10,268731,268263,276357,269810,258572,241682
"224",224,278865,2030-01-10 07:55:00,10,279032,281157,275109,279776,284023,278108
"225",225,286664,2030-01-10 08:55:00,10,287452,289811,278481,287232,300484,299863
"226",226,290814,2030-01-10 09:55:00,10,292513,292082,278830,291356,304070,301966
"227",227,289907,2030-01-10 10:55:00,10,292098,292698,278659,291037,305100,301430
"228",228,287246,2030-01-10 11:55:00,10,289827,290915,277613,289223,302273,297127
"229",229,283499,2030-01-10 12:55:00,10,286453,288584,276179,286387,298390,291642
"230",230,280397,2030-01-10 13:55:00,10,283437,284066,275170,283776,289856,279479
"231",231,276935,2030-01-10 14:55:00,10,280023,282554,275226,280698,287096,276011
"232",232,276221,2030-01-10 15:55:00,10,278922,281162,275117,279677,284020,271728
"233",233,279273,2030-01-10 16:55:00,10,281559,279968,275125,282102,281376,271682
"234",234,282630,2030-01-10 17:55:00,10,284497,278939,275017,284707,278897,281328
"235",235,283269,2030-01-10 18:55:00,10,284678,280953,276484,284862,283597,292682
"236",236,284096,2030-01-10 19:55:00,10,284451,280336,275905,284667,282317,290531
"237",237,280955,2030-01-10 20:55:00,10,280809,277810,275028,281422,276176,281027
"238",238,272827,2030-01-10 21:55:00,10,272535,271333,275959,273551,263288,265311
"239",239,263437,2030-01-10 22:55:00,10,262955,262404,277357,264078,250442,247704
"240",240,256405,2030-01-10 23:55:00,10,255208,253234,269998,256352,238515,225772
"241",241,249132,2030-01-11 00:55:00,11,248106,242886,259773,249259,226006,206211
"242",242,243404,2030-01-11 01:55:00,11,242411,236792,253399,243568,218579,194856
"243",243,241220,2030-01-11 02:55:00,11,239871,233584,250577,241029,214601,189226
"244",244,242714,2030-01-11 03:55:00,11,241033,234143,249968,242191,215275,188172
"245",245,246307,2030-01-11 04:55:00,11,245579,237351,252414,246734,219283,193043
"246",246,253064,2030-01-11 05:55:00,11,254173,248332,260473,255319,232524,207690
"247",247,261787,2030-01-11 06:55:00,11,264033,264107,273765,265150,252718,233902
"248",248,271197,2030-01-11 07:55:00,11,273578,277982,275761,274567,276643,265903
"249",249,278575,2030-01-11 08:55:00,11,280892,284432,275476,281501,290644,287019
"250",250,282462,2030-01-11 09:55:00,11,284637,288930,277539,284828,299070,296355
"251",251,281034,2030-01-11 10:55:00,11,283485,289541,278864,283817,300074,302389
"252",252,277230,2030-01-11 11:55:00,11,280228,286174,275700,280886,294063,288766
"253",253,272763,2030-01-11 12:55:00,11,276503,282259,275101,277387,286363,277961
"254",254,269297,2030-01-11 13:55:00,11,273666,279053,275559,274653,279179,267665
"255",255,267475,2030-01-11 14:55:00,11,272240,276963,276527,273263,274249,261646
"256",256,268478,2030-01-11 15:55:00,11,273091,276753,276697,274092,273607,259545
"257",257,272398,2030-01-11 16:55:00,11,276503,275338,276667,277387,270626,259808
"258",258,276665,2030-01-11 17:55:00,11,280104,273590,275729,280772,267187,266574
"259",259,279053,2030-01-11 18:55:00,11,281391,275688,275268,281947,271361,276636
"260",260,279974,2030-01-11 19:55:00,11,280737,277079,275173,281356,274637,279401
"261",261,277388,2030-01-11 20:55:00,11,277509,274767,275194,278346,269411,271398
"262",262,269664,2030-01-11 21:55:00,11,270285,267853,276779,271342,258026,257038
"263",263,260851,2030-01-11 22:55:00,11,261439,259196,276590,262568,246204,242799
"264",264,254206,2030-01-11 23:55:00,11,253721,250891,270150,254867,235673,226120
"265",265,247920,2030-01-12 00:55:00,12,246796,242626,259463,247951,225702,205725
"266",266,242395,2030-01-12 01:55:00,12,240992,235003,252247,242150,216319,192553
"267",267,239992,2030-01-12 02:55:00,12,238198,232575,249717,239357,213391,187551
"268",268,241237,2030-01-12 03:55:00,12,239272,233595,249438,240431,214621,186831
"269",269,244771,2030-01-12 04:55:00,12,243590,236173,252305,244746,217810,192720
"270",270,250374,2030-01-12 05:55:00,12,250886,244292,255839,252036,227702,199215
"271",271,257756,2030-01-12 06:55:00,12,259993,257089,264950,261126,243440,216002
"272",272,266358,2030-01-12 07:55:00,12,269271,271789,277151,270342,264025,245093
"273",273,273264,2030-01-12 08:55:00,12,276568,280092,275236,277449,281695,276064
"274",274,277527,2030-01-12 09:55:00,12,281124,284897,275538,281712,291588,287586
"275",275,277889,2030-01-12 10:55:00,12,281953,287763,276716,282456,296948,293701
"276",276,274784,2030-01-12 11:55:00,12,279206,286071,275740,279938,293914,289675
"277",277,270094,2030-01-12 12:55:00,12,274847,282262,275105,275798,286363,278131
"278",278,265460,2030-01-12 13:55:00,12,270334,277580,275880,271389,275596,265488
"279",279,261887,2030-01-12 14:55:00,12,266610,274137,276795,267710,268184,256647
"280",280,260991,2030-01-12 15:55:00,12,265029,272024,277269,266140,264402,246178
"281",281,263418,2030-01-12 16:55:00,12,267205,269045,276915,268299,259687,243904
"282",282,266205,2030-01-12 17:55:00,12,269968,264249,276380,271028,252956,241956
"283",283,268058,2030-01-12 18:55:00,12,271346,275142,275056,272387,270215,272568
"284",284,269016,2030-01-12 19:55:00,12,271532,275163,275344,272570,270265,270857
"285",285,267693,2030-01-12 20:55:00,12,269953,272738,275822,271014,265682,265636
"286",286,262388,2030-01-12 21:55:00,12,264009,265490,276985,265126,254694,254516
"287",287,256675,2030-01-12 22:55:00,12,256631,259092,277074,257772,246070,244425
"288",288,252532,2030-01-12 23:55:00,12,250108,250590,270636,251259,235311,226957
"289",289,248159,2030-01-13 00:55:00,13,244331,241610,260370,245487,224446,207470
"290",290,243087,2030-01-13 01:55:00,13,239065,235954,253915,240224,217523,195824
"291",291,241504,2030-01-13 02:55:00,13,236881,234294,252103,238041,215463,192092
"292",292,243846,2030-01-13 03:55:00,13,238870,234026,252249,240029,215135,192583
"293",293,248037,2030-01-13 04:55:00,13,244609,238931,256056,245765,221195,199643
"294",294,254837,2030-01-13 05:55:00,13,253880,252050,265133,255026,237055,216306
"295",295,263628,2030-01-13 06:55:00,13,264515,262674,272953,265629,250804,231836
"296",296,272886,2030-01-13 07:55:00,13,275276,276159,276725,276211,272375,258214
"297",297,280040,2030-01-13 08:55:00,13,283541,281913,275202,283867,285612,276296
"298",298,284546,2030-01-13 09:55:00,13,288505,285122,275306,288128,292021,285092
"299",299,284947,2030-01-13 10:55:00,13,288620,289058,277673,288223,299297,297214
"300",300,283083,2030-01-13 11:55:00,13,286463,289276,278321,286396,299635,299025
"301",301,279722,2030-01-13 12:55:00,13,282862,285450,275648,283270,292646,288197
"302",302,276288,2030-01-13 13:55:00,13,279591,280242,275423,280294,282149,269437
"303",303,272911,2030-01-13 14:55:00,13,276540,279196,275740,277422,279529,265863
"304",304,271230,2030-01-13 15:55:00,13,274881,278042,276490,275831,276829,262175
"305",305,272298,2030-01-13 16:55:00,13,275617,276959,276421,276539,274236,262487
"306",306,273928,2030-01-13 17:55:00,13,276668,272964,276568,277544,266080,261941
"307",307,274500,2030-01-13 18:55:00,13,276373,274873,275366,277263,269646,268509
"308",308,275188,2030-01-13 19:55:00,13,275852,274685,275681,276765,269260,267211
"309",309,273579,2030-01-13 20:55:00,13,273695,271953,276420,274681,264291,262690
"310",310,268648,2030-01-13 21:55:00,13,268212,264844,277018,269297,253802,251362
"311",311,262418,2030-01-13 22:55:00,13,261306,258637,275815,262435,245507,239672
"312",312,257703,2030-01-13 23:55:00,13,255198,252151,269163,256342,237182,223965
"313",313,251988,2030-01-14 00:55:00,14,249245,244117,260354,250397,227488,207409
"314",314,247153,2030-01-14 01:55:00,14,244481,239861,255840,245637,222311,199244
"315",315,245609,2030-01-14 02:55:00,14,242311,237050,253182,243468,218908,194428
"316",316,248312,2030-01-14 03:55:00,14,243628,237982,253230,244784,220057,194499
"317",317,251753,2030-01-14 04:55:00,14,247807,240979,256212,248960,223672,199983
"318",318,256935,2030-01-14 05:55:00,14,254994,251042,264108,256138,235858,214472
"319",319,263914,2030-01-14 06:55:00,14,263466,266474,275948,264587,256079,240203
"320",320,270051,2030-01-14 07:55:00,14,271386,278656,275385,272425,278130,268982
"321",321,274109,2030-01-14 08:55:00,14,276969,286383,275727,277831,294542,289209
"322",322,277204,2030-01-14 09:55:00,14,280088,289481,276761,280757,299947,294194
"323",323,276630,2030-01-14 10:55:00,14,279258,288765,276660,279985,298749,293388
"324",324,273379,2030-01-14 11:55:00,14,276083,287138,275733,276985,295857,288493
"325",325,269143,2030-01-14 12:55:00,14,272267,283297,275310,273290,288367,276919
"326",326,265350,2030-01-14 13:55:00,14,268597,278261,276519,269677,277291,262032
"327",327,261747,2030-01-14 14:55:00,14,265220,277365,276714,266330,275193,258514
"328",328,259305,2030-01-14 15:55:00,14,263177,275099,276972,264299,270087,251169
"329",329,260388,2030-01-14 16:55:00,14,264374,273016,277256,265489,266202,249248
"330",330,263112,2030-01-14 17:55:00,14,266445,267194,277319,267546,257081,246839
"331",331,265243,2030-01-14 18:55:00,14,267289,271077,276552,268382,262870,260966
"332",332,266601,2030-01-14 19:55:00,14,267390,273144,275782,268482,266418,265669
"333",333,265138,2030-01-14 20:55:00,14,265850,270629,276325,266955,262117,263270
"334",334,259323,2030-01-14 21:55:00,14,260033,265024,277092,261166,254044,253417
"335",335,252079,2030-01-14 22:55:00,14,252510,256326,275126,253658,242420,237715
"336",336,246319,2030-01-14 23:55:00,14,246178,245544,265153,247333,229210,216358
"337",337,240886,2030-01-15 00:55:00,15,240065,238599,255435,241224,220783,198546
"338",338,236724,2030-01-15 01:55:00,15,235289,233201,250685,236450,214123,189494
