,allocated,dispatched,difference_RT,difference_RT_perc
129,140876.9273,140876.9273,-1.22236087918e-09,0.0
130,140876.9273,140876.9273,1.2805685401e-09,0.0
131,164404.3665,164404.3665,-1.2805685401e-09,0.0
132,164404.3665,164404.3665,1.30967237055e-09,0.0
133,164404.3665,164404.3665,-1.30967237055e-09,0.0
134,164404.3665,164404.3665,1.13504938781e-09,0.0
135,164404.3665,164404.3665,-1.30967237055e-09,0.0
136,164404.3665,164404.3665,1.42608769238e-09,0.0
137,164404.3665,164404.3665,-1.42608769238e-09,0.0
138,157640.5479,157640.5479,1.39698386192e-09,0.0
139,157640.5479,157640.5479,-1.51339918375e-09,0.0
140,157640.5479,157640.5479,1.45519152284e-09,0.0
141,157640.5479,157640.5479,-1.48429535329e-09,0.0
142,157640.5479,157640.5479,1.54250301421e-09,0.0
143,157640.5479,157640.5479,-1.7462298274e-09,0.0
144,157640.5479,157640.5479,1.62981450558e-09,0.0
145,130587.8212,130587.8212,-1.70257408172e-09,0.0
146,130587.8212,130587.8212,1.70257408172e-09,0.0
147,130587.8212,130587.8212,-1.73167791218e-09,0.0
148,130587.8212,130587.8212,1.83354131877e-09,0.0
149,130587.8212,130587.8212,-1.89174897969e-09,0.0
150,130587.8212,130587.8212,1.86264514923e-09,0.0
151,130587.8212,130587.8212,-1.99361238629e-09,0.0
152,129725.5006,129725.5006,2.00816430151e-09,0.0
153,129725.5006,129725.5006,-2.11002770811e-09,0.0
154,129725.5006,129725.5006,2.02271621674e-09,0.0
155,129725.5006,129725.5006,-2.11002770811e-09,0.0
156,129725.5006,129725.5006,2.18278728426e-09,0.0
157,129725.5006,129725.5006,-2.24099494517e-09,0.0
158,129725.5006,129725.5006,2.32830643654e-09,0.0
159,135332.1963,135332.1963,-2.29920260608e-09,0.0
160,135332.1963,135332.1963,2.27009877563e-09,0.0
161,135332.1963,135332.1963,-2.12457962334e-09,0.0
162,135332.1963,135332.1963,2.12457962334e-09,0.0
163,135332.1963,135332.1963,-2.09547579288e-09,0.0
164,135332.1963,135332.1963,2.18278728426e-09,0.0
165,135332.1963,135332.1963,-2.12457962334e-09,0.0
166,120144.3136,120144.3136,2.11002770811e-09,0.0
167,120144.3136,120144.3136,-1.97906047106e-09,0.0
168,120144.3136,120144.3136,2.02271621674e-09,0.0
169,120144.3136,120144.3136,-1.99361238629e-09,0.0
170,120144.3136,120144.3136,1.92085281014e-09,0.0
171,120144.3136,120144.3136,-1.92085281014e-09,0.0
172,120144.3136,120144.3136,1.96450855583e-09,0.0
173,147854.9302,147854.9302,-2.00816430151e-09,0.0
174,147854.9302,147854.9302,2.09547579288e-09,0.0
175,147854.9302,147854.9302,-2.1536834538e-09,0.0
176,147854.9302,147854.9302,1.97906047106e-09,0.0
177,147854.9302,147854.9302,-1.92085281014e-09,0.0
178,147854.9302,147854.9302,2.03726813197e-09,0.0
179,147854.9302,147854.9302,-2.06637196243e-09,0.0
180,136783.2329,136783.2329,2.03726813197e-09,0.0
181,136783.2329,136783.2329,-2.03726813197e-09,0.0
182,136783.2329,136783.2329,2.1536834538e-09,0.0
183,136783.2329,136783.2329,-2.1536834538e-09,0.0
184,136783.2329,136783.2329,2.1536834538e-09,0.0
185,136783.2329,136783.2329,-2.18278728426e-09,0.0
186,136783.2329,136783.2329,2.27009877563e-09,0.0
187,117774.1756,117774.1756,-2.19733919948e-09,0.0
188,117774.1756,117774.1756,2.27009877563e-09,0.0
189,117774.1756,117774.1756,-2.29920260608e-09,0.0
190,117774.1756,117774.1756,2.38651409745e-09,0.0
191,117774.1756,117774.1756,-2.47382558882e-09,0.0
192,117774.1756,117774.1756,2.56113708019e-09,0.0
193,117774.1756,117774.1756,-2.63389665633e-09,0.0
194,122391.0898,122391.0898,2.70665623248e-09,0.0
195,122391.0898,122391.0898,-2.77941580862e-09,0.0
196,122391.0898,122391.0898,2.75031197816e-09,0.0
197,122391.0898,122391.0898,-2.79396772385e-09,0.0
198,122391.0898,122391.0898,2.88127921522e-09,0.0
199,122391.0898,122391.0898,-2.88127921522e-09,0.0
200,122391.0898,122391.0898,3.01224645227e-09,0.0
201,147561.3396,147561.3396,-2.99769453704e-09,0.0
202,147561.3396,147561.3396,2.99769453704e-09,0.0
203,147561.3396,147561.3396,-2.85217538476e-09,0.0
204,147561.3396,147561.3396,2.91038304567e-09,0.0
205,147561.3396,147561.3396,-2.88127921522e-09,0.0
206,147561.3396,147561.3396,2.91038304567e-09,0.0
207,147561.3396,147561.3396,-2.96859070659e-09,0.0
208,199674.0111,199674.0111,2.99769453704e-09,0.0
209,199674.0111,199674.0111,-3.05590219796e-09,0.0
210,199674.0111,199674.0111,3.08500602841e-09,0.0
211,199674.0111,199674.0111,-3.08500602841e-09,0.0
212,199674.0111,199674.0111,3.25962901115e-09,0.0
213,199674.0111,199674.0111,-3.08500602841e-09,0.0
214,199674.0111,199674.0111,3.20142135024e-09,0.0
215,218201.4453,218201.4453,-3.11410985887e-09,0.0
216,218201.4453,218201.4453,2.88127921522e-09,0.0
217,218201.4453,218201.4453,-2.73576006293e-09,0.0
218,218201.4453,218201.4453,2.88127921522e-09,0.0
219,218201.4453,218201.4453,-3.08500602841e-09,0.0
