"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2014,2,17,"12256","11857","11627","12124","12318","12608","14223","14832","15614","15556","15513","15607","15628","15354","15159","15253","14725","13284","12749","13753","12970","12075","12087","12171"
2014,2,18,"11943","11868","11887","11933","12249","12758","13568","15052","15570","16007","15993","16062","15801","15571","15154","15222","15093","13166","12944","13767","13140","12403","11784","11778"
2014,2,19,"12006","11973","11778","12396","12058","12676","13525","15076","16307","16682","16725","17158","16880","16515","16172","16005","15533","13921","13226","13974","13373","12406","12013","12006"
2014,2,20,"12311","12425","12343","12706","12718","13310","14215","15517","16309","16618","16467","16667","16483","16705","16254","15973","15503","13844","13076","13808","13258","12359","12355","12297"
2014,2,21,"12573","12536","12411","12429","12710","13818","14574","15575","15721","16261","16021","16294","15999","15284","15147","15116","14531","12842","13047","14063","13750","12697","12559","12236"
2014,2,22,"12289","12508","12231","12159","12293","13217","13991","15251","15795","16085","16122","16246","16196","15605","15568","15543","14863","13317","13252","13943","13138","13074","12583","12975"
2014,2,23,"13058","12821","12928","12872","13032","13523","14421","14765","15452","15772","15935","16118","15979","15685","15289","15177","14222","12719","12217","12930","12775","12158","11973","11872"
2014,2,24,"12413","12164","12119","11786","12023","12887","13749","14801","14939","15063","15298","15673","15215","15109","15030","15463","14619","12993","12636","13477","12855","12181","11520","11525"
2014,2,25,"11866","11834","12193","11448","11936","12672","13750","14301","14501","15045","14976","15160","15141","15046","14716","14939","14418","12531","12669","13587","12945","12534","12086","12315"
2014,2,26,"12296","12183","12036","12492","12339","13189","13811","14810","15260","15594","15779","15799","15479","15282","15090","15026","14060","12306","12366","12659","12499","12026","11659","11665"
2014,2,27,"11978","11497","11470","11576","11619","12513","12876","13598","13923","14243","14322","14375","13972","13569","13797","13642","12750","11090","11464","12311","11836","11413","11411","11158"
2014,2,28,"11211","10832","11007","10513","10930","11612","12181","13137","13095","12932","13059","13040","12746","12438","12399","12542","12420","10818","10875","12529","11952","11616","11119","10651"
2014,3,1,"10948","10732","10426","10560","11041","11427","12067","12974","13010","13651","13594","13760","13602","13400","13315","13351","12941","11350","11431","12785","12055","11454","11134","11063"
2014,3,2,"10677","10937","10648","10903","10811","11287","11902","13188","13253","13839","13837","13912","13589","13563","13601","13570","13255","11267","11580","12603","11845","11241","10877","10980"
2014,3,3,"11103","10673","10590","10864","11047","11898","13107","13479","14237","14527","14468","14678","14379","14465","14310","14020","13737","11028","11946","12874","12077","11057","10661","10343"
2014,3,4,"10496","10011","9692","9825","9847","10571","11194","12280","12396","12708","12935","12780","12709","12452","12588","12598","12255","11471","11900","12750","12505","11826","11472","10903"
2014,3,5,"10815","10886","10633","10702","11001","11666","12590","13380","13593","13783","14061","14156","13881","13397","13197","12996","12232","11060","11625","12200","12250","11417","11011","10912"
2014,3,6,"10786","10689","10665","10465","10711","11353","11945","12597","12763","13515","13561","13638","13064","12790","12472","12699","12660","11334","11618","12518","12111","11490","11148","11255"
2014,3,7,"10792","10852","10750","10784","10993","11623","12301","12724","12926","12923","12719","12977","12433","12267","12243","12438","12106","10941","11610","12798","12557","11931","11627","11412"
2014,3,8,"11086","11085","11090","11090","11219","11387","12157","12839","13202","13396","13566","13777","13499","13152","12629","12300","11541","10842","11388","11828","11644","11445","10701","10518"
2014,3,9,"10355","10911","10264","10027","10381","10891","11061","11960","11961","12442","12476","12414","12169","11845","11790","11184","10701","10387","10918","11481","11305","10635","10419","10408"
2014,3,10,"10117","9930","9805","9584","9666","10557","11127","11802","11876","12423","12415","12315","12141","11923","12063","12041","11606","10769","11263","12561","12335","11665","11730","11123"
2014,3,11,"10798","10652","10552","10435","10615","11301","12273","12458","12694","13006","12986","12703","12683","12321","12646","12555","12286","11472","11984","12997","12656","11731","11709","11446"
2014,3,12,"11404","11158","10874","11545","11736","12093","12691","13236","13001","13318","13478","13314","13432","12951","13169","13012","13242","11767","11721","11942","12807","12168","11231","11266"
2014,3,13,"11171","10873","10750","10783","10777","11324","11820","12356","12841","13112","13607","13180","12799","12746","12852","13005","12281","11542","11526","12785","12345","11942","11556","11100"
2014,3,14,"11080","10653","10862","10824","10993","11496","12102","12701","12686","12810","12790","12455","12338","12265","12360","12300","12392","11476","11706","12895","12545","12238","12089","11984"
2014,3,15,"11783","11275","11160","11501","11589","12216","12832","13281","13458","13382","13761","14003","13889","13408","13685","13771","13126","11961","12272","13224","13074","12567","12374","12352"
2014,3,16,"12033","11673","11683","11532","11704","12400","12841","13224","14002","14162","14620","14860","14444","14119","14331","14010","13317","11893","12074","13188","12733","12278","12458","12443"
2014,3,17,"12300","12167","12128","11953","11869","12439","12529","12366","12558","12425","12474","12805","12603","12658","12709","12605","12104","11174","11298","12226","12408","11760","11374","11401"
2014,3,18,"11454","11220","11440","11323","11442","11943","12618","13261","13773","14457","14828","14951","15061","14889","14869","15016","14701","12985","12912","13728","13502","12958","12832","12838"
2014,3,19,"13106","12974","12739","12747","12852","13220","14015","14335","14808","15081","15456","15789","15726","15609","15278","15481","15250","13481","13073","14127","13775","13273","13182","13291"
2014,3,20,"13160","12869","13055","12984","13228","13598","14299","14541","14943","15042","15259","15645","15264","15312","15366","15313","15051","13055","12760","14204","13722","13223","13155","12979"
2014,3,21,"13134","13118","12668","12847","12932","13483","14337","14500","14739","15090","15298","15386","15320","14857","14526","14777","13699","12537","12398","13847","13442","12757","12884","12983"
2014,3,22,"12986","12663","12792","12592","12689","13114","13779","14309","14731","14932","15138","15385","15195","14924","15078","15214","14614","12919","12659","13727","13332","12829","12822","13166"
2014,3,23,"13246","13008","12784","12706","12692","13364","14071","14449","14771","15215","15201","15698","15509","15402","15487","15323","14771","13104","12897","14079","13659","13329","13453","13119"
2014,3,24,"13369","13130","13562","13156","13236","14146","14399","15010","15282","15674","16241","16461","16290","15666","15882","15952","15317","13483","13137","14208","13937","13421","13806","13639"
2014,3,25,"13900","13571","13380","13322","13394","13661","14492","15099","15189","15772","16009","16271","16099","15982","16017","16203","15737","13731","13094","14499","13997","13907","13819","13674"
2014,3,26,"14131","13492","13934","13662","13661","14658","14724","15063","15220","15984","16165","16435","16443","16172","16096","16371","15746","14170","13419","14722","14466","13960","13977","14107"
2014,3,27,"13757","14083","14084","13735","13895","14533","15396","15585","15596","16014","16288","16512","16095","16154","15949","16200","15652","14028","13328","14291","14308","13829","14140","14170"
2014,3,28,"14641","14300","14239","14292","14072","14547","15151","15552","15492","15583","16303","16263","16036","15772","15612","15754","15405","13461","13000","14019","14074","13533","13939","14125"
2014,3,29,"14393","14139","14036","14091","13991","14564","15315","15621","15646","16112","16455","16300","16703","16483","16634","16734","16450","14312","13516","14472","14222","13579","13772","14116"
2014,3,30,"14255","14115","13865","14079","13953","14322","14583","15079","15024","15583","15909","16473","16265","16408","16072","16280","15756","13996","13519","14106","14236","13740","13854","13989"
2014,3,31,"14162","14085","13947","13836","13643","14199","14911","15082","14705","15061","15635","16167","16181","15892","15642","16067","15116","13134","12871","13742","13441","13352","13367","13320"
2014,4,1,"13317","13509","13404","13642","13391","13972","14118","14677","14921","15641","15980","16322","16093","16284","16263","16336","15437","13805","13000","14148","13850","13461","13804","13792"
2014,4,2,"14245","13906","13703","13737","13674","14104","14883","15108","15466","15890","15999","16162","15842","15854","16031","16250","16031","13978","13643","14667","14386","14094","14079","13932"
2014,4,3,"14195","13896","13841","13633","13845","14247","14627","15068","15199","15558","15998","16281","16098","16147","16149","16406","16162","14221","13520","14689","14427","14093","14039","14108"
2014,4,4,"14666","14406","14308","14312","14081","14584","15284","15189","15321","15595","16047","16128","15993","15797","15707","16118","15544","14004","13270","14727","14378","13966","14240","14354"
2014,4,5,"14677","14364","14299","13985","13963","14368","15163","15329","15412","15839","16493","16650","16680","16477","16391","16557","16032","14232","13616","14585","14749","14186","14526","14499"
2014,4,6,"15008","14761","14518","14649","14189","14827","15359","15331","15467","16095","16420","16702","16482","16365","16358","16312","15627","13516","13166","14347","14254","13805","14383","14588"
2014,4,7,"14780","14255","14250","13956","13937","14405","15104","15408","15574","16134","16897","17063","17054","16733","16733","16640","16034","14520","14127","15037","14775","14258","14212","14424"
2014,4,8,"15141","14770","14489","14363","14383","14936","15380","15728","15983","16256","16533","16855","16603","16657","16719","16627","15924","14256","13692","14556","14667","14055","14355","14375"
2014,4,9,"15141","14770","14489","14363","14383","14936","15380","15728","15983","16256","16533","16855","16603","16657","16719","16627","15924","14256","13692","14556","14667","14055","14355","14375"
2014,4,10,"14337","14176","13886","13980","14102","14250","14758","15081","15128","15775","16345","16710","16550","16641","16161","16305","16007","14752","13589","14897","14707","14092","14509","14547"
2014,4,11,"14366","14091","13704","13875","13782","14158","14765","15144","15231","15704","15713","15672","15683","15348","15276","15567","14714","13467","13333","14388","14110","13591","13771","14182"
2014,4,12,"14355","14024","14000","13981","13797","14076","14545","15013","15199","15717","16086","16609","16330","16003","16128","16227","15631","13741","13238","14223","13903","13643","13690","14047"
2014,4,13,"14153","13880","13818","13582","13696","14150","14758","14818","15027","15683","15988","16608","16115","15877","15510","15427","15063","13295","12882","14017","13586","13646","13722","13857"
2014,4,14,"14360","14095","14087","14042","13844","14234","14784","15368","15627","15990","16815","17220","17166","16613","16642","16553","15878","14127","13830","14281","14267","14162","14479","14580"
2014,4,15,"14815","14507","14210","14318","14306","14965","15208","15279","15588","16361","16899","16936","16895","16596","16618","16693","16321","14276","13433","14454","14530","14045","14200","14361"
2014,4,16,"14730","14339","14138","14252","14125","14532","14962","15213","15460","15823","16387","16623","16639","16218","16217","16270","15543","14140","13581","14439","14585","14249","14126","14535"
2014,4,17,"14638","14434","14348","14296","14274","14701","15125","15143","15160","15345","15755","16254","15975","15729","15545","15370","14632","13419","13095","14007","14035","13825","13602","13830"
2014,4,18,"14185","13862","13813","13543","13945","14325","14518","14919","15124","15443","15564","15887","15849","15771","15697","15515","15269","13918","13423","14245","14220","13646","13711","13992"
2014,4,19,"14106","13941","13805","13801","13992","14491","14642","15142","15414","15643","16702","16681","16679","15827","15946","15864","15078","13243","12872","13899","13304","13496","13691","13531"
2014,4,20,"13680","13327","13041","12963","12940","13458","13785","13700","13991","14712","15162","15505","15474","15474","15351","15683","15129","13507","12586","13914","13779","13552","13635","13760"
2014,4,21,"13735","13368","13126","13132","13121","13685","13983","14256","14381","15192","16074","16125","16140","15830","15965","16489","16358","14123","13445","13933","13934","13976","13574","14021"
2014,4,22,"14284","13237","14068","13515","12953","13317","14487","14390","14417","15189","15557","15923","15888","15682","16041","16125","15536","14091","13537","14679","14648","14071","14291","14548"
2014,4,23,"15076","14498","14041","14285","14101","14307","14711","14749","15031","15675","15858","16207","16238","15944","16408","16579","15903","14723","13788","14802","14711","14336","14296","14595"
2014,4,24,"14719","14513","14351","14130","13889","14609","14759","14669","14881","15181","15481","15837","15581","15354","15684","15835","14931","13319","12889","14116","14024","13660","13648","14280"
2014,4,25,"14713","14693","14434","14305","14249","14562","14896","14956","15199","15790","16259","16195","16292","15960","16291","16521","15831","14374","13338","14810","14746","14424","14566","14966"
2014,4,26,"15464","15071","14736","14719","14645","14778","15054","15221","15545","16050","16268","16724","16641","16331","16393","16532","16104","14742","13666","15092","14955","14512","14671","14805"
2014,4,27,"15464","15071","14736","14719","14645","14778","15054","15221","15545","16050","16268","16724","16641","16331","16393","16532","16104","14742","13666","15092","14955","14512","14671","14805"
2014,4,28,"15182","15014","14652","14823","14387","14989","15279","15374","15879","16373","17036","17327","16911","17175","16956","16909","16360","15128","14080","14968","14853","14275","14550","14790"
2014,4,29,"14964","14743","14564","14261","14671","14691","15096","15194","15559","16351","16582","16862","16731","16867","16729","16757","15777","14685","14251","15108","14989","14667","14653","14824"
2014,4,30,"15795","14444","14466","14611","14849","14521","15165","15116","15176","15903","16589","16503","16458","16392","16517","16457","15733","13890","13712","14564","14466","13476","14452","14602"
2014,5,1,"15094","14711","14394","14341","14307","14708","14206","14146","13910","13868","13620","14361","14119","13983","13834","14217","13678","12237","12066","13284","13426","13232","13447","13830"
2014,5,2,"13930","13630","13755","14057","13906","14260","14363","14256","14626","14965","15662","15681","15430","15387","15409","15619","15417","13805","12824","14131","13438","14076","14127","14403"
2014,5,3,"14463","14411","14532","14318","14316","14487","14606","14884","14929","15577","16263","16532","16511","16321","16236","16398","15708","13716","13059","13521","13761","13566","13544","13541"
2014,5,4,"13840","13730","13744","13550","13354","13740","14020","14330","14436","14541","15392","15835","15785","15654","15494","15912","15504","13692","13186","13862","14456","14023","14201","14519"
2014,5,5,"15035","14765","14293","14539","14583","14411","14830","14779","14864","15921","15976","16897","16705","16495","16406","16130","15525","14031","13200","14308","14537","14697","14799","14912"
2014,5,6,"15381","15241","14772","14243","14210","14888","15153","15165","15466","16233","16490","16612","16550","16463","16371","16270","15675","14128","13612","14470","14718","14780","14788","15230"
2014,5,7,"15091","15220","14786","14849","14566","14905","15030","15477","15593","16290","15788","16597","16794","16502","16559","16192","14942","13479","13343","14112","14145","13855","14124","13871"
2014,5,8,"13937","14023","14045","13822","13633","14024","14074","14632","14726","15041","15437","15684","15494","15331","15588","15628","15084","13958","13691","14718","14513","14484","14560","14182"
2014,5,9,"14426","14274","13976","13835","13607","13886","14530","14416","14226","14856","14761","14969","14820","14964","14787","14945","14528","13346","13234","14544","14231","14015","14385","14332"
2014,5,10,"14872","14517","14405","14010","13757","13958","14046","14469","14418","14881","15223","15222","15026","14932","15004","15175","14861","13553","13047","14436","14363","14269","14175","14388"
2014,5,11,"14936","14317","14224","14188","13868","14365","14297","14225","14170","14813","14979","15334","14927","15003","15097","15159","14682","13409","12973","13918","13818","13816","13968","14324"
2014,5,12,"14410","14408","14012","14132","13959","13775","14983","14550","14426","15886","15870","16091","16022","15084","15961","15576","15694","14202","13470","14144","14785","13757","14717","14790"
2014,5,13,"14410","14408","14012","14132","13959","13775","14983","14550","14426","15886","15870","16091","16022","15084","15961","15576","15694","14202","13470","14144","14785","13757","14717","14790"
2014,5,14,"14666","14564","14821","14360","14303","14640","14736","14787","14934","15949","15882","16259","16208","15931","15868","16063","15095","13946","13246","14279","14028","14006","14209","14463"
2014,5,15,"15030","14732","14269","15134","14993","14343","14886","14973","14967","16010","15789","15655","15856","15297","15273","15496","14715","13224","13954","14488","14907","13929","14347","13803"
2014,5,16,"15274","14944","14786","14283","14362","14655","14680","15251","15610","15811","16414","16789","16687","16411","16325","16475","15913","14142","13211","14556","14604","14289","14467","14865"
2014,5,17,"14951","14678","14235","14162","14168","14570","14816","14698","15491","15225","15854","16074","16000","15663","15534","15533","15026","13493","13129","13821","13780","13914","13911","14573"
2014,5,18,"14660","14669","14693","14412","14206","14642","14373","14288","14455","15402","15850","15804","15792","15568","15524","15413","14891","13229","12876","13459","13604","13419","14022","13736"
2014,5,19,"14261","14161","14200","13828","14033","14259","14356","14493","14806","15645","15849","16058","15767","15570","15812","16096","15443","14057","13458","14130","14372","14151","15237","15093"
2014,5,20,"14893","14489","14397","14082","14066","14403","14378","14808","15230","15652","16186","16334","16144","16262","16097","16276","15602","14362","13895","14495","14266","14174","14503","14312"
2014,5,21,"14176","14252","14369","14012","13775","14317","14700","14811","15135","15807","16299","16048","15951","15692","16082","16294","15841","14758","14295","14844","14926","14652","14865","15395"
2014,5,22,"15177","14988","14646","14869","14348","14581","15196","14772","15490","15872","15998","16129","15958","15016","15730","16105","15766","14185","14003","14615","14838","14524","14917","15035"
2014,5,23,"14876","14198","14332","14397","14028","14526","14707","14758","15092","15108","14732","15091","15284","15198","15102","15910","15054","13847","13619","14203","14453","14346","14545","14574"
2014,5,24,"14747","14418","14430","14459","14397","14641","14940","14994","15392","15388","15229","15331","15845","15810","15995","16307","16150","14413","14154","14815","15069","14805","14682","14925"
2014,5,25,"15409","14432","14769","14667","14379","14847","14748","15354","14995","15979","15587","15749","15242","14652","15257","15074","15653","14432","13685","13964","14263","14057","14231","14507"
2014,5,26,"14997","14932","14534","14467","14426","14822","14729","15225","15499","16003","16469","16805","16514","16204","15932","16210","15208","14577","14196","14847","14694","14441","14702","15064"
2014,5,27,"15081","14884","14447","14369","14714","15305","15514","15406","15374","16184","16280","15740","16100","15296","14930","14469","13976","13174","13022","13807","13819","14045","14112","14520"
2014,5,28,"14843","14393","14268","14090","13789","14194","14178","14946","14913","15476","15261","16047","16327","16262","15995","15613","15186","14146","13829","14327","14426","14055","14083","14288"
2014,5,29,"14850","14744","14342","14643","14305","14477","14803","15210","15135","15294","15622","15562","16019","16025","15700","15921","15219","13597","13634","14313","14438","13965","14271","14479"
2014,5,30,"14669","14259","14135","14236","14187","14419","14454","14353","14452","14844","14953","15122","15061","14868","15151","14943","14729","13612","13258","14071","14205","14130","14460","14756"
2014,5,31,"14650","14554","14603","14536","14448","14820","15254","15120","15463","15806","16019","16359","16341","16348","16147","15972","15849","14277","13703","14797","14848","14486","14431","14285"
2014,6,1,"15036","14795","14157","14362","14208","14601","14604","14662","14767","15016","15310","15473","15548","15356","14891","15012","14662","13276","12903","14038","13901","13645","13719","13375"
2014,6,2,"14229","14209","13980","14378","13798","13716","14123","14466","14849","15074","15117","16015","14904","14921","16050","16071","14943","14319","12992","13329","13204","12966","13194","13400"
2014,6,3,"13055","13218","13340","13589","13351","13715","14068","14223","13888","14730","14362","14937","14944","14492","15065","15210","14410","13752","13391","13527","13632","13601","13803","13167"
2014,6,4,"13985","13393","13586","13706","13485","13879","14331","14195","14700","14924","14861","15777","15613","15746","14911","15031","14621","13313","12913","13635","13529","13323","13454","13328"
2014,6,5,"13291","13342","13076","13210","12792","13130","13130","13266","13420","13716","13640","13952","14810","14884","15393","15096","14636","13972","12964","13869","14210","13845","13783","13864"
2014,6,6,"14228","13861","13951","14012","13574","13761","14242","14143","14133","14560","14388","14555","14669","14835","14946","15056","14640","13494","12776","14120","14277","13181","13704","13870"
2014,6,7,"13923","13584","13611","12750","12944","13266","13145","13149","13496","13789","13935","14782","14638","14856","14954","15255","14994","13877","13666","14053","14791","14120","14064","14573"
2014,6,8,"14371","14404","14451","14337","13925","14499","14546","14373","14196","14912","15411","15319","15445","15566","15576","15354","15152","13793","13676","13985","14584","14121","14716","14463"
2014,6,9,"14946","14466","14561","14418","14023","14269","14725","14559","15137","15303","15857","16299","15815","15132","15695","16011","15777","14550","13839","14206","14352","13905","14196","13493"
2014,6,10,"13815","13801","13808","14324","13747","13953","13674","14185","15072","14032","14487","14983","15438","15246","15836","15570","15483","14262","13824","14097","14354","14203","14057","14184"
2014,6,11,"14356","14047","14306","14282","14035","13926","14709","14356","14910","15310","15237","15722","15577","15413","15646","16061","15307","13746","13643","14408","14362","13836","14117","14327"
2014,6,12,"14020","13761","13772","13336","13486","13903","13259","14297","14730","15233","14377","14541","15134","15277","15509","15331","15880","14378","13263","14358","14729","14388","14254","13355"
2014,6,13,"14013","13944","14291","14133","13953","14428","14299","14729","15209","15115","15377","14962","15541","15342","15476","15496","14148","12986","12759","13514","13613","13224","13480","13373"
2014,6,14,"13918","13634","13372","12955","13007","13736","13870","14148","14462","14605","15188","15070","15587","15358","15626","15460","15332","13368","12841","13831","14098","13933","14093","13999"
2014,6,15,"14468","14383","13951","14066","13989","14117","14424","14232","14679","14361","14742","14853","15332","14808","14631","14782","13868","12927","12445","13151","13681","13169","13673","13735"
2014,6,16,"13780","13744","13577","13686","13315","13971","14130","14065","14409","15138","15148","15386","14977","14856","15017","15129","14642","13603","13203","13965","14268","13820","14272","14144"
2014,6,17,"14464","13984","14049","13821","13646","14227","14327","14396","14615","14782","15034","14983","14896","14583","14895","15008","14771","13139","13332","13904","13723","13789","13972","13894"
2014,6,18,"14139","13843","13746","13727","13660","13688","14873","14598","14431","15007","15069","15090","14557","14694","14692","14786","14449","13394","13060","13945","14333","13743","14050","14169"
2014,6,19,"14221","13897","13982","13816","13708","14100","14582","14824","14814","15223","15300","15556","15362","14750","14476","14402","13936","12838","12872","13841","13947","13354","13793","13546"
2014,6,20,"13423","13378","13013","13272","13048","13267","13623","13725","14020","13770","13844","13690","13674","13222","13656","13558","13463","12551","12571","13341","13915","13513","13692","13986"
