Day,HYDRO-PONDAGE,HYDRO-ROR,NUCLEAR
227,0.938,0.619,0.678
228,0.94,0.623,0.678
229,0.875,0.622,0.678
230,0.865,0.621,0.678
231,0.865,0.621,0.678
232,0.858,0.62,0.678
233,0.85,0.619,0.678
234,0.845,0.619,0.678
235,0.837,0.617,0.678
236,0.891,0.617,0.678
237,0.891,0.614,0.678
238,0.869,0.611,0.678
239,0.84,0.608,0.678
240,0.816,0.6,0.678
241,0.792,0.589,0.678
242,0.767,0.581,0.678
243,0.752,0.571,0.678
244,0.741,0.563,0.678
245,0.745,0.543,0.678
246,0.757,0.53,0.678
247,0.765,0.527,0.678
248,0.773,0.527,0.678
249,0.786,0.533,0.678
250,0.788,0.541,0.678
251,0.779,0.545,0.678
252,0.767,0.561,0.678
253,0.754,0.564,0.678
254,0.73,0.565,0.678
255,0.711,0.564,0.678
256,0.686,0.555,0.678
257,0.662,0.555,0.678
258,0.649,0.551,0.678
259,0.639,0.55,0.678
260,0.633,0.556,0.678
261,0.637,0.56,0.678
262,0.634,0.561,0.678
263,0.631,0.564,0.678
264,0.619,0.551,0.678
265,0.611,0.55,0.678
266,0.597,0.547,0.678
267,0.577,0.54,0.678
268,0.56,0.529,0.678
269,0.546,0.52,0.678
270,0.534,0.511,0.678
271,0.532,0.506,0.678
272,0.518,0.491,0.678
273,0.51,0.476,0.678
274,0.51,0.465,0.678
275,0.509,0.456,0.678
276,0.508,0.445,0.678
277,0.503,0.432,0.678
278,0.49,0.421,0.678
279,0.485,0.415,0.678
280,0.475,0.409,0.678
281,0.46,0.404,0.678
282,0.442,0.389,0.678
283,0.423,0.375,0.678
284,0.409,0.368,0.678
285,0.403,0.366,0.678
286,0.392,0.361,0.678
287,0.381,0.353,0.678
288,0.372,0.342,0.678
289,0.363,0.341,0.678
290,0.354,0.338,0.678
291,0.346,0.332,0.678
292,0.338,0.318,0.678
293,0.329,0.308,0.678
294,0.321,0.3,0.678
295,0.317,0.292,0.678
296,0.317,0.288,0.678
297,0.316,0.283,0.678
298,0.313,0.277,0.678
299,0.31,0.274,0.678
300,0.306,0.271,0.678
301,0.302,0.27,0.678
302,0.296,0.268,0.678
303,0.287,0.265,0.678
304,0.28,0.262,0.678
305,0.274,0.259,0.678
306,0.271,0.254,0.678
307,0.262,0.249,0.678
308,0.26,0.242,0.678
309,0.258,0.238,0.678
310,0.256,0.232,0.678
311,0.256,0.229,0.678
312,0.256,0.226,0.678
313,0.254,0.224,0.678
314,0.256,0.224,0.678
315,0.252,0.224,0.678
