Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,99476.6458242,0.0,0.0,0.0,234669,135192.354176,127321.872496,30000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,96145.1478967,0.0,0.0,0.0,230127,133981.852103,126111.370423,30000.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,92267.2718607,0.0,0.0,0.0,230589,138321.728139,130451.246459,30000.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,85667.9183559,0.0,0.0,0.0,232488,146820.081644,138949.599964,30000.0
5,4367.88063474,2295.33513,3430.0,748.413,0.0,79973.0529136,6775.25843576,0.0,0.0,237568,157594.947086,139978.059886,23224.7415642
6,21383.6011961,2295.33513,3430.0,748.413,0.0,77275.5907879,0.0,0.0,0.0,245111,167835.409212,139978.059886,23224.7415642
7,23673.45,2295.33513,3430.0,748.413,0.0,76035.0004198,8224.74156424,0.0,0.0,254385,178349.99958,139978.059886,15000.0
8,17535.8969584,2295.33513,3430.0,748.413,9775.30977135,75427.9852543,15000.0,0.0,0.0,264191,178987.704974,139978.059886,0.0
9,1396.73355,2295.33513,3430.0,748.413,63092.775029,69148.1535943,0.0,0.0,0.0,272083,139842.071377,131971.589697,0.0
10,1396.73355,2295.33513,3430.0,748.413,116477.487303,65048.928681,0.0,0.0,0.0,277079,95552.5840158,87682.1023358,0.0
11,1396.73355,2295.33513,3430.0,748.413,159348.673134,68768.0580924,0.0,-10412.2295101,0.0,276365,48248.2687736,50790.0166038,8850.3950836
12,1396.73355,2295.33513,3430.0,748.413,185724.110269,69203.7392629,0.0,-15000.0,0.0,272813,17885.1504684,25014.6687884,21600.3950836
13,1396.73355,2295.33513,3430.0,748.413,195900.148636,66244.1861566,0.0,-15000.0,0.0,267932,5787.66520717,12917.1835272,34350.3950836
14,1396.73355,2295.33513,3430.0,748.413,188281.003327,58073.2091657,0.0,-15000.0,0.0,262833,16478.7875075,23608.3058275,47100.3950836
15,1396.73355,2295.33513,3430.0,748.413,173364.743914,54446.927935,0.0,-15000.0,0.0,258380,30568.3281509,37697.8464709,59850.3950836
16,1396.73355,2295.33513,3430.0,748.413,140879.097429,57732.4100711,0.0,-176.005783997,0.0,257096,58484.4924998,50790.0166038,60000.0
17,1396.73355,2295.33513,3430.0,748.413,83530.9975599,64415.3820784,0.0,0.0,0.0,258851,110904.620362,103034.138682,60000.0
18,23673.45,2295.33513,3430.0,748.413,11016.2574316,64953.3955068,15000.0,0.0,0.0,261378,185408.347062,140261.148932,45000.0
19,23673.45,2295.33513,3430.0,748.413,929.785164449,75117.5068879,15000.0,0.0,0.0,262257,186209.707948,141062.509818,30000.0
20,20420.4325398,2295.33513,3430.0,748.413,494.334850568,93607.4245937,0.0,0.0,0.0,260974,166872.240556,139978.059886,30000.0
21,5764.7672709,2295.33513,3430.0,748.413,0.0,104305.424713,0.0,0.0,0.0,256522,152216.575287,139978.059886,30000.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,104641.18162,0.0,0.0,0.0,248741,144099.81838,136229.3367,30000.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,100046.789877,0.0,0.0,0.0,240388,140341.210123,132470.728443,30000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,91701.9009968,0.0,0.0,0.0,233841,142139.099003,134268.617323,30000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,83757.1527712,0.0,0.0,0.0,229061,145303.847229,137483.311794,30000.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,77189.5376915,0.0,0.0,0.0,225498,148308.462309,140487.926874,30000.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,72543.1237714,0.0,0.0,0.0,224343,151799.876229,143979.340794,30000.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,64973.4615596,0.0,0.0,0.0,226650,161676.53844,153856.003005,30000.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,58874.6665719,1174.83548607,0.0,0.0,232470,173595.333428,164599.962507,28825.1645139
30,3624.22957235,2280.89906,3430.0,748.413,0.0,55521.376496,10729.1193646,0.0,0.0,240934,185412.623504,164599.962507,18096.0451493
31,23673.45,2280.89906,3430.0,748.413,0.0,53072.2302836,3096.0451493,0.0,0.0,250901,197828.769716,164599.962507,15000.0
32,15440.8213956,2280.89906,3430.0,748.413,9319.28273098,50396.6213063,15000.0,0.0,0.0,261216,201500.095963,164599.962507,0.0
33,1361.223375,2280.89906,3430.0,748.413,63431.7995061,42989.4706105,0.0,0.0,0.0,270246,163824.729883,156004.194448,0.0
34,1361.223375,2280.89906,3430.0,748.413,116196.810332,36342.3955184,0.0,0.0,0.0,275394,122854.794149,115034.258714,0.0
35,1361.223375,2280.89906,3430.0,748.413,158795.233922,35070.3859242,0.0,-10588.2352941,0.0,274388,80522.3801537,83290.0800128,9000.0
36,1361.223375,2280.89906,3430.0,748.413,186981.344201,27342.3581865,0.0,-15000.0,0.0,270714,56390.2976127,63569.7621777,21750.0
37,1361.223375,2280.89906,3430.0,748.413,195497.956344,19048.6479856,0.0,-15000.0,0.0,266412,51865.3956705,59044.8602355,34500.0
38,1361.223375,2280.89906,3430.0,748.413,193123.807431,14230.5401714,0.0,-15000.0,0.0,263196,55841.6523973,63021.1169623,47250.0
39,1361.223375,2280.89906,3430.0,748.413,180631.195847,12561.6815152,0.0,-15000.0,0.0,261746,68553.122638,75732.587203,60000.0
40,1361.223375,2280.89906,3430.0,748.413,145811.562019,15360.9783001,0.0,0.0,0.0,263225,102052.459681,94231.9242461,60000.0
41,1361.223375,2280.89906,3430.0,748.413,87861.4715245,20736.9571959,0.0,0.0,0.0,267936,159337.57128,151517.035845,60000.0
42,23673.45,2280.89906,3430.0,748.413,11764.8319758,27667.7868175,15000.0,0.0,0.0,272374,232941.381207,187808.619147,45000.0
43,23673.45,2280.89906,3430.0,748.413,902.550286162,42870.4516916,15000.0,0.0,0.0,273529,229755.998022,184623.235962,30000.0
44,23673.45,2280.89906,3430.0,748.413,482.713220979,63501.8236372,0.0,0.0,0.0,272414,208429.463142,178296.701082,30000.0
45,18546.8947281,2280.89906,3430.0,748.413,0.0,78114.8307049,0.0,0.0,0.0,267721,189606.169295,164599.962507,30000.0
46,7718.26671666,2280.89906,3430.0,748.413,0.0,80310.4587163,0.0,0.0,0.0,259088,178777.541284,164599.962507,30000.0
47,2398.30236226,2280.89906,3430.0,748.413,0.0,76944.4230707,0.0,0.0,0.0,250402,173457.576929,164599.962507,30000.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,72041.5602566,0.0,0.0,0.0,243987,171945.439743,164124.904308,30000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,65432.398875,0.0,0.0,0.0,238528,173095.601125,165194.34396,30000.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,60707.5335405,0.0,0.0,0.0,234583,173875.46646,165974.209295,30000.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,57508.0192013,0.0,0.0,0.0,233756,176247.980799,168346.723634,30000.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,54023.7918349,0.0,0.0,0.0,236064,182040.208165,174138.951,30000.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,49250.3013152,0.0,0.0,0.0,241974,192723.698685,184822.44152,30000.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,45994.5009092,983.380406911,0.0,0.0,251047,205052.499091,196167.861519,29016.6195931
55,1427.509035,2295.33513,3430.0,748.413,0.0,43661.261723,14016.6195931,0.0,0.0,261747,218085.738277,196167.861519,15000.0
56,1427.509035,2295.33513,3430.0,748.413,9301.06342218,40765.457966,15000.0,0.0,0.0,272845,222778.478612,199877.221447,0.0
57,1427.509035,2295.33513,3430.0,748.413,63575.8562618,32969.2051895,0.0,0.0,0.0,281548,185002.938549,177101.681384,0.0
58,1427.509035,2295.33513,3430.0,748.413,116608.306845,24795.6608047,0.0,0.0,0.0,285750,144346.03235,136444.775185,0.0
59,1427.509035,2295.33513,3430.0,748.413,163322.974592,23647.7268174,0.0,-10588.2352941,0.0,284413,97442.2985906,100129.27672,9000.0
60,1427.509035,2295.33513,3430.0,748.413,193179.169128,19076.0562209,0.0,-15000.0,0.0,280653,68397.7746513,75496.5174863,21750.0
61,1427.509035,2295.33513,3430.0,748.413,207256.769796,13892.9271693,0.0,-15000.0,0.0,276117,54967.3030345,62066.0458695,34500.0
62,1427.509035,2295.33513,3430.0,748.413,206081.926629,10358.4894216,0.0,-15000.0,0.0,272198,55757.5839494,62856.3267844,47250.0
63,1427.509035,2295.33513,3430.0,748.413,186962.426776,8745.83163248,0.0,-15000.0,0.0,269438,73729.7415915,80828.4844265,60000.0
64,1427.509035,2295.33513,3430.0,748.413,148204.062506,9548.53663561,0.0,0.0,0.0,269896,112143.400859,104242.143694,60000.0
65,1427.509035,2295.33513,3430.0,748.413,88196.2335166,11222.3795801,0.0,0.0,0.0,273750,174331.386903,166430.129738,60000.0
66,23673.45,2295.33513,3430.0,748.413,12524.68235,13280.290517,7204.84168562,0.0,0.0,277624,251819.027133,214466.987317,52795.1583144
67,23673.45,2295.33513,3430.0,748.413,908.402421479,18212.2230622,15000.0,0.0,0.0,279691,260570.374516,215423.176386,37795.1583144
68,23673.45,2295.33513,3430.0,748.413,492.498131094,26064.1581071,7795.15831438,0.0,0.0,278966,252409.343762,214466.987317,30000.0
69,23673.45,2295.33513,3430.0,748.413,0.0,31969.7930512,0.0,0.0,0.0,274332,242362.206949,212215.008819,30000.0
70,20104.8827354,2295.33513,3430.0,748.413,0.0,30576.930943,0.0,0.0,0.0,265772,235195.069057,208616.438192,30000.0
71,14302.629555,2295.33513,3430.0,748.413,0.0,26311.1841233,0.0,0.0,0.0,255704,229392.815877,208616.438192,30000.0
72,9471.69951462,2295.33513,3430.0,748.413,0.0,22824.1141637,0.0,0.0,0.0,247386,224561.885836,208616.438192,30000.0
73,14249.3721283,2295.33513,3430.0,748.413,0.0,20274.3623891,0.0,0.0,0.0,241037,220762.637611,200039.517353,30000.0
74,8203.31343673,2295.33513,3430.0,748.413,0.0,17524.262188,3995.15889278,0.0,0.0,236236,218711.737812,200039.517353,26004.8411072
75,1581.38646,2295.33513,3430.0,748.413,0.0,15391.1840287,10552.1640288,0.0,0.0,234038,218646.815971,200039.517353,15452.6770784
76,16144.4434278,2295.33513,3430.0,748.413,0.0,13080.2910896,0.0,0.0,0.0,235738,222657.70891,200039.517353,15452.6770784
77,20752.8892799,2295.33513,3430.0,748.413,0.0,12636.8452375,0.0,0.0,0.0,239903,227266.154762,200039.517353,15452.6770784
78,23673.45,2295.33513,3430.0,748.413,0.0,13545.9700892,2632.31442829,0.0,0.0,246365,232819.029911,200039.517353,12820.3626501
79,23673.45,2295.33513,3430.0,748.413,0.0,15322.1986917,8279.08582575,0.0,0.0,253788,238465.801308,200039.517353,4541.27682439
80,23673.45,2295.33513,3430.0,748.413,8999.76647198,17510.2412211,4541.27682439,0.0,0.0,261238,234727.992307,200039.517353,0.0
81,1581.38646,2295.33513,3430.0,748.413,64946.5031005,15145.3884095,0.0,0.0,0.0,266503,186411.10849,178355.9739,0.0
82,1581.38646,2295.33513,3430.0,748.413,120832.791498,12966.3729588,0.0,0.0,0.0,269530,135730.835543,127675.700953,0.0
83,1581.38646,2295.33513,3430.0,748.413,164818.909381,18728.5450421,0.0,-10133.9820863,0.0,269369,85821.5455771,87900.3930734,8613.88477331
84,1581.38646,2295.33513,3430.0,748.413,191409.588073,18662.9375971,0.0,-15000.0,0.0,266336,56263.4743301,63208.3397401,21363.8847733
85,1581.38646,2295.33513,3430.0,748.413,205027.489972,17398.4686852,0.0,-15000.0,0.0,261953,39527.0413431,46471.9067531,34113.8847733
86,1581.38646,2295.33513,3430.0,748.413,198509.704921,17563.4086955,0.0,-15000.0,0.0,258242,42168.8863833,49113.7517933,46863.8847733
87,1581.38646,2295.33513,3430.0,748.413,178356.134185,17892.0789188,0.0,-15000.0,0.0,255343,59094.7868964,66039.6523064,59613.8847733
88,1581.38646,2295.33513,3430.0,748.413,139582.998046,20185.7274986,0.0,-454.253207865,0.0,255270,95501.2744555,87900.3930734,60000.0
89,1581.38646,2295.33513,3430.0,748.413,82379.3778107,25587.0426346,0.0,0.0,0.0,258208,150241.579555,142186.444965,60000.0
90,1581.38646,2295.33513,3430.0,748.413,11541.2114183,30429.8006904,11882.3359488,0.0,0.0,261948,219976.987891,200039.517353,48117.6640512
91,4028.60576572,2295.33513,3430.0,748.413,0.0,38444.1287517,15000.0,0.0,0.0,263986,225541.871248,200039.517353,33117.6640512
